recording_id,title,release_date,query_artist_name,retrieved_artist_name
0041c224-6be8-4f6f-833d-97883359bace,Never Gonna Come Down,2021-09-03,段宜恩,段宜恩
0d9607ed-82d6-4db1-b0f2-c02dae1a9cf2,Higher,2018-12-03,段宜恩,段宜恩
14d63cc1-48c4-423f-8bd0-b505d3d2d634,save me,2022-08-26,段宜恩,段宜恩
17a8601c-5dad-43bf-81ad-db47800de925,my life,2022-08-26,段宜恩,段宜恩
1d294a80-264b-4dd1-ae69-6490a1c441fe,last breath,2022-08-26,段宜恩,段宜恩
2499f5c5-1f6d-4bde-aeaa-9195a9c830fd,broken,2022-08-26,段宜恩,段宜恩
272eab51-9c63-4644-bab8-3473aafb4f4e,no tears,2022-08-26,段宜恩,段宜恩
2d4a2f55-b043-4658-9b00-9a23275702ff,Nights Still Young,2023-10-27,段宜恩,段宜恩
40f3aec9-c479-449b-8bf1-f4c7d5fe987d,Think About It,2018-12-03,段宜恩,段宜恩
46732b21-1c34-4c2d-827c-518d99651791,Your World,2023-10-27,段宜恩,段宜恩
7080b0a0-643d-4bab-9cc5-1092d8e82b3a,after hours (interlude),2022-08-26,段宜恩,段宜恩
772b7e3c-39f1-47b0-b1e3-9dafd0619231,running away,2022-08-26,段宜恩,段宜恩
7b595a4b-23fc-413d-9a8f-4d2a96a84879,selfish,2022-08-26,段宜恩,段宜恩
8dcfe371-cd04-4252-b283-9854739d4d70,OMW,2018-09-17,段宜恩,段宜恩
97b3fb54-decc-41b1-8bff-daee88c2d218,only human,2022-08-26,段宜恩,段宜恩
982dbb68-016c-4199-b4af-e11717b2fbd6,imysm,2022-08-26,段宜恩,段宜恩
989e8c08-6d02-4a5c-a6c4-34bb6262bb12,OUTTA MY HEAD,2020-01-11,段宜恩,段宜恩
98a93cfe-afb0-4125-854a-ed9f1ffc40ca,imysm,2022-07-01,段宜恩,段宜恩
996a9aaf-b183-4588-b547-965668230301,Everyone Else Fades,2023-10-27,段宜恩,段宜恩
a218609b-c459-4866-8131-cfda7be59e29,my name,2022-08-26,段宜恩,段宜恩
af9faaeb-a313-45aa-ba25-92178a5d90b2,far away,2022-08-26,段宜恩,段宜恩
bc24cd35-d22f-47ad-a3c7-94e45d3cc7a4,change up,2022-08-26,段宜恩,段宜恩
c42ce7ca-d5b2-4614-96af-528b5fb0ba38,more,2022-08-26,段宜恩,段宜恩
c88af964-2bdc-490a-b601-82aafe95c71e,at my low,2022-08-26,段宜恩,段宜恩
c9092882-f97c-492a-a524-d4910b53eec8,Carry Me Out,2023-10-27,段宜恩,段宜恩
cdc39166-9789-49a3-a7bd-543e9d823372,COLD,2019-01-30,段宜恩,段宜恩
db1bbf92-9e5b-4b3a-817c-c417b237e8b7,从未对你说过,2020-03-20,段宜恩,段宜恩
dc7e5e1e-7d62-40c5-9ead-55c421128185,exhausted,2022-08-26,段宜恩,段宜恩
e81e54d5-c79b-4823-bbce-d4ebcf965fe6,Fallin’,2023-10-27,段宜恩,段宜恩
ebd22611-f5f3-49ca-9fde-bc07d0b1cb88,2 faces,2022-08-26,段宜恩,段宜恩
ee77ebb9-f634-4de0-b2ad-95a268810db1,This Is Everything,2023-10-27,段宜恩,段宜恩
f58355b7-cd53-4149-950b-e56b3033632c,One in a Million,2021-02-12,段宜恩,段宜恩
f79fb78f-775a-4975-9594-74296e70bd55,let u go,2022-08-26,段宜恩,段宜恩
f932831b-7558-4ef1-9268-c59c571bb098,hard 2 love,2022-08-26,段宜恩,段宜恩
f93957fb-08ef-46c7-afea-b79f93268620,lonely,2022-08-26,段宜恩,段宜恩
