title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Boys And Girls,199000.0,"가희, Swings",Who are you?,,,KR,2013-10-10,,가희
Hey Boy,193000.0,"가희, Dok2",Who Are You? + Come Back You Bad Person,,,JP,2014-03-26,,가희
Hey Boy,193000.0,"가희, Dok2",Who are you?,,,KR,2013-10-10,,가희
돌아와 나쁜 너,185000.0,가희,Please come back,,,,2011-02-14,,가희
롤러코스터,228000.0,가희,Please come back,,,,2011-02-14,,가희
色とりどりの世界,208000.0,"가희, 윤도현",Who Are You? + Come Back You Bad Person,,,JP,2014-03-26,,가희
It's ME,220000.0,"가희, Dumbfoundead",Who are you?,,,KR,2013-10-10,,가희
One Love,221000.0,가희,Please come back,,,,2011-02-14,,가희
색색의 세계,208000.0,"가희, 윤도현",Who are you?,,,KR,2013-10-10,,가희
Slow,245000.0,가희,Who are you?,,,KR,2013-10-10,,가희
Come Back You Bad Person,186000.0,가희,Who Are You? + Come Back You Bad Person,,,JP,2014-03-26,,가희
One Love,221000.0,가희,Who Are You? + Come Back You Bad Person,,,JP,2014-03-26,,가희
Sinister,203000.0,"가희, Rebecca Kim",Who are you?,,,KR,2013-10-10,,가희
Slow,245000.0,가희,Who Are You? + Come Back You Bad Person,,,JP,2014-03-26,,가희
Sinister,203000.0,"가희, Rebecca Kim",Who Are You? + Come Back You Bad Person,,,JP,2014-03-26,,가희
Present,258000.0,가희,Who Are You? + Come Back You Bad Person,,,JP,2014-03-26,,가희
It's Me (MUSIC VIDEO),,"가희, Dumbfoundead",Who Are You? + Come Back You Bad Person,,,JP,2014-03-26,,가희
Come Back You Bad Person (MUSIC VIDEO),,가희,Who Are You? + Come Back You Bad Person,,,JP,2014-03-26,,가희
Rollercoaster,229000.0,가희,Who Are You? + Come Back You Bad Person,,,JP,2014-03-26,,가희
Boys And Girls,199000.0,"가희, Swings",Who Are You? + Come Back You Bad Person,,,JP,2014-03-26,,가희
It's Me,220000.0,"가희, Dumbfoundead",Who Are You? + Come Back You Bad Person,,,JP,2014-03-26,,가희
선물,258000.0,가희,Please come back,,,,2011-02-14,,가희
