title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
A Big Hit!,207040.0,강대성,A Big Hit!,,,AF,2009-01-29,,강대성
Anymore,235000.0,강대성,D-Day,,,JP,2017-03-28,,강대성
D-Day,232000.0,강대성,D-Day,,,JP,2017-03-28,,강대성
Dear Friends,396000.0,강대성,でぃらいと 2,,,JP,2017-12-20,,강대성
Dress,308000.0,강대성,D'slove,,,JP,2014-07-16,,강대성
Hello,289000.0,강대성,D'scover,,,JP,2013-02-27,,강대성
I LOVE YOU,263000.0,강대성,I LOVE YOU,,,JP,2013-07-31,,강대성
Intro (君へ),143000.0,강대성,D-Day,,,JP,2017-03-28,,강대성
LOOK AT ME GWISOON,261000.0,강대성,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,,,,2017-02-08,,강대성
Lunatic,181000.0,강대성,"What's Up OST, Part 1",,,KR,2011-12-03,,강대성
Rainy Rainy,300000.0,강대성,Rainy Rainy,,,JP,2014-06-11,,강대성
SHUT UP,210800.0,강대성,D'slove,,,JP,2014-07-16,,강대성
The sign,236000.0,강대성,D-Day,,,JP,2017-03-28,,강대성
VENUS,240000.0,강대성,D-Day,,,JP,2017-03-28,,강대성
When You Go To Na‐Seong,188775.0,강대성,Unexpected Business Season 3 “Los Angeles”: When You Go To Na‐Seong (Original Television Soundtrack),,,XW,2023-12-07,,강대성
WINGS,223000.0,강대성,Alive,,,US,2012-02-29,,강대성
あ・ぜ・ちょ!,250000.0,강대성,でぃらいと 2,,,JP,2017-12-20,,강대성
じょいふる,226000.0,강대성,D'scover,,,JP,2013-02-27,,강대성
そばにいてよ,245000.0,강대성,でぃらいと 2,,,JP,2017-12-20,,강대성
どうにもとまらない,183546.0,강대성,でぃらいと,,,AL,2014-10-29,,강대성
また逢う日まで,264000.0,강대성,でぃらいと 2,,,JP,2017-12-20,,강대성
やさしさで溢れるように,299000.0,강대성,D'scover,,,JP,2013-02-27,,강대성
アイ,350000.0,강대성,D'scover,,,JP,2013-02-27,,강대성
ウソボンダ (TRY SMILING),,강대성,I LOVE YOU,,,JP,2013-07-31,,강대성
トさんのオフの過ごし方 In 北海道 ～冬～,,강대성,D'slove,,,JP,2014-07-16,,강대성
"ナルバキスン (Look at Me, Gwisun)",170787.0,강대성,Rainy Rainy,,,JP,2014-06-11,,강대성
ハルカゼメロディ,258000.0,강대성,D-Day,,,JP,2017-03-28,,강대성
世界が終わっても,233000.0,강대성,D'slove,,,JP,2014-07-16,,강대성
二人? 一人!!,231000.0,강대성,D'slove,,,JP,2014-07-16,,강대성
今夜はブギー・バック nice vocal,268000.0,"강대성, VERBAL",D'scover,,,JP,2013-02-27,,강대성
全力少年,243000.0,강대성,D'scover,,,JP,2013-02-27,,강대성
古い日記,168053.0,강대성,でぃらいと,,,AL,2014-10-29,,강대성
夢の蕾,326000.0,강대성,D'scover,,,JP,2013-02-27,,강대성
想い募って,229000.0,강대성,D'slove,,,JP,2014-07-16,,강대성
歌うたいのバラッド,360000.0,강대성,D'scover,,,JP,2013-02-27,,강대성
笑顔の行方,229413.0,강대성,笑顔の行方,,,XW,2017-07-07,,강대성
近未来,231000.0,강대성,D-Day,,,JP,2017-03-28,,강대성
逢いたくていま,361000.0,강대성,D'scover,,,JP,2013-02-27,,강대성
違う、そうじゃない,250000.0,강대성,でぃらいと 2,,,JP,2017-12-20,,강대성
醒めて、眠れ,211000.0,강대성,Rainy Rainy,,,JP,2014-06-11,,강대성
陽のあたる坂道,279000.0,강대성,D'scover,,,JP,2013-02-27,,강대성
"날 봐, 귀순",166585.0,강대성,"Look At Me, Gwisun",,,AF,2008-06-16,,강대성
날개,223000.0,강대성,Alive,,,XW,2012-02-29,,강대성
대박이야!,,강대성,대박이야!,,,KR,2009-01-29,,강대성
솜사탕,224400.0,강대성,Cotton Candy,,,AF,2010-01-26,,강대성
웃어본다,252160.0,강대성,B I G B A N G 03,,,KR,2006-11-20,,강대성
