title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Because of You,237104,김보형,Because of You,,,XW,2018-03-30,,김보형
A Bird Flutters Away - Howl Howl,219707,김보형,A Bird Flutters Away - Howl Howl,,,XW,2019-02-20,,김보형
Crazy Girl (inst.),273771,김보형,Crazy Girl,,,XW,2013-10-18,,김보형
내가 미친년이야,273000,김보형,내가 미친년이야,,,KR,2013-10-18,,김보형
Beautiful,210977,김보형,Beautiful,,,XW,2019-06-17,,김보형
Because of You (inst.),237104,김보형,Because of You,,,XW,2018-03-30,,김보형
Moonlight,205004,김보형,Music Is for All,,,XW,2018-02-27,,김보형
Moonlight (10.2-ch Immersive Sound & Binaural Sound),208127,김보형,Music Is for All,,,XW,2018-02-27,,김보형
내가 미친년이야 (inst.),273000,김보형,내가 미친년이야,,,KR,2013-10-18,,김보형
Crazy Girl,273771,김보형,Crazy Girl,,,XW,2013-10-18,,김보형
