title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
After Party,229000.0,김재환,Moment,,,XW,2019-12-12,,김재환
After Party,229000.0,김재환,MOMENT,,,KR,2019-12-13,,김재환
Amaid,178346.0,김재환,I Adore,,,XW,2024-05-08,,김재환
Blow Me,198000.0,김재환,Another,,,,2019-05-20,,김재환
Blue Moon,202000.0,김재환,Change,,,,2021-04-07,,김재환
Champagne,165293.0,김재환,J.A.M (Journey Above Music),,,XW,2023-06-20,,김재환
Daylight,183986.0,김재환,J.A.M (Journey Above Music),,,XW,2023-06-20,,김재환
For your soul,208106.0,김재환,I Adore,,,XW,2024-05-08,,김재환
GOODBYE MORNING,179000.0,김재환,Empty Dream,,,KR,2022-09-05,,김재환
How I Feel,210000.0,김재환,별똥별 OST,,,KR,2022-06-11,,김재환
How I Feel (inst.),210000.0,김재환,별똥별 OST,,,KR,2022-06-11,,김재환
Leave me alone,172066.0,김재환,I Adore,,,XW,2024-05-08,,김재환
LOVE STRIKE,184000.0,김재환,Empty Dream,,,KR,2022-09-05,,김재환
Lucky!,200293.0,"김재환, BOBBY",J.A.M (Journey Above Music),,,XW,2023-06-20,,김재환
My ocean,171960.0,김재환,J.A.M (Journey Above Music),,,XW,2023-06-20,,김재환
My Star,209000.0,김재환,Another,,,,2019-05-20,,김재환
NUNA,177000.0,김재환,Moment,,,XW,2019-12-12,,김재환
OASIS,189000.0,김재환,Empty Dream,,,KR,2022-09-05,,김재환
Paradise,210000.0,"김재환, 박우진",Moment,,,XW,2019-12-12,,김재환
Ponytail,210346.0,김재환,I Adore,,,XW,2024-05-08,,김재환
Pray,174000.0,김재환,Change,,,,2021-04-07,,김재환
Sleep,172640.0,김재환,J.A.M (Journey Above Music),,,XW,2023-06-20,,김재환
Spring Breeze,175800.0,김재환,J.A.M (Journey Above Music),,,XW,2023-06-20,,김재환
The Time I Need,208000.0,김재환,Moment,,,XW,2019-12-12,,김재환
Truth or Dare,169453.0,김재환,I Adore,,,XW,2024-05-08,,김재환
What,176506.0,김재환,I Adore,,,XW,2024-05-08,,김재환
Who Am I,207000.0,김재환,Moment,,,XW,2019-12-12,,김재환
Who Am I,206000.0,김재환,MOMENT,,,KR,2019-12-13,,김재환
Zzz,194000.0,김재환,Moment,,,XW,2019-12-12,,김재환
Zzz,194000.0,김재환,MOMENT,,,KR,2019-12-13,,김재환
겨울동화,174000.0,김재환,THE LETTER,,,KR,2021-12-27,,김재환
그 시절 우리는,220000.0,김재환,Empty Dream,,,KR,2022-09-05,,김재환
그대가 없어도 난 살겠지,261972.0,"김재환, HYNN",Change,,,,2021-04-07,,김재환
그렇게 널,227000.0,김재환,Another,,,,2019-05-20,,김재환
꽃인가요,189000.0,김재환,Change,,,,2021-04-07,,김재환
누나 (NUNA),177000.0,김재환,MOMENT,,,KR,2019-12-13,,김재환
다 잊은 줄 알았어,208000.0,김재환,THE LETTER,,,KR,2021-12-27,,김재환
대답해줘,180000.0,김재환,Empty Dream,,,KR,2022-09-05,,김재환
디자이너 (Designer),191000.0,김재환,Another,,,,2019-05-20,,김재환
랄라 (Melodrama),186000.0,김재환,Another,,,,2019-05-20,,김재환
별의 목소리,211000.0,김재환,THE LETTER,,,KR,2021-12-27,,김재환
봄 여름 가을 겨울,,김재환,"故 김현식 30주기 헌정앨범 ""추억 만들기""",,,KR,2021-08-11,,김재환
빛이 되어줘,234000.0,김재환,갯마을 차차차 OST,,,KR,2021-10-18,,김재환
삐뚤어질까요,202000.0,김재환,Empty Dream,,,KR,2022-09-05,,김재환
손편지,251000.0,김재환,Change,,,,2021-04-07,,김재환
슈퍼마리오,174000.0,김재환,THE LETTER,,,KR,2021-12-27,,김재환
시간이 필요해,208000.0,김재환,MOMENT,,,KR,2019-12-13,,김재환
신이나,200000.0,김재환,Change,,,,2021-04-07,,김재환
안녕하세요,233000.0,김재환,Another,,,,2019-05-20,,김재환
애가타,189000.0,김재환,Change,,,,2021-04-07,,김재환
어떤 날엔,258000.0,김재환,사랑의 불시착 OST,,,KR,2020-02-16,,김재환
우리 사랑은 다신 이뤄지지 않아,204000.0,김재환,THE LETTER,,,KR,2021-12-27,,김재환
찾지 않을게,186000.0,김재환,Change,,,,2021-04-07,,김재환
파라다이스,210000.0,"김재환, 박우진",MOMENT,,,KR,2019-12-13,,김재환
