title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
엄마의 프로필 사진은 왜 꽃밭일까 (Inst.),279000,김진호,엄마의 프로필 사진은 왜 꽃밭일까,,,KR,2019-05-16,,김진호
졸업사진,274000,김진호,졸업사진,,,KR,2017-02-16,,김진호
Family Portrait (2020) (Inst.),403226,김진호,가족사진 (2020),,,XW,2020-05-21,,김진호
그거 모으러 왔나 봐요,309000,김진호,때묻은 시 프로젝트 첫번째,,,KR,2020-04-08,,김진호
가족사진,343000,김진호,가족사진,,,KR,2020-05-21,,김진호
Family Portrait (2020),403213,김진호,가족사진 (2020),,,XW,2020-05-21,,김진호
가족사진 (Inst.),343000,김진호,가족사진,,,KR,2020-05-21,,김진호
엄마의 프로필 사진은 왜 꽃밭일까,279000,김진호,엄마의 프로필 사진은 왜 꽃밭일까,,,KR,2019-05-16,,김진호
도착,228000,김진호,도착,,,KR,2020-07-21,,김진호
집으로 돌아오는 길,215133,"SeeYa, 김진호",Brilliant Change,,,KR,2008-09-26,,김진호
졸업사진 (Inst.),274000,김진호,졸업사진,,,KR,2017-02-16,,김진호
