title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
7-2=오해,228000.0,"니콜, 동우",First Romance,,,KR,2014-11-18,,니콜
BEAT MAN (instrumental),185786.0,니콜,DON’T STOP,,,JP,2016-02-17,,니콜
BEST MAN,187626.0,니콜,DON’T STOP,,,JP,2016-02-17,,니콜
DON'T STOP,207426.0,니콜,DON’T STOP,,,JP,2016-02-17,,니콜
DON'T STOP,207200.0,니콜,bliss,,,JP,2016-04-27,,니콜
DON'T STOP (instrumental),207293.0,니콜,DON’T STOP,,,JP,2016-02-17,,니콜
DON'T STOP -Music Video Dance Ver.,215000.0,니콜,DON’T STOP,,,JP,2016-02-17,,니콜
Dream Of Love,235733.0,니콜,bliss,,,JP,2016-04-27,,니콜
FANTASY,203000.0,니콜,Something Special,,,JP,2015-06-24,,니콜
FANTASY (instrumental),204000.0,니콜,Something Special,,,JP,2015-06-24,,니콜
HAPPY,216600.0,니콜,bliss,,,JP,2016-04-27,,니콜
Innocent?,73000.0,"니콜, 김보아",First Romance,,,KR,2014-11-18,,니콜
LOVE,312000.0,니콜,First Romance,,,KR,2014-11-18,,니콜
LOVE -Japanese Ver.-,313000.0,니콜,Something Special,,,JP,2015-06-24,,니콜
Lost,218586.0,"니콜, 정진운",KARA SoloCollection,,,KR,2012-11-30,,니콜
Lost (inst.),218573.0,니콜,KARA SoloCollection,,,KR,2012-11-30,,니콜
Lucky Day,242666.0,니콜,bliss,,,JP,2016-04-27,,니콜
Lunar,197333.0,니콜,bliss,,,JP,2016-04-27,,니콜
MAMA,204000.0,니콜,First Romance,,,KR,2014-11-18,,니콜
MAMA (inst.),204000.0,니콜,First Romance,,,KR,2014-11-18,,니콜
Memories,346200.0,니콜,bliss,,,JP,2016-04-27,,니콜
Mysterious,184907.0,니콜,Mysterious,,,XW,2023-03-09,,니콜
Mysterious (inst.),184907.0,니콜,Mysterious,,,XW,2023-03-09,,니콜
Mysterious –Music Video–,,니콜,Selfish,,,JP,2023,,니콜
Need A Love,218866.0,니콜,bliss,,,JP,2016-04-27,,니콜
Precious Time,279533.0,니콜,bliss,,,JP,2016-04-27,,니콜
Say Good Bye,228066.0,니콜,bliss,,,JP,2016-04-27,,니콜
Selfish,217000.0,니콜,Selfish,,,JP,2023,,니콜
Selfish-Instrumental-,216000.0,니콜,Selfish,,,JP,2023,,니콜
Something Special,194000.0,니콜,Something Special,,,JP,2015-06-24,,니콜
Something Special,193533.0,니콜,bliss,,,JP,2016-04-27,,니콜
Something Special (instrumental),194000.0,니콜,Something Special,,,JP,2015-06-24,,니콜
Wonderful baby,207733.0,니콜,bliss,,,JP,2016-04-27,,니콜
YOU.F.O,184000.0,니콜,YOU.F.O,,,XW,2022-07-31,,니콜
YOU.F.O (instrumental),184000.0,니콜,YOU.F.O,,,XW,2022-07-31,,니콜
YOU.F.O –Music Video–,,니콜,Selfish,,,JP,2023,,니콜
recall,216266.0,니콜,bliss,,,JP,2016-04-27,,니콜
ロスト,225000.0,"니콜, 정진운",Kara Collection,,,JP,2012-09-05,,니콜
ロスト (instrumental),225000.0,니콜,Kara Collection,,,JP,2012-09-05,,니콜
目指せ大人女子!「ハマル・ニコル」#2,871000.0,니콜,DON’T STOP,,,JP,2016-02-17,,니콜
조커 (Joker),200000.0,니콜,First Romance,,,KR,2014-11-18,,니콜
