title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Amazing,297000.0,"다나, Sunday",2011 SMTOWN Winter ’The Warmest Gift’,,,XW,2011-12-13,,다나
Baby Come Tonight,175000.0,다나,'04 Summer Vacation in SMTOWN.com,,,KR,2004-07-02,,다나
Be My Love,223000.0,다나,2003 Winter Vacation in SMTOWN.com,,,KR,2003-12-04,,다나
Behind Love,216400.0,다나,DANA,,,KR,2001-09-10,,다나
Chocolate,224000.0,다나,Winter Vacation in SMTOWN.com: Angel Eyes,,,KR,2001-12-04,,다나
Dear My Friend,,다나,2003 Summer Vacation in SMTown.com,,,KR,2003-06-18,,다나
Diamond,214000.0,다나,DANA,,,KR,2001-09-10,,다나
Dream,260000.0,다나,남겨둔 이야기,,,XW,2003-10-01,,다나
Feel for You,229240.0,다나,DANA,,,KR,2001-09-10,,다나
For You,216306.0,다나,DANA,,,KR,2001-09-10,,다나
How 2 Love,212000.0,다나,남겨둔 이야기,,,XW,2003-10-01,,다나
I Will,250000.0,다나,남겨둔 이야기,,,XW,2003-10-01,,다나
Jealousy,226426.0,다나,DANA,,,KR,2001-09-10,,다나
Kiss Me,217000.0,다나,남겨둔 이야기,,,XW,2003-10-01,,다나
Love Takes Time,260826.0,다나,DANA,,,KR,2001-09-10,,다나
Lover,258893.0,다나,DANA,,,KR,2001-09-10,,다나
My Christmas Story,233466.0,다나,2002 Winter Vacation in SMTOWN.com,,,XW,2002-12-01,,다나
My Melody,272000.0,다나,남겨둔 이야기,,,XW,2003-10-01,,다나
N&N (End And And),234000.0,다나,남겨둔 이야기,,,XW,2003-10-01,,다나
Pray:Play,218533.0,다나,DANA,,,KR,2001-09-10,,다나
Pretty...,208066.0,다나,DANA,,,KR,2001-09-10,,다나
Tonite,221506.0,다나,DANA,,,KR,2001-09-10,,다나
Under the Sea,,"다나, Stephanie, 이특, 김희철, 예성, 강인, 은혁, 동해, 성민, 려욱, 張力尹",2007 Summer SMTOWN,,,KR,2007-07-05,,다나
Under the Sea (Instrumental Ver.),,"다나, Stephanie, 이특, 김희철, 예성, 강인, 은혁, 동해, 성민, 려욱, 張力尹",2007 Summer SMTOWN,,,KR,2007-07-05,,다나
Unhappy Day,223000.0,다나,남겨둔 이야기,,,XW,2003-10-01,,다나
Valentine,217333.0,다나,DANA,,,KR,2001-09-10,,다나
What Is Love,193000.0,다나,남겨둔 이야기,,,XW,2003-10-01,,다나
With 4 U (미안해... 고마워),251133.0,다나,'02 Summer Vacation in SMTOWN.com,,,KR,2002-06-01,,다나
길들이기 (Friend VS Lover),243000.0,다나,남겨둔 이야기,,,XW,2003-10-01,,다나
남겨둔 이야기 (Maybe),245000.0,다나,남겨둔 이야기,,,XW,2003-10-01,,다나
너를 꿈꾸며 (Love All I Need),231000.0,다나,남겨둔 이야기,,,XW,2003-10-01,,다나
바램 (Fight Till The End),197000.0,다나,남겨둔 이야기,,,XW,2003-10-01,,다나
바램 (Fight to the End),219000.0,"다나, 지연, Sunday, Stephanie",'04 Summer Vacation in SMTOWN.com,,,KR,2004-07-02,,다나
세상끝까지,210533.0,다나,DANA,,,KR,2001-09-10,,다나
어쩌면 우린,230000.0,다나,"For You in Full Blossom (Original Television Soundtrack), Pt. 4",,,XW,2012-05-09,,다나
어쩌면 우린 (Maybe...),230388.0,다나,아름다운 그대에게 OST,,,KR,2012-09-19,,다나
울려 퍼져라 (Touch You),324000.0,다나,울려 퍼져라 (Touch You),,,KR,2016-05-20,,다나
울려 퍼져라 (Touch You) (inst.),324000.0,다나,울려 퍼져라 (Touch You),,,KR,2016-05-20,,다나
