title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Lost in California,208520,도영,YOUTH,,,,2024-04-22,,도영
나의 바다에게 From Little Wave,235626,도영,YOUTH,,,,2024-04-22,,도영
새봄의 노래 Beginning,208560,도영,YOUTH,,,,2024-04-22,,도영
넌 어디에 (Where You Are),266000,"려욱, ONEW, 도영, 钟辰乐, 肖德俊",2022 Winter SMTOWN : SMCU PALACE,,,KR,2022-12-26,,도영
반딧불 Little Light,224866,도영,YOUTH,,,,2024-04-22,,도영
쉼표 Rest,220506,도영,YOUTH,,,,2024-04-22,,도영
인형,271000,"BAEKHYUN, 도영",Rewind : Blossom,,,XW,2021-03-26,,도영
우리 하나되어 2021 (inst.),286000,"도영, SEULGI, 백지영, 서은광, 이창섭, 현재, 민영, MJ, 김재환, 하성운, 10cm, 인순이, 옥주현, Park Bom, 김태우, 황치열, Y, Tiger JK, Bizzy, WEi, Lee Su Jeong, 지수연, 김수윤, 제인, 주이, 아인, 차준호, Kang Hyung Ho, 김조한, Letteamor, SIYEON, YOOHYEON, SINCHONTIGER, IZ, WAX, 이상민, CHEETAH, Teo, TRI.BE",2021 Now N New,,,AF,2021-05-17,,도영
A little more (아주 조금만 더),212568,도영,A little more (아주 조금만 더),,,,,,도영
Hard for me,203616,도영,RICHMAN OST Part.5,,,,,,도영
끝에서 다시 Rewind,229466,도영,YOUTH,,,,2024-04-22,,도영
댈러스 러브 필드 Dallas Love Field,194560,도영,YOUTH,,,,2024-04-22,,도영
별빛이 피면 (Star Blossom) (inst.),211000,"도영, 김세정",별빛이 피면 (Star Blossom),,,KR,2017-10-13,,도영
온기 Warmth,215626,도영,YOUTH,,,,2024-04-22,,도영
Time Machine,207466,"도영, TAEYEON, MARK",YOUTH,,,,2024-04-22,,도영
Like a Star,240960,도영,Yumi's Cells OST,,,,,,도영
우리 하나되어 2021,286000,"도영, SEULGI, 백지영, 서은광, 이창섭, 현재, 민영, MJ, 김재환, 하성운, 10cm, 인순이, 옥주현, Park Bom, 김태우, 황치열, Y, Tiger JK, Bizzy, WEi, Lee Su Jeong, 지수연, 김수윤, 제인, 주이, 아인, 차준호, Kang Hyung Ho, 김조한, Letteamor, SIYEON, YOOHYEON, SINCHONTIGER, IZ, WAX, 이상민, CHEETAH, Teo, TRI.BE",2021 Now N New,,,AF,2021-05-17,,도영
별빛이 피면 (Star Blossom),211000,"도영, 김세정",별빛이 피면 (Star Blossom),,,KR,2017-10-13,,도영
First Christmas,217862,"JOY, 도영",인기가요 뮤직크러쉬 Part.4,,,,2016-12-18,,도영
"Maniac (Sung by DOYOUNG, HAECHAN)",208296,"도영, 해찬, NCT U",Maniac,,,,,,도영
우리 하나되어 2021 (3D SOUND),286000,"도영, SEULGI, 백지영, 서은광, 이창섭, 현재, 민영, MJ, 김재환, 하성운, 10cm, 인순이, 옥주현, Park Bom, 김태우, 황치열, Y, Tiger JK, Bizzy, WEi, Lee Su Jeong, 지수연, 김수윤, 제인, 주이, 아인, 차준호, Kang Hyung Ho, 김조한, Letteamor, SIYEON, YOOHYEON, SINCHONTIGER, IZ, WAX, 이상민, CHEETAH, Teo, TRI.BE",2021 Now N New,,,AF,2021-05-17,,도영
내가 됐으면 해 Serenade,186080,도영,YOUTH,,,,2024-04-22,,도영
