title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Crossword,178000,민현,Truth or Lie,,,XW,2023-02-27,,민현
CUBE,206000,민현,Truth or Lie,,,XW,2023-02-27,,민현
Daybreak,221000,"민현, 김종현",Canvas,,,KR,2016-08-29,,민현
EARPHONE,190000,민현,Romanticize,,,XW,2021-04-19,,민현
Hidden Side,177000,민현,Truth or Lie,,,XW,2023-02-27,,민현
Honest,232000,민현,Truth or Lie,,,XW,2023-02-27,,민현
Perfect Type,162000,민현,Truth or Lie,,,XW,2023-02-27,,민현
Smile,193000,민현,Truth or Lie,,,XW,2023-02-27,,민현
Tree (Just Watching You 2),243000,민현,Alchemy of Souls: Light and Shadow (Original Television Soundtrack),,,KR,2023-01-09,,민현
Universe,201000,민현,Universe,,,XW,2019-04-03,,민현
