title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Dynamic Love,190000,박보람,Dynamic Love,,,KR,2016-04-21,,박보람
인'썸'니아,200000,박보람,"Story About : 썸, 한달 Episode 5",,,KR,2017-06-28,,박보람
Left over left hand,249266,박보람,Touch Your Heart OST,,,KR,2019-03-28,,박보람
예뻐졌다,210000,"박보람, ZICO",예뻐졌다,,,KR,2014-08-07,,박보람
Rainy Season (inst.),257880,박보람,Rainy Season,,,XW,2023-06-29,,박보람
Lonely Night,219000,박보람,CELEPRETTY,,,KR,2015-04-23,,박보람
미안해요 (Piano ver.),204000,박보람,미안해요,,,KR,2015-10-08,,박보람
상상데이트,222000,박보람,ORANGE MOON,,,KR,2017-07-13,,박보람
I Can’t,239320,박보람,I Can’t,,,XW,2020-03-13,,박보람
MOONWALK,205000,박보람,ORANGE MOON,,,KR,2017-07-13,,박보람
아이러니,175000,박보람,ORANGE MOON,,,KR,2017-07-13,,박보람
싶으니까,196000,박보람,싶으니까,,,KR,2019-07-06,,박보람
Listen to this song,220587,박보람,Listen to this song,,,,2023-10-25,,박보람
"미워도 사랑하니까 (나 완전히 새됐어, 레이디퍼스트)",299288,"박보람, 달수빈",Mask Singer 59th (Live Version),,,AL,2016-05-18,,박보람
알잖아,191000,박보람,ORANGE MOON,,,KR,2017-07-13,,박보람
Left over left hand (instrumental),249280,박보람,Touch Your Heart OST,,,KR,2019-03-28,,박보람
Before After,213000,박보람,CELEPRETTY,,,KR,2015-04-23,,박보람
미안해요,212000,박보람,미안해요,,,KR,2015-10-08,,박보람
Falling,273000,박보람,"하이드 지킬, 나 OST Part 1",,,KR,2015-01-22,,박보람
I Can’t (inst.),239333,박보람,I Can’t,,,XW,2020-03-13,,박보람
연예할래,191000,박보람,CELEPRETTY,,,KR,2015-04-23,,박보람
When I look at you (inst.),189693,박보람,When I look at you,,,XW,2022-08-16,,박보람
넌 왜?,208000,"박보람, Samuel Seo",ORANGE MOON,,,KR,2017-07-13,,박보람
When I look at you,189680,박보람,When I look at you,,,XW,2022-08-16,,박보람
Listen to this song (inst.),220600,박보람,Listen to this song,,,,2023-10-25,,박보람
심쿵,203000,박보람,CELEPRETTY,,,KR,2015-04-23,,박보람
Destiny,235111,박보람,Man to Man (Original Television Soundtrack),,,XW,2017-07-01,,박보람
말려줘 (feat. 릴보이 Of 긱스),197000,박보람,말려줘,,,KR,2018-04-06,,박보람
Rainy Season,257880,박보람,Rainy Season,,,XW,2023-06-29,,박보람
싶으니까 (inst.),196000,박보람,싶으니까,,,KR,2019-07-06,,박보람
