title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
0%,196000.0,백아연,Observe,,,XW,2021-09-07,,백아연
0% (inst.),196000.0,백아연,Observe,,,XW,2021-09-07,,백아연
a Good Boy,230000.0,백아연,a Good Girl,,,KR,2013-06-17,,백아연
Always,239000.0,"백아연, JUN. K",I’m Baek,,,KR,2012-09-10,,백아연
Always Be With You,282084.0,백아연,Encounter (Original Television Soundtrack),,,XW,2019-01-25,,백아연
Daydream,256000.0,백아연,Observe,,,XW,2021-09-07,,백아연
Doctor,185293.0,백아연,Doctor,,,,2022-08-17,,백아연
Doctor (inst.),185293.0,백아연,Doctor,,,,2022-08-17,,백아연
Imagination,202000.0,백아연,Observe,,,XW,2021-09-07,,백아연
LIME (I'm So),130308.0,백아연,LIME (I’m So),,,XW,2023-11-06,,백아연
LIME (I'm So) (English ver.),130308.0,백아연,LIME (I’m So),,,XW,2023-11-06,,백아연
"Love, Love, Love",218000.0,백아연,I’m Baek,,,KR,2012-09-10,,백아연
"Painful, Angry and Sorry",177826.0,백아연,"Painful, Angry and Sorry",,,XW,2022-10-06,,백아연
"Painful, Angry and Sorry (inst.)",177840.0,백아연,"Painful, Angry and Sorry",,,XW,2022-10-06,,백아연
Starlight,,백아연,Dear me,,,KR,2018-11-21,,백아연
The War on Loneliness,193000.0,백아연,Observe,,,XW,2021-09-07,,백아연
Wanna Be Crooked,209000.0,백아연,Observe,,,XW,2021-09-07,,백아연
Wherever,246466.0,백아연,The Spies Who Loved Me OST,,,KR,2020-12-09,,백아연
그냥 한번,207000.0,"백아연, Jay B",그냥 한번,,,KR,2016-11-30,,백아연
끝모습,221000.0,백아연,Bittersweet,,,,2017-05-29,,백아연
너 때문에,230000.0,"백아연, 孟佳",a Good Girl,,,KR,2013-06-17,,백아연
넘어져라,191000.0,백아연,Bittersweet,,,,2017-05-29,,백아연
느린노래,206000.0,백아연,I’m Baek,,,KR,2012-09-10,,백아연
니가 떠나간다,231000.0,백아연,I’m Baek,,,KR,2012-09-10,,백아연
달콤한 빈말,205000.0,"백아연, The Barberettes",Bittersweet,,,,2017-05-29,,백아연
마법소녀,239000.0,백아연,Bittersweet,,,,2017-05-29,,백아연
마음아 미안해,,백아연,Dear me,,,KR,2018-11-21,,백아연
말하지 않아도,,백아연,Dear me,,,KR,2018-11-21,,백아연
말해줘,264000.0,백아연,a Good Girl,,,KR,2013-06-17,,백아연
맘에 들어,198000.0,"백아연, 바로",a Good Girl,,,KR,2013-06-17,,백아연
머물러요,259000.0,백아연,I’m Baek,,,KR,2012-09-10,,백아연
변덕쟁이,,백아연,故김현식 30주기 헌정앨범 “추억 만들기” Part 5,,,,2021-01-12,,백아연
변덕쟁이,,백아연,"故 김현식 30주기 헌정앨범 ""추억 만들기""",,,KR,2021-08-11,,백아연
변덕쟁이 (Inst.),,백아연,故김현식 30주기 헌정앨범 “추억 만들기” Part 5,,,,2021-01-12,,백아연
사랑인 듯 아닌 듯,203046.0,백아연,Moonlovers: Scarlet Heart Ryeo (Original Television Soundtrack),,,AF,2015-10-25,,백아연
사랑인 듯 아닌 듯 (Inst.),202000.0,백아연,달의 연인 - 보보경심 려 OST Part 7,,,KR,2016-09-21,,백아연
산소처럼,208000.0,백아연,a Good Girl,,,KR,2013-06-17,,백아연
성냥팔이 소녀 (The Little Match Girl),227000.0,"백아연, WENDY",성냥팔이 소녀 (The Little Match Girl),,,KR,2017-12-01,,백아연
성냥팔이 소녀 (The Little Match Girl) (inst.),225000.0,"백아연, WENDY",성냥팔이 소녀 (The Little Match Girl),,,KR,2017-12-01,,백아연
시간은 돌고 돌아서,,백아연,Dear me,,,KR,2018-11-21,,백아연
썸 타긴 뭘 타,222000.0,백아연,썸 타긴 뭘 타,,,KR,2020-06-16,,백아연
썸 타긴 뭘 타 (inst.),222000.0,백아연,썸 타긴 뭘 타,,,KR,2020-06-16,,백아연
쏘쏘,212000.0,백아연,쏘쏘,,,KR,2016-05-24,,백아연
안아줘,,백아연,Dear me,,,KR,2018-11-21,,백아연
연락이 없으면,199000.0,백아연,Bittersweet,,,,2017-05-29,,백아연
이럴거면 그러지말지,216000.0,"백아연, 강영현",이럴거면 그러지말지,,,KR,2015-05-20,,백아연
진짜 거짓말,,백아연,Dear me,,,KR,2018-11-21,,백아연
질투가 나,228000.0,"백아연, JAMIE",Bittersweet,,,,2017-05-29,,백아연
춥지 않게,206000.0,백아연,I Need You,,,XW,2020-12-24,,백아연
춥지 않게 (inst.),206000.0,백아연,I Need You,,,XW,2020-12-24,,백아연
캐논의 아침,223000.0,백아연,운명처럼 널 사랑해 OST,,,KR,2014-08-28,,백아연
할 말,191000.0,백아연,쏘쏘,,,KR,2016-05-24,,백아연
