recording_id,title,release_date,query_artist_name,retrieved_artist_name
072e5fe5-5147-4d5b-933d-6d0b00884c69,R.E.M,2002-09-01,부활,부활
076bc662-0009-43e1-a570-211aaecb0cdd,Never Ending Story (orchestra session),2002-09-01,부활,부활
08371b9a-5df2-4b4c-abb0-0e017257f301,또 다른 미로,1997-07,부활,부활
0a22b2b0-ddcf-4069-9708-a80b0f111e61,백야,2010-03-12,부활,부활
0e8d3959-e4f5-4095-9dcc-74849045b08d,Loss of Memory (기억상실),1993,부활,부활
168b5c1c-22a3-4fff-bb37-52d28280d486,불의 발견 III,1997-07,부활,부활
1868f36a-9243-4b6c-89fa-8ca2014e556d,불의 발견 I,1997-07,부활,부활
1a710e6a-325d-4da0-b057-47c4e2ba5b5e,1970,2003-12-19,부활,부활
1ba7bcf6-e1a5-459a-85bb-896707510fd2,Rain (Instrumental),2003-12-19,부활,부활
1e4b3c4d-477d-4020-b95a-532b29f78e6f,I Can Dream Come True,2000-12-28,부활,부활
1e76f480-3df2-4317-8704-d4cccb6ed632,Second 8.1.1 (Instrumental),2005-07-06,부활,부활
21fa9cec-b8d4-4aa9-ac43-57116aabcca1,네번째 회상,2002-09-01,부활,부활
24ad5d99-7c0f-46b7-88ea-6f81087a8367,Close Your Eyes,2006-12-01,부활,부활
28f8434d-20d1-4d1b-ae7a-0820aa5e2ee7,비와 당신의 이야기,2002-09-01,부활,부활
2975c72b-201c-422f-b2a8-bcf60a4b1788,부활,2012-06-08,부활,부활
2ce32b91-2c18-485d-a9ae-c41b9d83a3fd,가능성,1999-02,부활,부활
31dedff0-0bfe-4934-9568-427b7be96364,동화,2010-03-12,부활,부활
3254c9ec-ff8e-4c4b-8b0c-f6587f629815,그리움 그리운 그림,1993,부활,부활
357bf153-9fe5-42ff-9806-d3c0f6e7168c,눈먼 아이가 본 풍경,2002-09-01,부활,부활
370e7bb5-5b7a-49d3-a6fc-87c9a7fc1766,Lonely Night,2000-12-28,부활,부활
3960b33c-3a47-4394-a36f-11acf6c0ac67,기억이 부르는 날에,1996-11-15,부활,부활
3ce90ab8-c3f2-42c4-bc93-1b5a6fa65623,너에게로,1999-02,부활,부활
416f8a4e-4d06-4861-a48f-9daf06300b44,비와 당신의 이야기,1986-10-03,부활,부활
4474a95e-ec11-4c82-b0e6-8cdf65525750,비와 당신의 이야기,1996-11-15,부활,부활
4804c2ac-ccc7-4fdc-82d1-bf2247fa758b,불의 발견 II,1997-07,부활,부활
48c27984-2eb9-4bb1-9487-6067c5f0267d,노을 (Unplugged),2006-06-09,부활,부활
48d75b9c-1922-4261-a124-a94ff36d8c2a,Someday,2010-03-12,부활,부활
4bb49d56-c051-4801-8a1c-0518106cb6fa,너뿐이야,1989-06-01,부활,부활
4e6d1bd1-405f-4212-a588-ccf452dd8e21,불면,1999-02,부활,부활
4fc4e91d-8d1f-43d6-b669-1b9af77a2455,별 (연주곡),1993,부활,부활
55fb7738-fc73-4a6c-bd0f-25621b9a30ce,c. 모든 취하는 것,1995-10,부활,부활
561a5e33-5a79-4344-b3bd-3cccfce6fbf1,너뿐이야,1986-10-03,부활,부활
57d2e588-f6c2-4381-9927-b2543e2d8cc8,Return to Innocence,2012-06-08,부활,부활
5a120e86-5ab4-405e-9ab0-d2c0e2788d3d,4.1.9 코끼리 탈출하다 (Instrumental),2005-07-06,부활,부활
5a94d2b9-9e7b-4ec2-bdcb-4339a08721f1,OZ,2009-08-18,부활,부활
5b57a010-bb7f-40ed-b046-b5e37f2ee473,Pluto,2012-06-08,부활,부활
5df34b76-2f8c-4e18-be69-c046d1b74731,The Fog,2006-11-05,부활,부활
5e75a1a5-875c-4a09-983b-d32f3d0d70d1,드나드는 그리움,1995-10,부활,부활
5f445633-140b-46f9-97f6-0507ff000304,Never Ending Story,2002-09-01,부활,부활
61ad0f51-c657-404d-9060-f0d96ca99976,Lonely Night,1997-07,부활,부활
6307b96f-86dc-4c0e-a557-74c86171d443,Beard of God,2012-06-08,부활,부활
637895e0-4b20-462c-a8ac-bb8c228281c3,a. 비 들이치는 방,1995-10,부활,부활
63c221d8-d863-4172-9228-8792362dfe6c,If,2006-12-01,부활,부활
681b9aab-8249-4f35-8220-feecac03231c,거미의 줄,2005-07-06,부활,부활
6865ab0e-bbb6-4929-b456-82b852453d7f,나비,2006-12-01,부활,부활
6a8aa4d5-86d7-41d4-90bc-8b6fbd339f4a,8.1.1 (연주곡),1993,부활,부활
6c104ef0-6533-49f4-83cc-7f0f336277e5,드나드는 그리움,1996-11-15,부활,부활
6eaf417a-9607-4caa-8ec3-e5a6e6dc8793,거리,1999-02,부활,부활
71865122-08f8-43a0-ae99-ccaad60f21a0,비와 당신의 이야기,1989-06-01,부활,부활
73116485-238e-46bb-832e-6a5f114224bb,너 뿐이야 (Live),2006-06-09,부활,부활
75771516-b289-4608-a55f-9e8e0e77eb06,Never Ending Story (Dance Version),2003-04-19,부활,부활
790ab363-1e26-40d9-9b33-83b8f991d526,가능성,2000-12-28,부활,부활
7bce66cd-42ea-46b6-b966-ea240ddfe89c,노을,2005-07-06,부활,부활
7cbadb1e-687b-48a2-9b81-1bd354a97928,네버엔딩 스토리 (Live),2006-06-09,부활,부활
7d3a7c29-adff-47aa-ac47-680d4aca460a,사랑,2006-12-01,부활,부활
8858a0a0-472e-4b9e-9518-8cc86eb7c8e1,너에게로,2000-12-28,부활,부활
9163ca4a-3bcb-476b-8fa5-901928c6add0,Head Up,2012-06-08,부활,부활
939f7abe-f6d1-4d0b-9b6b-ec6d6ee66820,1971 여름 (Instrumental),2006-12-01,부활,부활
93b3ba64-1c17-481a-bc02-478b8ec13690,늘 너의 곁으로,1995-10,부활,부활
93eee926-85ce-4fc2-be05-af95cfcacf86,Jill’s Theme (경음악),1987-11,부활,부활
9582b838-af8e-4e9f-8653-3f7f9af5a7c8,b. 젖어들던 순간들,1995-10,부활,부활
97eb13b9-466e-4993-a9eb-37032c3e43fd,Love Song,2003-12-19,부활,부활
9bede109-7af8-4b7a-a1f4-f36ade081d74,내일은 비 (Classic),2004-10-27,부활,부활
a019d2c8-0c77-42f1-89f1-b37e5e9f0ecd,1982,2012-06-08,부활,부활
a0730eda-82b1-4d6d-a126-e0bd12dc5f1d,다리를 걷는 여인,1995-10,부활,부활
a1850909-716a-4403-a02b-8fee658311c6,Never Ending Story (Dance Version),2003-04-19,부활,부활
a3e9a4c4-cd25-45f1-b176-5999e236cc21,In Your Eyes,2000-12-28,부활,부활
a42ee7ea-55dd-4474-93e2-e1bf8e31b9e1,A Side Effect,2006-12-01,부활,부활
ab051741-f62b-4e71-867b-1132796a7b83,마술사,1997-07,부활,부활
add9e58d-6ffa-4dce-abe1-3f85c7328a7a,믿음,1997-07,부활,부활
b089d86e-2592-430d-b3fe-70f965e5247e,Imagine,2005-07-06,부활,부활
b7b91e06-3f00-451b-b3c9-742135dd224e,또다시 사랑이,2009-08-18,부활,부활
ba034059-2a96-4978-a30b-b67a9f3ccf05,변화,1999-02,부활,부활
ba41cefe-75f4-4d43-91f0-35f66c507a1f,너의 침묵,1999-02,부활,부활
bb99580c-557d-4502-913d-059971b46d85,Yellow,2005-07-06,부활,부활
bbe8c64b-f8f5-40b1-954d-1da18af6271f,Soloist,2003-12-19,부활,부활
bd21b0f6-8ba0-4194-bf0d-fe89b5ed87cf,사랑 아닌 친구,1986-10-03,부활,부활
bf9fc0d2-158b-46b2-b4dd-03707e02980e,내일은 비,2004-10-27,부활,부활
