title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Bad Love,197000.0,서현,Don't Say No,,,KR,2017-01-17,,서현
Don't Say No,193000.0,서현,Don't Say No,,,KR,2017-01-17,,서현
Hello,198000.0,"서현, Eric Nam",Don't Say No,,,KR,2017-01-17,,서현
Love & Affection,168000.0,서현,Don't Say No,,,KR,2017-01-17,,서현
Magic,213000.0,서현,Don't Say No,,,KR,2017-01-17,,서현
Milky Way,176000.0,서현,징크스의 연인 OST,,,KR,2022-08-03,,서현
SIXTEEN GOING ON SEVENTEEN,113000.0,서현,Into The New World (The 1st Asia Tour Concert),,,KR,2010-12-30,,서현
기다릴게요,287000.0,서현,패션왕 OST Part.3,,,KR,2012-04-16,,서현
기다릴게요 (inst.),287000.0,서현,패션왕 OST Part.3,,,KR,2012-04-16,,서현
달빛 (Moonlight),212000.0,서현,Don't Say No,,,KR,2017-01-17,,서현
아파도 괜찮아요,276000.0,서현,김수로 OST Part.1,,,KR,2010-06-25,,서현
아파도 괜찮아요 (inst.),276000.0,서현,김수로 OST Part.1,,,KR,2010-06-25,,서현
혼자 하는 사랑 (Lonely Love),219000.0,서현,Don't Say No,,,KR,2017-01-17,,서현
