title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
B.F,211000,소나무,I Like U Too Much,,,XW,2016-06-29,,소나무
CLOSER,72000,소나무,I Like U Too Much,,,XW,2016-06-29,,소나무
CUSHION,212000,소나무,CUSHION,,,KR,2015-07-20,,소나무
Deja Vu,205000,소나무,Deja Vu,,,KR,2014-05-29,,소나무
First Kiss,226000,소나무,First Kiss,,,XW,2016-12-07,,소나무
First Kiss,229000,소나무,"더 미라클 (Original Television Soundtrack), Pt 1",,,XW,2016-12-07,,소나무
First Kiss (inst.),229000,소나무,"더 미라클 (Original Television Soundtrack), Pt 1",,,XW,2016-12-07,,소나무
I (knew it),223000,소나무,HAPPY BOX PART.2,,,XW,2017-11-05,,소나무
I DO LOVE YOU,209000,소나무,I Like U Too Much,,,XW,2016-06-29,,소나무
Into Me (intro),75000,소나무,Deja Vu,,,KR,2014-05-29,,소나무
Love Call,196000,소나무,Deja Vu,,,KR,2014-05-29,,소나무
OK,188000,소나무,CUSHION,,,KR,2015-07-20,,소나무
Prequel,79000,소나무,HAPPY BOX PART.2,,,XW,2017-11-05,,소나무
So Good,79000,소나무,HAPPY BOX PART.1,,,KR,2017-08-14,,소나무
SUGAR BABY,195000,소나무,I Like U Too Much,,,XW,2016-06-29,,소나무
Talk About U,208000,소나무,I Think I Love U,,,XW,2017-01-09,,소나무
WE ARE LEGENDARY,209000,소나무,WE ARE LEGENDARY,,,XW,2019-09-26,,소나무
WE ARE LEGENDARY,221000,소나무,WE ARE LEGENDARY,,,XW,2019-09-26,,소나무
가는거야 (Just Go!),218000,소나무,Deja Vu,,,KR,2014-05-29,,소나무
국민 여동생 (People's Little Sister),208000,소나무,Deja Vu,,,KR,2014-05-29,,소나무
금요일밤,199000,소나무,HAPPY BOX PART.1,,,KR,2017-08-14,,소나무
깊어 (Deeply Love),238000,소나무,CUSHION,,,KR,2015-07-20,,소나무
나 너 좋아해?,179000,소나무,I Think I Love U,,,XW,2017-01-09,,소나무
내 맘대로 해,204000,소나무,I Think I Love U,,,XW,2017-01-09,,소나무
넘나 좋은 것 (I LIKE U TOO MUCH),205000,소나무,I Like U Too Much,,,XW,2016-06-29,,소나무
다 거짓말 (Liar),231000,소나무,CUSHION,,,KR,2015-07-20,,소나무
빙그르르 (Round n Round),198000,소나무,CUSHION,,,KR,2015-07-20,,소나무
상영시간 무한대 (Let's Make a Movie),206000,소나무,CUSHION,,,KR,2015-07-20,,소나무
센스넘쳐 (SENSE MAN),198000,소나무,I Like U Too Much,,,XW,2016-06-29,,소나무
아낌없이 주는 나무 (EVERLASTING LOVE),210000,소나무,Deja Vu,,,KR,2014-05-29,,소나무
오렌지 카푸치노,215000,소나무,I Think I Love U,,,XW,2017-01-09,,소나무
자꾸자꾸,203743,소나무,자꾸자꾸,,,US,2017-03-12,,소나무
