title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Union Of Snake,223000.0,"엄정화, Roller Coaster",Self Control,,,KR,2004-02-18,,엄정화
Wacko,215000.0,엄정화,Self Control,,,KR,2004-02-18,,엄정화
Celebration,202000.0,엄정화,D.I.S.C.O,,,KR,2008-06-30,,엄정화
Fantasy,,엄정화,Queen of Charisma,,,KR,2000,,엄정화
Eros,262000.0,엄정화,Self Control,,,KR,2004-02-18,,엄정화
Dreamer,233000.0,엄정화,The Cloud Dream of the Nine,,,KR,2016-12-27,,엄정화
나눌 수 없는 사랑,247866.0,엄정화,005.1999.06,,,KR,1999-06-17,,엄정화
널 모를께,252000.0,엄정화,Invitation,,,KR,1998-07-04,,엄정화
Moonlight,214000.0,엄정화,花,,,KR,2001-10-31,,엄정화
같은 맘으로,259986.0,"김광진, 유리상자, 이현도, 엄정화, 이적, 윤도현, 김동률, 김현정, 박정현, 김현성, 진주, 임창정, 김민종, 조트리오, 김조한, 죠앤",엽기적인 그녀,,,KR,2001-07-29,,엄정화
Photographer (Feat. 정려원),206658.0,엄정화,The Cloud Dream of the Nine - 두 번째 꿈,,,KR,2017-12-13,,엄정화
Qeen of Charisma,202423.0,"PDIS, 엄정화",조PD 윤일상 프로젝트 앨범 PDIS,,,KR,2008-03-06,,엄정화
Being hugged by you,231000.0,엄정화,flower,,,XW,2001-10-31,,엄정화
"Go away, everyone",201000.0,엄정화,flower,,,XW,2001-10-31,,엄정화
Game,,엄정화,Queen of Charisma,,,KR,2000,,엄정화
괜찮아요,236000.0,엄정화,花,,,KR,2001-10-31,,엄정화
눈물,237000.0,엄정화,Invitation,,,KR,1998-07-04,,엄정화
Good-Bye My Love,286000.0,엄정화,Self Control,,,KR,2004-02-18,,엄정화
Grey,220000.0,엄정화,flower,,,XW,2001-10-31,,엄정화
Lalalala,227000.0,엄정화,flower,,,XW,2001-10-31,,엄정화
Scandal,261533.0,엄정화,後愛,,,KR,1997-03-20,,엄정화
Flying,260000.0,엄정화,Self Control,,,KR,2004-02-18,,엄정화
Grey,221000.0,엄정화,花,,,KR,2001-10-31,,엄정화
As always (inst.),259000.0,엄정화,flower,,,XW,2001-10-31,,엄정화
눈동자,272000.0,엄정화,Sorrowful Secret,,,,1993,,엄정화
Falling,,엄정화,Queen of Charisma,,,KR,2000,,엄정화
D.I.S.C.O,204000.0,"엄정화, T.O.P",D.I.S.C.O,,,KR,2008-06-30,,엄정화
Spy,222466.0,엄정화,005.1999.06,,,KR,1999-06-17,,엄정화
Disco Energy (feat. JUSTHIS),184000.0,엄정화,Dancing Queens On the Road (Original Soundtrack),,,XW,2023-08-11,,엄정화
Ending Credit,201795.0,엄정화,The Cloud Dream of the Nine - 두 번째 꿈,,,KR,2017-12-13,,엄정화
1000,249000.0,"Xin Seha, 엄정화",1000,,,,2019-10-27,,엄정화
나눌수 없는 사랑,,엄정화,TPA Ballad Compilation Collection,,,KR,2002-01,,엄정화
Still,273000.0,엄정화,flower,,,XW,2001-10-31,,엄정화
1996년 10월 16일 날씨 맑음,228000.0,엄정화,Prestige,,,KR,2006-10-26,,엄정화
Crush,217000.0,엄정화,Self Control,,,KR,2004-02-18,,엄정화
Festival,239173.0,엄정화,005.1999.06,,,KR,1999-06-17,,엄정화
Party,213000.0,"엄정화, G‐Dragon",D.I.S.C.O,,,KR,2008-06-30,,엄정화
As always,259000.0,엄정화,flower,,,XW,2001-10-31,,엄정화
Escape,229000.0,엄정화,소유진의 Fandangoi,,,KR,2001-06-29,,엄정화
She,187640.0,엄정화,The Cloud Dream of the Nine,,,,2017-12-26,,엄정화
Working Girl,224000.0,엄정화,Invitation,,,KR,1998-07-04,,엄정화
Eternity (Electronic Bossa Mixed By Uru),321000.0,엄정화,Self Control,,,KR,2004-02-18,,엄정화
Oh Yeah,233000.0,"엄정화, JONGHYUN",The Cloud Dream of the Nine,,,KR,2016-12-27,,엄정화
On The Phone,135000.0,"Sik‐K, 엄정화",POP A LOT,,,,2023-08-09,,엄정화
Kiss Me,252000.0,"엄정화, YMGA",D.I.S.C.O,,,KR,2008-06-30,,엄정화
다가라,203000.0,엄정화,花,,,KR,2001-10-31,,엄정화
So What,199748.0,엄정화,The Cloud Dream of the Nine - 두 번째 꿈,,,KR,2017-12-13,,엄정화
it's okay,235000.0,엄정화,flower,,,XW,2001-10-31,,엄정화
내 안의 그대,214266.0,엄정화,005.1999.06,,,KR,1999-06-17,,엄정화
너의 마음속에 내가 있다면,270000.0,엄정화,Sorrowful Secret,,,,1993,,엄정화
널 모를께,246000.0,엄정화,All Details,,,KR,1999,,엄정화
Watch Me Move,195000.0,엄정화,The Cloud Dream of the Nine,,,KR,2016-12-27,,엄정화
Shining Star,215000.0,엄정화,Prestige,,,KR,2006-10-26,,엄정화
Sad Christmas,,"이재훈, 리쌍, 엄정화",하얀 겨울 2005,,,KR,2005-12-05,,엄정화
Moonlight,213000.0,엄정화,flower,,,XW,2001-10-31,,엄정화
Innocence,290000.0,엄정화,Prestige,,,KR,2006-10-26,,엄정화
Poison,227000.0,엄정화,Invitation,,,KR,1998-07-04,,엄정화
거칠게...로멘틱하게,337000.0,엄정화,Prestige,,,KR,2006-10-26,,엄정화
Time Goes By,,엄정화,Queen of Charisma,,,KR,2000,,엄정화
Goodbye,230000.0,엄정화,flower,,,XW,2001-10-31,,엄정화
That's the way it goes,263000.0,엄정화,flower,,,XW,2001-10-31,,엄정화
다시,233000.0,엄정화,Invitation,,,KR,1998-07-04,,엄정화
Forever,238000.0,엄정화,005.1999.06,,,KR,1999-06-17,,엄정화
Come On (Techno Remix),,엄정화,Queen of Charisma,,,KR,2000,,엄정화
Scarlet,228373.0,엄정화,005.1999.06,,,KR,1999-06-17,,엄정화
In This Rain,334000.0,엄정화,Self Control,,,KR,2004-02-18,,엄정화
Escape,,엄정화,Queen of Charisma,,,KR,2000,,엄정화
POISON,223000.0,엄정화,All Details,,,KR,1999,,엄정화
Pleasure,,엄정화,Queen of Charisma,,,KR,2000,,엄정화
Goodbye,232000.0,엄정화,花,,,KR,2001-10-31,,엄정화
Disco Energy (Instrumental),184000.0,엄정화,Dancing Queens On the Road (Original Soundtrack),,,XW,2023-08-11,,엄정화
D.I.S.C.O Part2,,"엄정화, G‐Dragon",D.I.S.C.O. Part2,,,KR,2008-09-01,,엄정화
