title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
가슴 시린 이야기,200000.0,"휘성, 용준형",가슴 시린 이야기,,,KR,2011-03-15,,용준형
지난 날 (inst.),185000.0,"용준형, BTOB, 하연수",몬스타 OST Part 1,,,KR,2013-05-17,,용준형
Slow,188000.0,용준형,Flower,,,KR,2013-12-13,,용준형
뜨뜨미지근,216000.0,용준형,Goodbye 20's,,,KR,2018-05-09,,용준형
꺼져 줄게 잘 살아,213000.0,"G.NA, 용준형",Draw G's First Breath,,,KR,2010-07-15,,용준형
지나친 사랑은 해로워,184000.0,용준형,Wonder If,,,KR,2017-05-02,,용준형
첫사랑,213000.0,"용준형, BTOB",몬스타 OST PART 7,,,KR,2013-07-13,,용준형
시간이 흐른 뒤엔 (inst.),276000.0,"용준형, BTOB",몬스타 OST Part 2,,,KR,2013-05-24,,용준형
소나기 (Feat. 10cm),205000.0,용준형,Goodbye 20's,,,KR,2018-05-09,,용준형
카페인 Piano Ver.,213000.0,"용준형, 양요섭",Flower,,,KR,2013-12-13,,용준형
Don’t Walk Away,216000.0,"김재중, 용준형",WWW,,,KR,2013-10-29,,용준형
첫사랑 (inst.),213000.0,"용준형, BTOB",몬스타 OST PART 7,,,KR,2013-07-13,,용준형
Mesmerized,255000.0,"Sanchez, 용준형",Colour,,,,2017-08-26,,용준형
빈털터리,208000.0,"용준형, SURAN",빈털터리,,,KR,2019-01-31,,용준형
어이없네 (You Got Some Nerve),217000.0,"용준형, 필독, ELLY",어이없네 (You Got Some Nerve),,,,2013-02-25,,용준형
너였으면 해,206000.0,"Kriesha Chu, 용준형",Kriesha Chu 1st Single Album,,,KR,2017-05-24,,용준형
무슨 말이 필요해 (Go Away),205000.0,용준형,Goodbye 20's,,,KR,2018-05-09,,용준형
컬렉션 (Collection) (Feat. 백아연),184000.0,용준형,Goodbye 20's,,,KR,2018-05-09,,용준형
Nothing Is Forever,78000.0,용준형,Flower,,,KR,2013-12-13,,용준형
카페인,215000.0,"양요섭, 용준형",The First Collage,,,KR,2012-11-29,,용준형
Flower,200000.0,용준형,Flower,,,KR,2013-12-13,,용준형
Intro,,용준형,,,,,,,용준형
다시 돌아가,271026.0,"나비, 용준형",HELLO,,,KR,2011-01-09,,용준형
돌아오지마,217000.0,"Heize, 용준형",돌아오지마,,,KR,2016-04-14,,용준형
견딜 만해,216000.0,용준형,Goodbye 20's,,,KR,2018-05-09,,용준형
Don’t Hesitate,212292.0,용준형,Encounter (Original Television Soundtrack),,,XW,2019-01-25,,용준형
Feel Ur Love,199000.0,용준형,Goodbye 20's,,,KR,2018-05-09,,용준형
A Bitter Day,227000.0,"HyunA, 용준형, G.NA",A Bitter Day,,,AF,2011-06-30,,용준형
カフェイン (Japanese Version),217000.0,"양요섭, 용준형",The First Collage －Japan Edition－,,,JP,2013-05-15,,용준형
꺼져 줄게 잘 살아 (English ver.),211470.0,"G.NA, 용준형",Bloom,,,KR,2012-05-22,,용준형
지난 날,185000.0,"용준형, BTOB, 하연수",몬스타 OST Part 1,,,KR,2013-05-17,,용준형
Let It Go,196973.0,"MFBTY, 용준형",WondaLand,,,US,2015-03-19,,용준형
소주한잔,194000.0,용준형,Goodbye 20's,,,KR,2018-05-09,,용준형
Intro,77000.0,용준형,Goodbye 20's,,,KR,2018-05-09,,용준형
Change,210000.0,"HyunA, 용준형",Change,,,KR,2010-01-04,,용준형
Change,227000.0,"HyunA, 용준형",Change,,,KR,2010-01-07,,용준형
꺼져 줄게 잘 살아,213000.0,"G.NA, 용준형",Black & White,,,KR,2011-01-18,,용준형
My Dear,197000.0,"박신혜, 용준형",My Dear,,,KR,2014-06-11,,용준형
Goodbye 20's,202000.0,용준형,Goodbye 20's,,,KR,2018-05-09,,용준형
Anything,206000.0,"용준형, G.NA",Flower,,,KR,2013-12-13,,용준형
시간이 흐른 뒤엔,276000.0,"용준형, BTOB",몬스타 OST Part 2,,,KR,2013-05-24,,용준형
Thanks To,234000.0,"용준형, 양요섭",My Story,,,KR,2010-12-21,,용준형
그대로일까 (Feat. 헤이즈),191000.0,용준형,Wonder If,,,KR,2017-05-02,,용준형
가슴 시린 이야기 (Inst.),201000.0,"휘성, 용준형",가슴 시린 이야기,,,KR,2011-03-15,,용준형
하늘 높이,201129.0,"Apink, 용준형",UNE ANNEE,,,KR,2012-05-09,,용준형
