title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
12 O'clock,215000,우주소녀,WJ STAY?,,,KR,2019-01-08,,우주소녀
1억개의 별 (Star),255000,우주소녀,WJ STAY?,,,KR,2019-01-08,,우주소녀
2월의 봄 (You & I),221000,우주소녀,WJ PLEASE?,,,KR,2018-09-19,,우주소녀
AURA,215026,우주소녀,<Queendom2> FINAL,,,XW,2022-05-27,,우주소녀
AURA (album ver.),215000,우주소녀,Sequence,,,KR,2022-07-05,,우주소녀
B.B.B.Boo,215000,우주소녀,HAPPY MOMENT,,,KR,2017-06-07,,우주소녀
BADABOOM (바다붐),204157,우주소녀,As You Wish,,,KR,2019-11-19,,우주소녀
BUTTERFLY,217000,우주소녀,Neverland,,,KR,2020-06-09,,우주소녀
Baby Baby (it's Live ver.),192000,우주소녀,it’s Live x WJSN,,,XW,2021-07-08,,우주소녀
Baby Come to Me,187000,우주소녀,From. WJSN,,,XW,2017-01-04,,우주소녀
Babyface,199000,우주소녀,HAPPY MOMENT,,,KR,2017-06-07,,우주소녀
BeBe,198000,우주소녀,THE SECRET,,,XW,2016-08-17,,우주소녀
Boogie Up,183000,우주소녀,For the Summer,,,KR,2019-06-04,,우주소녀
Catch Me,194000,우주소녀,Would You Like?,,,,2016-02-25,,우주소녀
Done,184000,우주소녀,Sequence,,,KR,2022-07-05,,우주소녀
Don't Touch,207930,우주소녀,As You Wish,,,KR,2019-11-19,,우주소녀
Follow Me,220000,우주소녀,HAPPY MOMENT,,,KR,2017-06-07,,우주소녀
Full Moon,202974,우주소녀,As You Wish,,,KR,2019-11-19,,우주소녀
Geeminy,211000,우주소녀,HAPPY MOMENT,,,KR,2017-06-07,,우주소녀
HOLA,209000,우주소녀,Neverland,,,KR,2020-06-09,,우주소녀
Happy,180000,우주소녀,HAPPY MOMENT,,,KR,2017-06-07,,우주소녀
Hurry Up,181000,우주소녀,WJ PLEASE?,,,KR,2018-09-19,,우주소녀
It's a Good Time (Korean version),133000,우주소녀,It's a Good Time (Korean version),,,KR,2019-02-15,,우주소녀
KISS ME,178000,우주소녀,Kiss Me,,,XW,2017-07-04,,우주소녀
La La Love,202000,우주소녀,WJ STAY?,,,KR,2019-01-08,,우주소녀
Last Dance,196000,우주소녀,UNNATURAL,,,KR,2021-03-31,,우주소녀
Last Sequence,187000,우주소녀,Sequence,,,KR,2022-07-05,,우주소녀
MoMoMo,222000,우주소녀,Would You Like?,,,,2016-02-25,,우주소녀
MoMoMo (모모모),222000,우주소녀,Would You Like?,,,,2016-02-25,,우주소녀
Mr. BADBOY,228000,우주소녀,HAPPY MOMENT,,,KR,2017-06-07,,우주소녀
My Type,191000,우주소녀,For the Summer,,,KR,2019-06-04,,우주소녀
New Me,210000,우주소녀,UNNATURAL,,,KR,2021-03-31,,우주소녀
Pantomime,208000,우주소녀,Neverland,,,KR,2020-06-09,,우주소녀
Pantomime,248080,우주소녀,"<Queendom2> FANtastic QUEENDOM, Pt. 1-1",,,XW,2022-05-20,,우주소녀
ROBOT,219000,우주소녀,THE SECRET,,,XW,2016-08-17,,우주소녀
SUGAR,185000,우주소녀,HAPPY MOMENT,,,KR,2017-06-07,,우주소녀
Space Cowgirl,71000,우주소녀,Would You Like?,,,,2016-02-25,,우주소녀
Stronger,189000,우주소녀,Sequence,,,KR,2022-07-05,,우주소녀
Sugar Pop,203000,우주소녀,For the Summer,,,KR,2019-06-04,,우주소녀
Take My Breath,224000,우주소녀,Would You Like?,,,,2016-02-25,,우주소녀
Tick-Tock,208000,우주소녀,Would You Like?,,,,2016-02-25,,우주소녀
UNNATURAL,181000,우주소녀,UNNATURAL,,,KR,2021-03-31,,우주소녀
You Got,214000,우주소녀,WJ STAY?,,,KR,2019-01-08,,우주소녀
가면무도회 (Masquerade),253000,우주소녀,WJ PLEASE?,,,KR,2018-09-19,,우주소녀
겨울잠 (Thawing),209000,우주소녀,Dream your dream,,,KR,2018-02-27,,우주소녀
그때 우리 (Memories),189000,우주소녀,WJ STAY?,,,KR,2019-01-08,,우주소녀
기적 같은 아이 (Miracle),223000,우주소녀,HAPPY MOMENT,,,KR,2017-06-07,,우주소녀
꿈꾸는 마음으로 (Dreams Come True),225000,우주소녀,Dream your dream,,,KR,2018-02-27,,우주소녀
꿈꾸는 마음으로 (無限大夢想) (Chinese version),225000,우주소녀,Dream your dream,,,KR,2018-02-27,,우주소녀
너 그리고 나 (NAVILLERA),247000,우주소녀,<Queendom2> Part.2-1,,,XW,2022-04-15,,우주소녀
"너, 너, 너 (You, you, you)",221000,우주소녀,WJ PLEASE?,,,KR,2018-09-19,,우주소녀
너에게 닿기를 (I Wish),218000,우주소녀,From. WJSN,,,XW,2017-01-04,,우주소녀
너에게 닿기를 (靠近你的心),218000,우주소녀,From. WJSN,,,XW,2017-01-04,,우주소녀
너의 세계로 (Let Me In),191000,우주소녀,Let Me In,,,XW,2021-09-23,,우주소녀
눈부셔,207000,우주소녀,For the Summer,,,KR,2019-06-04,,우주소녀
르네상스 (Renaissance),221000,우주소녀,Dream your dream,,,KR,2018-02-27,,우주소녀
바램,212449,우주소녀,Neverland,,,KR,2020-06-09,,우주소녀
"부탁해 (Save Me, Save You)",224000,우주소녀,WJ PLEASE?,,,KR,2018-09-19,,우주소녀
