title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Paradise,227000.0,육성재,Piece of BTOB Vol.6,,,KR,2017-08-30,,육성재
한걸음,272000.0,"조권, 서은광, 이창섭, 임현식, 육성재, 오승희, 최유진, 장승연, SORN, ELKIE, 권은빈, 진호, 후이, 홍석, 신원, 여원, YAN AN, 키노, 유선호, MIYEON, MINNIE, SOOJIN, YUQI, 叶叔华",ONE,,,KR,2018-06-17,,육성재
Chicken,179000.0,육성재,3x2=6 Part 2,,,KR,2020-01-16,,육성재
Hypnotized,239000.0,"육성재, PENIEL",,,,,,,육성재
그날의 바람,217000.0,육성재,YOOK O'clock,,,KR,2020-03-02,,육성재
할많하않,207000.0,"육성재, 정일훈",3x2=6 Part 3,,,KR,2020-02-06,,육성재
Hypnotized,192000.0,"육성재, PENIEL",,,,,,,육성재
W.A.U,177000.0,육성재,3x2=6 Part 2,,,KR,2020-01-16,,육성재
Hypnotized,250000.0,"육성재, PENIEL",,,,,,,육성재
Hypnotized,248000.0,"육성재, PENIEL",,,,,,,육성재
뭍 (陸),234000.0,육성재,3x2=6 Part 1,,,KR,2019-12-26,,육성재
Hypnotized ^_^,242000.0,"육성재, PENIEL",,,,,,,육성재
Hypnotized,247000.0,"육성재, PENIEL",3x2=6 Part 3,,,KR,2020-02-06,,육성재
Love Song,205000.0,"육성재, 박혜수",후아유 - 학교 2015 OST,,,KR,2015-06-23,,육성재
겨울 속에서,245000.0,육성재,3x2=6 Part 1,,,KR,2019-12-26,,육성재
말해,259000.0,육성재,Piece of BTOB Vol.6,,,KR,2017-08-30,,육성재
사진,,"Kim Nam Joo, 육성재",사진,,,KR,2015-06-02,,육성재
사진 (Inst. ),,"Kim Nam Joo, 육성재",사진,,,KR,2015-06-02,,육성재
그날의 바람,260000.0,육성재,'그날의 바람 (Come With The Wind)' Official Music Video,,,XW,2020-03-01,,육성재
꿈인가 봐요,272752.0,"이민혁, 육성재",HUTAZONE,,,US,2019-01-15,,육성재
Stay With Me,281000.0,"정키, 육성재",RETRO,,,KR,2018-12-05,,육성재
