title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
"떴다 오빠 (Oppa, Oppa)",196000.0,"동해, 은혁",떴다 오빠,,,KR,2011-12-16,,은혁
첫 사랑,125000.0,"동해, 은혁",떴다 오빠,,,KR,2011-12-16,,은혁
I WANNA DANCE,,"동해, 은혁",hero,,,JP,2013-07-24,,은혁
First Love,125000.0,"동해, 은혁","Oppa, Oppa",,,JP,2012-04-04,,은혁
좋은 사람 있으면 소개시켜줘,173453.0,"윤아, 신동, 은혁",Into The New World (The 1st Asia Tour Concert),,,KR,2010-12-30,,은혁
So Cold,234000.0,"은혁, 동해, 최시원, HENRY",Super Show 5,,,XW,2015-11-06,,은혁
아직도 난 (Still You),,"동해, 은혁",아직도 난 (Still You),,,KR,2013-12-18,,은혁
JACKET MAKING CLIP,,"동해, 은혁","Oppa, Oppa",,,JP,2012-04-04,,은혁
I WANNA DANCE (Room ver.),,"동해, 은혁",hero,,,JP,2013-07-24,,은혁
"Oppa, Oppa",,"동해, 은혁",hero,,,JP,2013-07-24,,은혁
"Oppa, Oppa",196000.0,"동해, 은혁","Oppa, Oppa",,,JP,2012-04-04,,은혁
be,229066.0,은혁,be,,,,2021-10-20,,은혁
Jet,208000.0,"은혁, HYO, TAEYONG, 재민, 성찬, 윈터, 지젤",2022 Winter SMTOWN : SMCU PALACE,,,KR,2022-12-26,,은혁
"Oppa, Oppa －MUSIC VIDEO －",,"동해, 은혁","Oppa, Oppa",,,JP,2012-04-04,,은혁
"Oppa, Oppa －MUSIC VIDEO － [DANCE VER. TYPE B]",,"동해, 은혁","Oppa, Oppa",,,JP,2012-04-04,,은혁
자체발광 보석미남 이혁재 (Say My Name),291000.0,은혁,Super Show 4: Super Junior World Tour Album,,,KR,2013-06-27,,은혁
Dear. Two,164000.0,은혁,Super Show 6 – Super Junior World Tour Concert Album,,,XW,2015-11-06,,은혁
Red Muhly,213146.0,은혁,be,,,,2021-10-20,,은혁
I WANNA DANCE,,"동해, 은혁",I WANNA DANCE,,,JP,2013-06-19,,은혁
Under the Sea,,"다나, Stephanie, 이특, 김희철, 예성, 강인, 은혁, 동해, 성민, 려욱, 張力尹",2007 Summer SMTOWN,,,KR,2007-07-05,,은혁
"Oppa, Oppa －MUSIC VIDEO － [DANCE VER. TYPE A]",,"동해, 은혁","Oppa, Oppa",,,JP,2012-04-04,,은혁
짬에서 나오는 바이브 (Charm of Life) (inst.),215000.0,"희철, 신동, 은혁, Solar",짬에서 나오는 바이브 (Charm of Life),,,KR,2017-12-08,,은혁
"Oppa, Oppa",,"동해, 은혁",hero,,,JP,2013-07-24,,은혁
Love That I Need,,"동해, 은혁, HENRY",hero,,,JP,2013-07-24,,은혁
짬에서 나오는 바이브 (Charm of Life),215000.0,"희철, 신동, 은혁, Solar",짬에서 나오는 바이브 (Charm of Life),,,KR,2017-12-08,,은혁
"떴다 오빠 (Oppa, Oppa)",245000.0,"은혁, 동해",Super Show 4: Super Junior World Tour Album,,,KR,2013-06-27,,은혁
"Oppa, Oppa －SUPER SHOW4 IN OSAKA VER.－",,"동해, 은혁","Oppa, Oppa",,,JP,2012-04-04,,은혁
I WANNA DANCE,,"동해, 은혁",hero,,,JP,2013-07-24,,은혁
I WANNA DANCE －Less Vocal －,,"동해, 은혁",I WANNA DANCE,,,JP,2013-06-19,,은혁
Under the Sea (Instrumental Ver.),,"다나, Stephanie, 이특, 김희철, 예성, 강인, 은혁, 동해, 성민, 려욱, 張力尹",2007 Summer SMTOWN,,,KR,2007-07-05,,은혁
Love That I Need －Less Vocal －,,"동해, 은혁",I WANNA DANCE,,,JP,2013-06-19,,은혁
MUSIC VIDEO MAKING CLIP,,"동해, 은혁","Oppa, Oppa",,,JP,2012-04-04,,은혁
Love That I Need,,"동해, 은혁, HENRY",I WANNA DANCE,,,JP,2013-06-19,,은혁
