recording_id,title,release_date,query_artist_name,retrieved_artist_name
0561b8f5-502a-4ee5-a845-95742d84e529,Ma boy 2 (remix),2013-04-02,"이기광, Electroboyz",Electroboyz
0b3b19c4-6faf-4cdb-88de-f869344006ce,Ride With Me,2013-04-02,"이기광, Electroboyz",Electroboyz
13c138ff-0eb7-4029-8f8c-92f940afdc11,그냥,2012-04-26,"이기광, Electroboyz",Electroboyz
2fc539c0-2196-42bf-8850-8bc1064a582a,결혼 해줄래,2012-04-26,"이기광, Electroboyz",Electroboyz
3af25374-4c9f-458e-950b-d472310dce2c,Beautiful Girl,2011-02-10,"이기광, Electroboyz",Electroboyz
5bf43ac7-151a-46b9-a3e9-0d6db28696da,Just Dance 춤을 춰,2013,"이기광, Electroboyz",Electroboyz
6f08fcd7-fcf9-492c-b447-faa3a904bb75,Oh yeah,2011-11-17,"이기광, Electroboyz",Electroboyz
87380253-0440-4e91-a043-4155455a57b7,이랬으면 좋겠어,2013-04-02,"이기광, Electroboyz",Electroboyz
8df8166c-3299-4cea-a4d3-50108d5b022d,한참을 울었어,2011-11-17,"이기광, Electroboyz",Electroboyz
8e1d180c-8fb9-49cc-b627-b1ad77759003,Ma boy 2,2011-11-17,"이기광, Electroboyz",Electroboyz
aa668b22-1248-4f88-9bab-0d61f7eae079,Ma Boy 3 (inst),2013-04-02,"이기광, Electroboyz",Electroboyz
af3f5e09-d748-4510-adf1-e73628b408bc,Super Girl (inst.),2010-12-08,"이기광, Electroboyz",Electroboyz
b26742bd-5d4c-49fa-a7f0-f1655223e469,hot,2013-04-02,"이기광, Electroboyz",Electroboyz
c9f4d3a3-7740-4042-bab1-d2c46cec6fc6,Ma boy 2 (Instrumental),2011-11-17,"이기광, Electroboyz",Electroboyz
cd9a96e0-f359-427a-9ce0-f1e684ef0c20,Break Up,2011-07-14,"이기광, Electroboyz",Electroboyz
cfdac809-dffd-47eb-b8ca-898eb9606894,데려다 줄게,2012-06-18,"이기광, Electroboyz",Electroboyz
d42b17b6-07ab-4967-8286-a7bfc90cf96c,Good Night,2013-04-02,"이기광, Electroboyz",Electroboyz
d860fde5-8fa2-4d1a-a1f9-b0b045e73f07,Love,2013-04-02,"이기광, Electroboyz",Electroboyz
d9c37247-cda4-46c1-a534-5cde4beee473,웃을까 울을까,2012-04-26,"이기광, Electroboyz",Electroboyz
dce0bcdf-918e-468c-b306-f41355f89e06,Super Girl,2010-12-08,"이기광, Electroboyz",Electroboyz
e5e54bb7-657d-40b5-a44c-4e8e83c716b6,Break Up (Inst.),2011-07-14,"이기광, Electroboyz",Electroboyz
fb062d52-cdc1-4ee3-aa39-5e53d35a25ce,no.1,2013-04-02,"이기광, Electroboyz",Electroboyz
ff776d05-a953-40bf-a9f7-52d9b7670c10,Ma Boy 3,2013-04-02,"이기광, Electroboyz",Electroboyz
