title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
담아 갈게,277000,이무진,담아 갈게,,,KR,2021-08-26,,이무진
Slainte!,218000,이무진,PLAYLIST SEASON2 (플레이리스트 시즌2) OST,,,KR,2022-12-06,,이무진
쉼표 (inst.),220000,이무진,무인도의 디바 Original Sound Track,,,KR,2023-12-05,,이무진
개똥벌레 (inst.),197000,이무진,개똥벌레,,,KR,2022-11-06,,이무진
에피소드,205000,이무진,에피소드,,,KR,2023-12-23,,이무진
과제곡 (교수님 죄송합니다),229000,이무진,과제곡,,,KR,2021-07-17,,이무진
청춘이 버겁다 (inst.),208000,"이무진, 화곡동",청춘이 버겁다,,,KR,2023-11-26,,이무진
눈이 오잖아,232000,"이무진, Heize",눈이 오잖아,,,KR,2021-12-03,,이무진
Murphy,220000,"lilli lilli, 이무진",Murphy,,,XW,2023-02-21,,이무진
담아 갈게 (inst.),277000,이무진,담아 갈게,,,KR,2021-08-26,,이무진
참고사항,221000,이무진,Room Vol.1,,,KR,2022-06-03,,이무진
개똥벌레,197000,이무진,개똥벌레,,,KR,2022-11-06,,이무진
쉼표,220000,이무진,무인도의 디바 Original Sound Track,,,KR,2023-12-05,,이무진
I Miss You,222000,이무진,[Vol.126] 유희열의 스케치북 With you : 여든 두번째 목소리 '유스케 X 이무진',,,KR,2022-02-26,,이무진
굴뚝마을의 푸펠,347000,이무진,굴뚝마을의 푸펠 OST,,,KR,2021-06-04,,이무진
세 사람,290000,이무진,[Vol.127] 유희열의 스케치북 With you : 여든 두번째 목소리 '유스케 X 이무진',,,KR,2022-03-05,,이무진
Murphy (inst.),220000,"lilli lilli, 이무진",Murphy,,,XW,2023-02-21,,이무진
청혼하지 않을 이유를 못 찾았어,262000,이무진,청혼하지 않을 이유를 못 찾았어,,,KR,2024-04-02,,이무진
욕심쟁아,230000,이무진,Room Vol.1,,,KR,2022-06-03,,이무진
가을 타나 봐 (inst.),218000,이무진,가을 타나 봐 (REVIBE Vol.4),,,KR,2021-09-14,,이무진
자취방,217000,이무진,Room Vol.1,,,KR,2022-06-03,,이무진
가을 타나 봐,218000,이무진,가을 타나 봐 (REVIBE Vol.4),,,KR,2021-09-14,,이무진
우주비행사,129000,이무진,Room Vol.1,,,KR,2022-06-03,,이무진
측정거부 (inst.),165000,이무진,측정거부,,,KR,2023-09-08,,이무진
측정거부,165000,이무진,측정거부,,,KR,2023-09-08,,이무진
8번 연습실,275000,이무진,Room Vol.1,,,KR,2022-06-03,,이무진
잠깐 시간 될까,228000,이무진,잠깐 시간 될까,,,KR,2023-05-09,,이무진
신호등,231586,이무진,Traffic Light,,,AF,2021-05-14,,이무진
청춘이 버겁다,208000,"이무진, 화곡동",청춘이 버겁다,,,KR,2023-11-26,,이무진
너의 뒤에서,240000,이무진,뮤직인더트립 OST Part.1,,,KR,2023-11-04,,이무진
아주 오래된 연인들,233000,"최정훈, 이무진",[Vol.133] 유희열의 스케치북 With you : 여든 여섯 번째 목소리 '유스케 X 잔나비 최정훈&이무진',,,KR,2022-04-23,,이무진
여름인사 (Demo),240000,이무진,뮤직인더트립 OST Part.2,,,KR,2023-11-11,,이무진
스윗해,216000,이무진,사내맞선 OST,,,KR,2022-04-06,,이무진
