title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
BOOM,208000.0,이민혁,BOOM,,,XW,2022-06-27,,이민혁
Fallin',235552.0,이민혁,HUTAZONE,,,US,2019-01-15,,이민혁
HUTAZONE,111317.0,이민혁,HUTAZONE,,,US,2019-01-15,,이민혁
I'm Rare,145000.0,이민혁,BOOM,,,KR,2022-06-27,,이민혁
Mermaid,240000.0,"이민혁, PENIEL, 정일훈, YEEUN, 우석, JEON SOYEON",ONE,,,KR,2018-06-17,,이민혁
Only You Don't Know,201546.0,이민혁,The Spies Who Loved Me OST,,,KR,2020-12-09,,이민혁
Purple Rain,197000.0,"이민혁, CHEEZE",Piece of BTOB Vol.5,,,KR,2017-08-10,,이민혁
Real Game (Like Messi),132000.0,이민혁,BOOM,,,KR,2022-06-27,,이민혁
Red Wine,170000.0,이민혁,BOOM,,,KR,2022-06-27,,이민혁
Shadow,179000.0,이민혁,BOOM,,,KR,2022-06-27,,이민혁
Waiting For You,230185.0,이민혁,HUTAZONE,,,US,2019-01-15,,이민혁
YA,197000.0,이민혁,YA,,,XW,2019-01-14,,이민혁
그대가 모르게,211000.0,이민혁,BOOM,,,KR,2022-06-27,,이민혁
기다리고 있어,209000.0,이민혁,BOOM,,,KR,2022-06-27,,이민혁
꿈인가 봐요,272752.0,"이민혁, 육성재",HUTAZONE,,,US,2019-01-15,,이민혁
끝 눈,232000.0,이민혁,BOOM,,,KR,2022-06-27,,이민혁
낙화 落花 (Interlude),100373.0,이민혁,HUTAZONE,,,US,2019-01-15,,이민혁
너도 나도,238011.0,"이민혁, JEON SOYEON",HUTAZONE,,,US,2019-01-15,,이민혁
넌 나의 봄이야,161000.0,이민혁,BOOM,,,KR,2022-06-27,,이민혁
사랑일까요,207000.0,"이민혁, 이창섭",BOOM,,,KR,2022-06-27,,이민혁
아무렇지 않은 척,230017.0,이민혁,HUTAZONE,,,US,2019-01-15,,이민혁
오늘 밤에(Tonight) (With Melody),273000.0,이민혁,오늘밤에 (WITH MELODY),,,XW,2019-02-14,,이민혁
오늘밤에 (WITH MELODY),189542.0,이민혁,HUTAZONE,,,US,2019-01-15,,이민혁
우리 함께 걸어요,238000.0,이민혁,BOOM,,,KR,2022-06-27,,이민혁
위험해,183000.0,이민혁,BOOM,,,KR,2022-06-27,,이민혁
