recording_id,title,release_date,query_artist_name,retrieved_artist_name
052f9c95-c9a2-4a7c-a9b2-9a8eb82c3981,Foolish,2017-12-01,이해리,이해리
130c358d-13bc-4314-9120-8b73fc4d2a92,우린,2017-04-20,이해리,이해리
18322c30-11ec-49c8-a6d6-00d4e5eba555,종이별의 꿈,2017-04-20,이해리,이해리
190dd694-6247-4dce-ae77-153ee494b6f0,PATTERN,2017-04-12,이해리,이해리
2dec37cd-dd46-4dae-991e-657d90203118,사랑했었다면 If You Loved Me,2013-09-06,이해리,이해리
393420f2-5444-460b-a327-08f6b377d7d2,미운 날,2017-04-20,이해리,이해리
3a968b0d-211a-4be3-ba87-0ab458a856d2,TTL Listen 2,2010-08-18,이해리,이해리
3fed944a-6dd2-46ae-be6e-4203da5fef21,Bk Love,2021-05-11,이해리,이해리
4a7f823c-7836-49e8-aa85-f9cee773fd46,사랑했었다면 If You Loved Me (Instrumental),2013-09-06,이해리,이해리
4d5cca0c-1a3d-44f5-ac90-a174647f781c,사랑했었다면,2014-01-14,이해리,이해리
63338f48-a55f-411f-9279-56dcfe9ffe56,But,2017-09-19,이해리,이해리
80562562-7f20-49b3-9613-506ec488666d,TTL Listen.2,2010-08-18,이해리,이해리
9fca8148-b365-4e11-9dd2-995db5035104,비애 Part 2,2012-10-16,이해리,이해리
a347af5b-7774-4083-b427-8a3b38adb2ff,그대라는 계절,2017-04-20,이해리,이해리
ae85931f-ed65-4b01-9036-3d2f40f71c32,거짓말,2016-11-25,이해리,이해리
cdaf3bd1-f7e1-46b5-80a6-628f24d6400a,보이지 않아도,2017-04-20,이해리,이해리
de96b3c1-6c67-47f1-8d15-54a0bc969c3d,미운 날 Piano Ver.,2017-04-20,이해리,이해리
f6e3889f-5283-4f94-bf0e-6beb25ce4251,거짓말,2017-03-16,이해리,이해리
