title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
R.O.S.E MUSIC VIDEO (Original ver.),,장우영,R.O.S.E,,,JP,2015-03-04,,장우영
COCKTAIL (Instrumental),230000.0,장우영,R.O.S.E,,,JP,2015-03-04,,장우영
Going Going,210000.0,장우영,헤어질 때,,,KR,2018-01-16,,장우영
R.O.S.E (Instrumental),212000.0,장우영,R.O.S.E,,,JP,2015-03-04,,장우영
Off the record,212000.0,장우영,Off the record,,,,2023-06-07,,장우영
뚝,183000.0,장우영,헤어질 때,,,KR,2018-01-16,,장우영
Formula,212000.0,장우영,Party Shots,,,JP,2017-04-19,,장우영
想像してみて (WOOYOUNG ver.),197000.0,장우영,Party Shots,,,JP,2017-04-19,,장우영
波,267000.0,장우영,Party Shots,,,JP,2017-04-19,,장우영
天の川 〜GALAXY〜 (WOOYOUNG ver.),234000.0,장우영,まだ僕は…,,,JP,2017-10-11,,장우영
Happy Birthday (Instrumental),285000.0,장우영,R.O.S.E,,,JP,2015-03-04,,장우영
Just be you,214000.0,장우영,Off the record,,,,2023-06-07,,장우영
I CAN’T BREATHE,195000.0,장우영,まだ僕は…,,,JP,2017-10-11,,장우영
Happy Birthday MUSIC VIDEO,,장우영,R.O.S.E,,,JP,2015-03-04,,장우영
Baby,193000.0,장우영,Off the record,,,,2023-06-07,,장우영
Party Shots Remix,206000.0,장우영,Party Shots,,,JP,2017-04-19,,장우영
まだ僕は…,217000.0,장우영,まだ僕は…,,,JP,2017-09-25,,장우영
AND END,196000.0,장우영,まだ僕は…,,,JP,2017-10-11,,장우영
Season 2,191000.0,장우영,Off the record,,,,2023-06-07,,장우영
Sexy Lady,235000.0,장우영,"23, Male, Single",,,KR,2012-07-08,,장우영
まだ僕は… MUSIC VIDEO (Original ver.),,장우영,まだ僕は…,,,JP,2017-10-11,,장우영
From here,192000.0,장우영,Off the record,,,,2023-06-07,,장우영
Party Shots,182000.0,장우영,Party Shots,,,JP,2017-04-03,,장우영
まだ僕は… MUSIC VIDEO (Lip Sync ver.),,장우영,まだ僕は…,,,JP,2017-10-11,,장우영
Going Going,212000.0,장우영,Party Shots,,,JP,2017-04-19,,장우영
Don’t act,201000.0,장우영,헤어질 때,,,KR,2018-01-16,,장우영
まだ僕は… (Instrumental),216000.0,장우영,まだ僕は…,,,JP,2017-10-11,,장우영
2Nite,201000.0,장우영,"23, Male, Single",,,KR,2012-07-08,,장우영
시작도 없던 것처럼,201000.0,장우영,"23, Male, Single",,,KR,2012-07-08,,장우영
MORE,223000.0,장우영,まだ僕は…,,,JP,2017-10-11,,장우영
This Is Love,181000.0,장우영,Grown,,,KR,2013-06-19,,장우영
Happy Birthday,282000.0,장우영,R.O.S.E,,,JP,2015-03-04,,장우영
LAZY DAY,192000.0,장우영,まだ僕は…,,,JP,2017-10-11,,장우영
Party Shots,181000.0,장우영,헤어질 때,,,KR,2018-01-16,,장우영
Give Up,,장우영,GENESIS OF 2PM,,,JP,2014-01-29,,장우영
R.O.S.E making movie,,장우영,R.O.S.E,,,JP,2015-03-04,,장우영
Where is She,183000.0,장우영,Party Shots,,,JP,2017-04-19,,장우영
STAND BY ME,199000.0,장우영,まだ僕は…,,,JP,2017-10-11,,장우영
Sexy Lady,,장우영,LEGEND OF 2PM,,,JP,2013-02-13,,장우영
Party Shots (Instrumental),180000.0,장우영,Party Shots,,,JP,2017-04-19,,장우영
R.O.S.E,214000.0,장우영,R.O.S.E,,,JP,2015-03-04,,장우영
Be With You,227000.0,장우영,"23, Male, Single",,,KR,2012-07-08,,장우영
R.O.S.E MUSIC VIDEO (Performance ver.),,장우영,R.O.S.E,,,JP,2015-03-04,,장우영
I know your shirts,233000.0,장우영,R.O.S.E,,,JP,2015-03-04,,장우영
Only Girl,202000.0,장우영,"23, Male, Single",,,KR,2012-07-08,,장우영
まだ僕は… making movie,,장우영,まだ僕は…,,,JP,2017-10-11,,장우영
THE BLUE LIGHT,247000.0,장우영,2PM OF 2PM,,,JP,2015-04-15,,장우영
얘들아,197000.0,장우영,헤어질 때,,,KR,2018-01-16,,장우영
二人だけ,193000.0,장우영,まだ僕は…,,,JP,2017-10-11,,장우영
맘껏,221000.0,장우영,헤어질 때,,,KR,2018-01-16,,장우영
DJ Got Me Goin' Crazy,232000.0,"장우영, JUN. K","23, Male, Single",,,KR,2012-07-08,,장우영
I like,196000.0,장우영,헤어질 때,,,KR,2018-01-16,,장우영
Chill OUT,212000.0,장우영,Party Shots,,,JP,2017-04-19,,장우영
Falling Down,225000.0,장우영,"23, Male, Single",,,KR,2012-07-08,,장우영
COCKTAIL,232000.0,장우영,R.O.S.E,,,JP,2015-03-04,,장우영
