title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
야한 농담,182000.0,장현승,MY,,,KR,2015-05-08,,장현승
걔랑 헤어져,229000.0,"장현승, 토끼",MY,,,KR,2015-05-08,,장현승
Special Christmas (inst.),227000.0,"HyunA, 장현승, BTOB, 노지훈, CLC, PENTAGON",2016 United Cube Project Part 1,,,KR,2016-12-16,,장현승
니가 처음이야,202000.0,"장현승, 기리보이",MY,,,KR,2015-05-08,,장현승
사랑한다고,202000.0,장현승,MY,,,KR,2015-05-08,,장현승
일년전에 (Inst.),,"Kim Nam Joo, 정은지, 장현승",‘A Cube’ For Season # White,,,KR,2013-01-03,,장현승
It's Me,83000.0,장현승,MY,,,KR,2015-05-08,,장현승
Special Christmas,228000.0,"HyunA, 장현승, BTOB, 노지훈, CLC, PENTAGON",2016 United Cube Project Part 1,,,KR,2016-12-16,,장현승
나와,210000.0,장현승,MY,,,KR,2015-05-08,,장현승
일년전에,,"Kim Nam Joo, 정은지, 장현승",‘A Cube’ For Season # White,,,KR,2013-01-03,,장현승
놀고 싶은 Girl,225000.0,"장현승, HyunA",Chemistry,,,KR,2013-10-28,,장현승
Let It Snow,252000.0,"장현승, 이기광",My Story,,,KR,2010-12-21,,장현승
