title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Feeling (feat. PENOMECO),212000,정 세운,Plus Minus Zero,,,,,,정 세운
YOU ARE WITH ME!,187240,정 세운,Quiz,,,XW,2024-01-04,,정 세운
Fine,189000,정 세운,24 PART 2,,,KR,2021-01-06,,정 세운
Wave,179000,"Exy, 정 세운",〈Second World〉 Episode 7,,,,2022-10-19,,정 세운
Quiz,188360,정 세운,Quiz,,,XW,2024-01-04,,정 세운
Going home,240000,정 세운,Plus Minus Zero,,,,,,정 세운
Fall in Love,207000,정 세운,KING THE LAND (Original Television Soundtrack) Special,,,XW,2023-08-04,,정 세운
Perfectly,172320,정 세운,Quiz,,,XW,2024-01-04,,정 세운
17,198080,정 세운,Quiz,,,XW,2024-01-04,,정 세운
DoDoDo,203000,정 세운,24 PART 2,,,KR,2021-01-06,,정 세운
White,226000,정 세운,Plus Minus Zero,,,,,,정 세운
:m (Mind),180000,정 세운,24 PART 2,,,KR,2021-01-06,,정 세운
Find you,186000,정 세운,24 PART 2,,,KR,2021-01-06,,정 세운
Singer‐songwridol,166146,정 세운,Quiz,,,XW,2024-01-04,,정 세운
It`s you (Instrumental),219000,정 세운,김비서가 왜 그럴까 (Original Soundtrack),,,XW,2018-07-19,,정 세운
In the Dark,209000,정 세운,24 PART 2,,,KR,2021-01-06,,정 세운
Always,202680,정 세운,Quiz,,,XW,2024-01-04,,정 세운
Be a fool,212000,정 세운,24 PART 2,,,KR,2021-01-06,,정 세운
sharpie,183399,정 세운,Quiz,,,XW,2024-01-04,,정 세운
It`s you,219000,정 세운,김비서가 왜 그럴까 (Original Soundtrack),,,XW,2018-07-19,,정 세운
Glow in the show,192120,정 세운,Quiz,,,XW,2024-01-04,,정 세운
