recording_id,title,release_date,query_artist_name,retrieved_artist_name
0030d0e2-b34e-4e9e-9fcf-0327aa36f838,GOOD LIFE 4 ME,2015-09-14,준호,준호
025c815b-25b1-4458-8308-4bbb76a2c9fc,Ice Cream,2017-06-16,준호,준호
06481aba-fdee-4b30-acfb-88781cec435c,Like a star,2015-09-14,준호,준호
0805ec87-9ce4-4822-b8f9-484e09fdc58e,Winter Sleep,2019-12-05,준호,준호
082bcc80-87b2-4e18-8a96-6147db615636,Dangerous,2014-07-09,준호,준호
08b326e3-1bf4-4b08-989b-7cbbd5087b53,Can't let you go (Korean Ver.),2014-08-14,준호,준호
0a420421-b4fc-4402-86cc-ee673b917871,GOOD BYE,2013-07-24,준호,준호
0aeacc06-c179-4fc7-8163-5cdc3d08ad0a,Torso,2018-01-25,준호,준호
127e19ab-ab43-4e5f-a678-e5b12f21472c,Next To You,2019-12-05,준호,준호
23db3018-114d-40e7-90cd-613ef047737b,SO GOOD,2015-07-15,준호,준호
24a1f34a-4992-42ce-9ea1-a85df8a03450,Winter Sleep (Instrumental),2018-01-25,준호,준호
29518ffb-e243-4a56-bc4e-7333fd97a491,Heartbreaker,2013-07-24,준호,준호
2b2b5875-ac16-4bc3-91f8-1240d96b591d,Diamond,2017-07-26,준호,준호
2dd89719-0f2f-4d6d-aa9f-3e28517b4894,Flashlight,2019-01-25,준호,준호
2f38c054-cf25-4570-bad9-ac4cee93f5c6,I’m In Love,2013-06-19,준호,준호
33a57dbc-b070-4c87-852a-f26fa8625f43,DSMN,2016-07-19,준호,준호
35df0c13-2391-4185-8569-5e1ef58fadca,THE LAST NIGHT,2015-07-15,준호,준호
393d4d51-af21-40e0-b0ed-57529cb91951,Canvas,2019-01-25,준호,준호
3b364688-7fc8-40f7-b100-6263954f0e35,What You Want,2018-07-11,준호,준호
45fd9f3a-fad6-4e54-b7de-b6860361acac,Move On,2012-05-21,준호,준호
47925930-bd3a-4b5c-94b9-a84330e788e6,Winter Sleep -Snowy Night ver.-,2018-01-25,준호,준호
487483cd-6091-4bb3-96a4-becd2e29378f,Fine Live ver.,2018-01-25,준호,준호
49912951-3225-4b4c-84c6-d802a8c8a49e,On Your Mind,2019-01-25,준호,준호
4bcdce77-ed39-4240-90d5-7d69f0da6a34,Fancy,2019-01-25,준호,준호
4bf4b949-f00d-48d7-90df-008a9ce25872,Turn it up,2014-07-09,준호,준호
4ca3562b-56cd-48a5-aa86-2cba1cf38980,Like A Star,2019-12-05,준호,준호
