title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
200%,193000.0,AKMU,"Akdong Musician Debut Album ""Play""",,,KR,2014-04-07,,AKMU
Be With You,186749.0,AKMU,Moonlovers: Scarlet Heart Ryeo (Original Television Soundtrack),,,AF,2015-10-25,,AKMU
BENCH,225000.0,"AKMU, Zion.T",NEXT EPISODE,,,KR,2021-07-26,,AKMU
Chocolady,243000.0,AKMU,사춘기㊦,,,KR,2017-01-02,,AKMU
DINOSAUR,240000.0,AKMU,SUMMER EPISODE,,,KR,2017-07-20,,AKMU
EVEREST,196000.0,"AKMU, Sam Kim",NEXT EPISODE,,,KR,2021-07-26,,AKMU
Fish in the water,245000.0,AKMU,Akmu Sailing TOUR Live,,,KR,2020,,AKMU
FREEDOM,213000.0,AKMU,SAILING,,,XW,2019-09-25,,AKMU
GALAXY,179000.0,AKMU,"Akdong Musician Debut Album ""Play""",,,KR,2014-04-07,,AKMU
GIVE LOVE,176000.0,AKMU,"Akdong Musician Debut Album ""Play""",,,KR,2014-04-07,,AKMU
Happening,224000.0,AKMU,Happening,,,KR,2020-11-16,,AKMU
"How can i love the heartbreak, you're the one i love",294000.0,AKMU,Akmu Sailing TOUR Live,,,KR,2020,,AKMU
How people move,227000.0,AKMU,Akmu Sailing TOUR Live,,,KR,2020,,AKMU
I Love You,,AKMU,내 연애의 모든 것 OST Part.3 (SBS 수목드라마),,,KR,2013-04-24,,AKMU
Last Goodbye,291000.0,AKMU,Akmu Sailing TOUR Live,,,KR,2020,,AKMU
Let's take time,301000.0,AKMU,Akmu Sailing TOUR Live,,,KR,2020,,AKMU
Love Lee,179683.0,AKMU,Love Lee,,,US,2023-08-21,,AKMU
Love loss,69000.0,AKMU,Akmu Sailing TOUR Live,,,KR,2020,,AKMU
Melted,235000.0,AKMU,Akmu Sailing TOUR Live,,,KR,2020,,AKMU
MY DARLING,225000.0,AKMU,SUMMER EPISODE,,,KR,2017-07-20,,AKMU
RE-BYE,188716.0,AKMU,SPRING,,,KR,2016-05-04,,AKMU
Reality & Crescendo,227000.0,AKMU,Akmu Sailing TOUR Live,,,KR,2020,,AKMU
ReBye & Don't Cross Your Legs & Every Little Thing,348000.0,AKMU,Akmu Sailing TOUR Live,,,KR,2020,,AKMU
Stupid love song,189000.0,"AKMU, Crush",NEXT EPISODE,,,KR,2021-07-26,,AKMU
You are Attractive (매력있어),,AKMU,You are Attractive (매력있어),,,KR,2012,,AKMU
You Know Me,181000.0,AKMU,사춘기㊦,,,KR,2017-01-02,,AKMU
가르마,226000.0,AKMU,"Akdong Musician Debut Album ""Play""",,,KR,2014-04-07,,AKMU
고래,199000.0,AKMU,SAILING,,,XW,2019-09-25,,AKMU
그때 그 아이들은,264000.0,AKMU,사춘기㊦,,,KR,2017-01-02,,AKMU
길이나,189000.0,AKMU,"Akdong Musician Debut Album ""Play""",,,KR,2014-04-07,,AKMU
낙하,213000.0,"AKMU, IU",NEXT EPISODE,,,KR,2021-07-26,,AKMU
"눈,코,입 (EYES, NOSE, LIPS)",188000.0,AKMU,"눈,코,입",,,KR,2014-06-16,,AKMU
달,242000.0,AKMU,SAILING,,,XW,2019-09-25,,AKMU
더 사랑해줄걸,187000.0,AKMU,SAILING,,,XW,2019-09-25,,AKMU
리얼리티,173000.0,AKMU,사춘기㊦,,,KR,2017-01-02,,AKMU
맞짱,192000.0,"AKMU, 잔나비",NEXT EPISODE,,,KR,2021-07-26,,AKMU
못생긴 척,199000.0,AKMU,사춘기㊦,,,KR,2017-01-02,,AKMU
물 만난 물고기,216000.0,AKMU,SAILING,,,XW,2019-09-25,,AKMU
밤 끝없는 밤,180000.0,AKMU,SAILING,,,XW,2019-09-25,,AKMU
뱃노래,138000.0,AKMU,SAILING,,,XW,2019-09-25,,AKMU
사람들이 움직이는 게,202000.0,AKMU,SPRING,,,KR,2016-05-04,,AKMU
사소한 것에서,256980.0,AKMU,SPRING,,,KR,2016-05-04,,AKMU
새삼스럽게 왜,198752.0,AKMU,SPRING,,,KR,2016-05-04,,AKMU
