title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
–Movie–,176000.0,Girls’ Generation,JAPAN FIRST TOUR GIRLS' GENERATION,,,JP,2011-12-14,,"Girls’ Generation, 2PM"
Chocolate Love (Lg New Chocolate ),222733.0,Girls’ Generation,The Boys,,,,,,"Girls’ Generation, 2PM"
BAD GIRL (Music Video Look Back),,Girls’ Generation,THE BEST,,,JP,2014-07-23,,"Girls’ Generation, 2PM"
Bad Girl,292000.0,Girls’ Generation,2011 GIRLS GENERATION TOUR,,,KR,2013-04-11,,"Girls’ Generation, 2PM"
–Movie–,198000.0,Girls’ Generation,JAPAN FIRST TOUR GIRLS' GENERATION,,,JP,2011-12-14,,"Girls’ Generation, 2PM"
Animal,188000.0,Girls’ Generation,BEST SELECTION NON STOP MIX,,,JP,2013-03-20,,"Girls’ Generation, 2PM"
Animal,188000.0,Girls’ Generation,Girls’ Generation 2 -Girls & Peace-,,,JP,2012-01-01,,"Girls’ Generation, 2PM"
"Everyday Love <From Free Live ""LOVE&PEACE"" in Yokohama-Arena 2013.12.14>",,Girls’ Generation,THE BEST,,,JP,2014-07-23,,"Girls’ Generation, 2PM"
Catch Me If You Can (music video),262000.0,Girls’ Generation,Catch Me If You Can,,,JP,2015-04-22,,"Girls’ Generation, 2PM"
blue jeans,207000.0,Girls’ Generation,LOVE&PEACE,,,JP,2013-12-11,,"Girls’ Generation, 2PM"
FLYERS,243000.0,Girls’ Generation,LOVE&PEACE,,,JP,2013-12-11,,"Girls’ Generation, 2PM"
FOREVER 1 (Matisse & Sadko remix),213000.0,Girls’ Generation,iScreaM Vol.19 : FOREVER 1 Remixes,,,,2022-11-17,,"Girls’ Generation, 2PM"
FLOWER POWER (Music Video Look Back),,Girls’ Generation,THE BEST,,,JP,2014-07-23,,"Girls’ Generation, 2PM"
FLOWER POWER,224000.0,Girls’ Generation,GIRLS’ GENERATION II ～Girls & Peace～,,,JP,2012-11-28,,"Girls’ Generation, 2PM"
Dear. Mom,245693.0,Girls’ Generation,Gee,,,KR,2009-01-05,,"Girls’ Generation, 2PM"
ETUDE,184040.0,Girls’ Generation,Into The New World (The 1st Asia Tour Concert),,,KR,2010-12-30,,"Girls’ Generation, 2PM"
Beautiful Stranger,211000.0,Girls’ Generation,2011 GIRLS GENERATION TOUR,,,KR,2013-04-11,,"Girls’ Generation, 2PM"
–MC–,153000.0,Girls’ Generation,JAPAN FIRST TOUR GIRLS' GENERATION,,,JP,2011-12-14,,"Girls’ Generation, 2PM"
FLOWER POWER,198000.0,Girls’ Generation,BEST SELECTION NON STOP MIX,,,JP,2013-03-20,,"Girls’ Generation, 2PM"
All Night,222000.0,Girls’ Generation,Holiday Night,,,KR,2017-08-04,,"Girls’ Generation, 2PM"
BOOMERANG,171000.0,Girls’ Generation,Girls’ Generation 2 -Girls & Peace-,,,JP,2012-01-01,,"Girls’ Generation, 2PM"
Destiny,205906.0,Girls’ Generation,Gee,,,KR,2009-01-05,,"Girls’ Generation, 2PM"
7989,213000.0,Girls’ Generation,Girls' Generation,,,KR,2007-11-01,,"Girls’ Generation, 2PM"
Etude,193000.0,Girls’ Generation,Genie - The Second Mini Album,,,XW,2009-06-25,,"Girls’ Generation, 2PM"
Be Happy,210000.0,Girls’ Generation,Run Devil Run: The 2nd Album Repackage,,,XW,2010-03-22,,"Girls’ Generation, 2PM"
Cheap Creeper,181426.0,Girls’ Generation,Make Your Move,,,US,2014-04-07,,"Girls’ Generation, 2PM"
BAD GIRL (Music Video) [Japanese ver.],246000.0,Girls’ Generation,THE BEST,,,JP,2014-07-23,,"Girls’ Generation, 2PM"
BEAUTIFUL GIRLS,238000.0,"Girls’ Generation, 유영진",Into The New World (The 1st Asia Tour Concert),,,KR,2010-12-30,,"Girls’ Generation, 2PM"
BORN TO BE A LADY,236000.0,Girls’ Generation,GIRLS’ GENERATION,,,JP,2011-06-01,,"Girls’ Generation, 2PM"
BEGINNING,214880.0,Girls’ Generation,Into The New World (The 1st Asia Tour Concert),,,KR,2010-12-30,,"Girls’ Generation, 2PM"
Fire Alarm,191306.0,Girls’ Generation,Lion Heart,,,KR,2015-08-19,,"Girls’ Generation, 2PM"
ALL MY LOVE IS FOR YOU (Music Video) [Japanese ver.],248000.0,Girls’ Generation,THE BEST,,,JP,2014-07-23,,"Girls’ Generation, 2PM"
ALL MY LOVE IS FOR YOU,223000.0,Girls’ Generation,Girls’ Generation 2 -Girls & Peace-,,,JP,2012-01-01,,"Girls’ Generation, 2PM"
Devil's Cry,129000.0,Girls’ Generation,2011 GIRLS GENERATION TOUR,,,KR,2013-04-11,,"Girls’ Generation, 2PM"
