recording_id,title,release_date,query_artist_name,retrieved_artist_name
07c43a9b-e70a-4ccf-a9f1-8f52be81d03a,손끝의 사랑,2016-06-07,A-JAX,A-JAX
087a47b7-5755-4c61-9eb1-eaacc95aaa3c,ONE 4 U,2012-11-15,A-JAX,A-JAX
0c38f90e-1a98-4bd0-a5ff-d7dab5fdaff8,Break Up (Instrumental),2012-08-08,A-JAX,A-JAX
0fa53d40-0f06-417d-9b4a-cc7325110269,능구렁이,2013-10-28,A-JAX,A-JAX
313acfb0-a663-4191-90ff-0ff8bae6b298,ホットゲーム -Hot Game-,2012-10-31,A-JAX,A-JAX
35969ee8-f6ac-4e13-ae2a-36cd12213e01,ホットゲーム -Hot Game- (Instrumental),2012-10-31,A-JAX,A-JAX
38bdbccd-28b8-410a-8d14-cc267d81e76c,Dreamin' Hunter,2012-10-31,A-JAX,A-JAX
418925c1-8b26-4edd-8f44-cd6bdae4295d,너밖에 몰라서 (Never Let Go),2012-05-15,A-JAX,A-JAX
460c7a47-31bf-4a77-a881-e9e19a834ede,Break Up,2012-08-08,A-JAX,A-JAX
50e7cd9d-6090-4216-8831-db9cdbb671bd,Your Song (너의 노래),2012-11-15,A-JAX,A-JAX
55757db0-5e9d-470e-8c99-ce973b60ad71,달빛주문 (Fate In),2014-07-02,A-JAX,A-JAX
5996e8b7-38e0-4043-866d-e679754ce6fd,너밖에 몰라서 (Never Let Go) (Inst.),2012-06-01,A-JAX,A-JAX
5bde57a8-149c-4080-a319-0c5d670539f1,Thank Ya,2013-07-11,A-JAX,A-JAX
6b37c927-4c90-4ec9-9046-9c2241b2526a,HOT GAME (Inst.),2012-07-11,A-JAX,A-JAX
799935db-5ffb-4b3e-8f75-628a0e708f95,뱀파이어의 꽃,2014-07-02,A-JAX,A-JAX
90460f50-8367-4508-bc8f-2587bae806d8,ワン・フォー・ユー -ONE 4 U-,2012-08-08,A-JAX,A-JAX
909d4ee5-ea29-439b-9345-1826f92fccb9,Dreamin' Hunter (Instrumental),2012-10-31,A-JAX,A-JAX
91bda2d5-da0e-41e7-905c-0b9445f985e9,같이 있을까,2013-10-28,A-JAX,A-JAX
96be4c2f-e67c-4754-a576-f947f6b4226a,Don't Break My Heart,2013-07-11,A-JAX,A-JAX
97b57a9a-cc68-4997-9849-6888ea76ff6c,와줘,2013-07-11,A-JAX,A-JAX
9be86446-5a2d-40ce-a7fe-de9476d786d0,HOT GAME,2012-11-15,A-JAX,A-JAX
9c5600f0-4540-44c2-ab0b-58660d1e220c,2MYX (Inst.),2012-11-15,A-JAX,A-JAX
a62cfc19-2ca0-427b-97c9-8a4166cb08c4,손끝의 사랑 (inst.),2016-06-07,A-JAX,A-JAX
aac8c0ad-a166-47cd-83d0-6d333f6ea3b7,Fantasy,2013-07-11,A-JAX,A-JAX
ad13dded-a005-4068-b40f-ae459f51a89c,CRAZY 4 U,2012-08-08,A-JAX,A-JAX
bebf7c7c-9676-4f04-8097-24963c8df205,ONE 4 U (Inst.),2012-06-01,A-JAX,A-JAX
c87d29cf-9766-4ea7-8b8d-97bed7820bd9,미쳐가,2013-07-11,A-JAX,A-JAX
d03ec51d-d6fd-4ec9-8fb3-a0b42947817c,너밖에 몰라서 (Never Let Go),2012-06-01,A-JAX,A-JAX
d194c21e-d8ce-40c8-8994-d614dad8ee1d,HOT GAME,2012-07-11,A-JAX,A-JAX
d6744c41-330e-4932-96f3-3099fd2f8ed8,2MYX,2012-11-15,A-JAX,A-JAX
dec303d6-30bf-4193-a04a-7bd5f43a00e7,능구렁이 (Inst.),2013-10-28,A-JAX,A-JAX
ea4f449a-5811-4b13-934b-ac53788831a7,너 밖에 몰라서,2012-11-15,A-JAX,A-JAX
f18f9c65-1d7f-4bac-8068-b9cc9f52dd28,ONE 4 U,2012-06-01,A-JAX,A-JAX
f1a52ab3-0ca5-4969-ba6a-672ddb4bcfda,잡을 테면 잡아봐,2012-11-15,A-JAX,A-JAX
f4b3690f-005f-4e24-b462-6d6b441068bc,ワン・フォー・ユー -ONE 4 U- (Instrumental),2012-08-08,A-JAX,A-JAX
ff85b271-7bdc-4cd8-8bba-c24e4f9180c9,It Girl,2013-10-28,A-JAX,A-JAX
