title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
1 In a Million,185000.0,ASTRO,All Light,,,FR,2019-01-16,,ASTRO
12시간,191000.0,ASTRO,GATEWAY,,,KR,2020-05-07,,ASTRO
After Midnight,190000.0,ASTRO,SWITCH ON,,,XW,2021-08-02,,ASTRO
ALIVE,208133.0,ASTRO,ALIVE,,,XW,2021-09-02,,ASTRO
All Good,205000.0,ASTRO,All Yours,,,US,2021-04-05,,ASTRO
All Night,224413.0,ASTRO,Venus,,,US,2019-04-03,,ASTRO
All Stars,179000.0,ASTRO,All Yours,,,US,2021-04-05,,ASTRO
Always You,223667.0,ASTRO,Venus,,,US,2019-04-03,,ASTRO
Baby,202000.0,ASTRO,Dream Part.01,,,KR,2017-05-29,,ASTRO
Blue Flame,194000.0,ASTRO,BLUE FLAME,,,XW,2019-11-20,,ASTRO
Butterfly,215000.0,ASTRO,Dream Part.02,,,KR,2017-11-01,,ASTRO
Candy Sugar Pop,169000.0,ASTRO,Drive to the Starry Road,,,XW,2022-05-16,,ASTRO
Cotton Candy,194000.0,ASTRO,Winter Dream,,,KR,2017-02-22,,ASTRO
Dear my universe,182000.0,ASTRO,All Yours,,,US,2021-04-05,,ASTRO
Don't Worry,201000.0,ASTRO,SWITCH ON,,,XW,2021-08-02,,ASTRO
Dream Night,195000.0,ASTRO,Dream Part.01,,,KR,2017-05-29,,ASTRO
Dreams Come True,212000.0,ASTRO,Dream Part.01,,,KR,2017-05-29,,ASTRO
Every Minute,202000.0,ASTRO,Dream Part.01,,,KR,2017-05-29,,ASTRO
Galaxian,443637.0,ASTRO,"Virage Airways, Vol. 2",,,XW,2020-06-26,,ASTRO
Go&Stop,215000.0,ASTRO,BLUE FLAME,,,XW,2019-11-20,,ASTRO
Hanasake Mirai,238760.0,ASTRO,Venus,,,US,2019-04-03,,ASTRO
Heart Brew Love,212000.0,ASTRO,All Light,,,FR,2019-01-16,,ASTRO
I'll Be There,186000.0,ASTRO,Dream Part.01,,,KR,2017-05-29,,ASTRO
I'm On Your Side,265360.0,ASTRO,Venus,,,US,2019-04-03,,ASTRO
II Aishiteru,240333.0,ASTRO,Venus,,,US,2019-04-03,,ASTRO
Knock (널 찾아가),193000.0,ASTRO,GATEWAY,,,KR,2020-05-07,,ASTRO
Korean Dream,270000.0,ASTRO,Korean Dream,,,KR,2019-02-16,,ASTRO
Lonely,202000.0,ASTRO,Autumn Story,,,KR,2016-11-10,,ASTRO
Love Wheel,209000.0,ASTRO,All Light,,,FR,2019-01-16,,ASTRO
Merry-Go-Round,189999.0,ASTRO,All Light,,,FR,2019-01-16,,ASTRO
Moonwalk,199000.0,ASTRO,All Light,,,FR,2019-01-16,,ASTRO
More,196000.0,ASTRO,Drive to the Starry Road,,,XW,2022-05-16,,ASTRO
MY ZONE,189000.0,ASTRO,SWITCH ON,,,XW,2021-08-02,,ASTRO
OK! 준비완료,73000.0,ASTRO,Spring Up,,,KR,2016-02-23,,ASTRO
ONE,196000.0,ASTRO,All Yours,,,US,2021-04-05,,ASTRO
Real Love,,ASTRO,2018 ASTRO Special Single Album,,,KR,2018-03-06,,ASTRO
Role Play,193000.0,ASTRO,All Light,,,FR,2019-01-16,,ASTRO
Run,219000.0,ASTRO,Dream Part.02,,,KR,2017-11-01,,ASTRO
SNS,183000.0,ASTRO,All Yours,,,US,2021-04-05,,ASTRO
SOMEBODY LIKE,188000.0,ASTRO,GATEWAY,,,KR,2020-05-07,,ASTRO
Something Something,189000.0,ASTRO,Drive to the Starry Road,,,XW,2022-05-16,,ASTRO
Stardust,206000.0,ASTRO,All Yours,,,US,2021-04-05,,ASTRO
Starry Sky,178000.0,ASTRO,All Light,,,FR,2019-01-16,,ASTRO
Treasure,209000.0,ASTRO,All Light,,,FR,2019-01-16,,ASTRO
U&Iverse,204410.0,ASTRO,U&Iverse,,,AF,2022-07-21,,ASTRO
Waterfall,242986.0,ASTRO,SWITCH ON,,,XW,2021-08-02,,ASTRO
We Still,196000.0,ASTRO,GATEWAY,,,KR,2020-05-07,,ASTRO
With You,206000.0,ASTRO,Dream Part.02,,,KR,2017-11-01,,ASTRO
You & Me (Thanks AROHA),205000.0,ASTRO,Winter Dream,,,KR,2017-02-22,,ASTRO
You're my world,245000.0,ASTRO,BLUE FLAME,,,XW,2019-11-20,,ASTRO
고백,185000.0,ASTRO,Autumn Story,,,KR,2016-11-10,,ASTRO
그림자,193000.0,ASTRO,"Sugar Man 2, Pt. 3",,,US,2018-01-29,,ASTRO
내 곁에 있어줘 (Stay with me),,ASTRO,2018 ASTRO Special Single Album,,,KR,2018-03-06,,ASTRO
내 멋대로,210000.0,ASTRO,Summer Vibes,,,KR,2016-07-01,,ASTRO
내 이름을 부를 때,209000.0,ASTRO,GATEWAY,,,KR,2020-05-07,,ASTRO
너라서,222000.0,ASTRO,Dream Part.01,,,KR,2017-05-29,,ASTRO
너의 뒤에서 (By Your Side),204000.0,ASTRO,Rise Up,,,KR,2018-07-24,,ASTRO
노을 그림 (Sunset Sky),200000.0,ASTRO,SWITCH ON,,,XW,2021-08-02,,ASTRO
니가 불어와 (Crazy Sexy Cool),196000.0,ASTRO,Dream Part.02,,,KR,2017-11-01,,ASTRO
니가 웃잖아,207000.0,ASTRO,Dream Part.01,,,KR,2017-05-29,,ASTRO
다 거짓말,201000.0,ASTRO,Dream Part.01,,,KR,2017-05-29,,ASTRO
다야 (All About You),187000.0,ASTRO,BLUE FLAME,,,XW,2019-11-20,,ASTRO
모닝콜,214000.0,ASTRO,Spring Up,,,KR,2016-02-23,,ASTRO
물들어,190000.0,ASTRO,Autumn Story,,,KR,2016-11-10,,ASTRO
발자국 (Footprint),192000.0,ASTRO,SWITCH ON,,,XW,2021-08-02,,ASTRO
밤하늘의 별처럼,227000.0,ASTRO,Drive to the Starry Road,,,XW,2022-05-16,,ASTRO
별,196000.0,ASTRO,Autumn Story,,,KR,2016-11-10,,ASTRO
북극성,201000.0,ASTRO,Summer Vibes,,,KR,2016-07-01,,ASTRO
불꽃놀이,198000.0,ASTRO,Summer Vibes,,,KR,2016-07-01,,ASTRO
붙잡았어야 해,216000.0,ASTRO,Winter Dream,,,KR,2017-02-22,,ASTRO
빛이 돼줄게,204000.0,ASTRO,GATEWAY,,,KR,2020-05-07,,ASTRO
사랑이,228000.0,ASTRO,Autumn Story,,,KR,2016-11-10,,ASTRO
성장통,224000.0,ASTRO,Summer Vibes,,,KR,2016-07-01,,ASTRO
숨가빠,199000.0,ASTRO,Summer Vibes,,,KR,2016-07-01,,ASTRO
숨바꼭질,197000.0,ASTRO,Spring Up,,,KR,2016-02-23,,ASTRO
아니 그래,261000.0,ASTRO,"No, I don’t..",,,XW,2020-06-28,,ASTRO
어느새 우린,210000.0,ASTRO,Dream Part.02,,,KR,2017-11-01,,ASTRO
외친다 (Call Out),213000.0,ASTRO,Rise Up,,,KR,2018-07-24,,ASTRO
우리의 계절 (Our spring),227000.0,ASTRO,All Yours,,,US,2021-04-05,,ASTRO
잘 알지도 못하면서,,ASTRO,2018 ASTRO Special Single Album,,,KR,2018-03-06,,ASTRO
장화 신은 고양이,165000.0,ASTRO,Spring Up,,,KR,2016-02-23,,ASTRO
찬바람 불 때면 (When The Wind Blows),202000.0,ASTRO,BLUE FLAME,,,XW,2019-11-20,,ASTRO
풋사랑,206000.0,ASTRO,Spring Up,,,KR,2016-02-23,,ASTRO
피어나 (Bloom),223000.0,ASTRO,All Light,,,FR,2019-01-16,,ASTRO
하늘빛,206000.0,ASTRO,Drive to the Starry Road,,,XW,2022-05-16,,ASTRO
