recording_id,title,release_date,query_artist_name,retrieved_artist_name
01f3bce2-2582-41fc-a695-7f4623bcec67,Because of you (Japan ver.) (instrumental),2012-01-25,After School,After School
0384041c-020f-49e9-8d49-7b6dd9627ad5,「Dilly Dally」Live at Namba Hatch TOUR FINAL,2012-06-13,After School,After School
03c6e8f8-611e-4fcf-98f7-a905874d7360,FLASHBACK,2013-03-27,After School,After School
04937c74-1a0c-4628-a5a0-d20345d3d74f,Let's Do It [Korea Ver.] (MUSIC VIDEO),2011-08-17,After School,After School
05a28f26-cd1f-43db-a937-976ffb2f6833,Japan 1st Year 蔵出しオフショット集,2012-03-14,After School,After School
0755b7f7-d7fb-4fee-b05b-76dce05c48e7,Diva,2013-03-27,After School,After School
08fa2472-1d6f-4ef6-9ea9-52b9a1f8c212,Diva (Korea Ver.),2011-11-23,After School,After School
0dd637cd-737d-4180-9d42-70b2e34c35f6,First Love,2013-10-02,After School,After School
0df4e7bc-2072-43a9-8235-56520e0fd9d4,Diva (Instrumental),2011-11-23,After School,After School
0f841507-bc5a-45ac-8423-68b2c605350d,Diva -Dance Edit Ver.-,2012-03-14,After School,After School
1014a0ce-76ce-4870-b8fd-7dcb32e35e06,Lucky Girl,2014-03-19,After School,After School
105d1512-206f-46f2-8b40-be648cf64b8f,Gimme Love,2012-03-14,After School,After School
12c0ffd9-d14d-4039-a81c-166f75818dbd,Heaven [SHINICHI OSAWA REMIX],2015-03-18,After School,After School
13ae4c2e-3080-4049-a5ad-6054944888d6,Dressing Room,2013-06-13,After School,After School
179626e4-dd2c-4eb8-8909-da2112de584f,Let's Do It!,2010-03-25,After School,After School
181c9e23-68af-404e-abad-59ccf327c761,AH~,2009-01-29,After School,After School
190ed90d-4576-4e08-bd8f-5b4ed95e5f65,Bang!,2013-03-27,After School,After School
1a67cee1-bd1a-400f-81bd-a71e5e412f0d,Bang!,2011-08-07,After School,After School
1e3f1398-4013-450f-8c9a-5139543af993,"""Lady Luck"" Making Movie",2012-06-13,After School,After School
1ece6033-28c4-4903-ac4a-d9f63e47a3ea,Bang! [Alternate Ver.],2015-03-18,After School,After School
1f47a50d-b542-458d-bd19-c18c36a2a707,Heaven (Music Video),2013-10-02,After School,After School
20aa7a71-cb84-4761-8f26-e7ef06e55e11,Crazy Driver (instrumental),2013-10-02,After School,After School
213ee023-f3d8-458e-8936-867fb6d0c971,Dream Girl,2009-05-22,After School,After School
300c99da-330d-4fcf-a8ce-16de3add21f9,「Lady Luck」Live at Namba Hatch TOUR FINAL,2012-06-13,After School,After School
30f625f2-380d-43e6-b431-a36925d6428e,Crazy Driver,2013-09-25,After School,After School
31e54508-0b1c-40c9-ac5b-975f730a7ec9,Ms.Independent,2014-03-19,After School,After School
3482acb9-1bc9-4ae5-bd6c-4d9d85498c4e,AH~ (instrumental),2009-01-29,After School,After School
362ee557-6eac-41c0-9f7a-27e0e9a91a5c,LOVE LETTER,2011-12-01,After School,After School
36e45eae-f6cb-43dd-807b-e1743425061e,Lady Luck,2012-06-13,After School,After School
3907ec14-53b4-448a-ac4c-479af5bcd0d0,Diva (from Japan Premium Party -Bang!Bang!Bang!-),2011-11-23,After School,After School
40620739-89c1-4135-9cac-5edaf5896545,AH,2013-03-27,After School,After School
444265cc-6c29-4025-b5f2-28cfe5430903,Clap Your Hands!!,2009,After School,After School
4d594e3d-a365-4698-acd8-ebb7dbe68678,Love Beat,2013-06-13,After School,After School
4ea700dc-cdca-4038-a053-c5e04c5532ff,Bang! (Instrumental),2011-08-07,After School,After School
55296e4e-7178-4bea-9cd5-dbf873b6d1c0,Lady,2012-03-14,After School,After School
591bf835-8226-4189-8137-013883df6c9e,make it happen,2011-04-20,After School,After School
59bc7336-70b9-47a7-8edd-41d6743ae1a7,Let's Step Up,2011-05-03,After School,After School
5b447780-0fe6-4d6c-b34a-243b747d6c79,Dream Again,2010-05-18,After School,After School
5c0e16fa-c3ea-456b-aff3-32ce49dab41a,Lady Luck [Instrumental],2012-06-13,After School,After School
60ca24e5-b7f3-4847-bb28-d3c7ff95ad2a,Flashback,2012-06-20,After School,After School
6302d6ef-2af4-40ad-ba10-a0478d8c1fa7,"Killing eyes ～End of ""Dress to kill""～",2014-03-19,After School,After School
63408add-59ba-4081-844a-4df6e495dffb,8 Hot Girl,2013-06-13,After School,After School
65a9ea63-c334-4782-8d1a-6b6040415543,Diva,2012-03-14,After School,After School
65f8a79d-306a-449d-8845-afe715ebfca3,Diva (Inst.),2009-04-09,After School,After School
68119773-d2f6-4cb3-ab37-289e6536e741,Funky Man,2011-05-03,After School,After School
689c779c-4a3c-4ed0-90ec-7db32b5ac825,Dream Girl (instrumental),2009-05-22,After School,After School
6b06df3d-b3e2-41db-b939-a2496e9a90b7,in the moonlight,2014-03-19,After School,After School
6bb0cc7c-5a93-4b6d-b1da-b70c92274049,Because of you,2012-03-14,After School,After School
6e523b21-6efc-4dfa-9654-9a09770a4e26,AH,2012-03-14,After School,After School
7131f6f3-5157-43c6-8b58-e878524806c0,FLASHBACK (JPN Ver.),2014-03-19,After School,After School
713f0374-e459-4b12-a8aa-0b0c8a50856a,First Love (Music Video),2013-10-02,After School,After School
74f5b971-e1e6-4f69-a1b6-3657f8d0d0f0,Eyeline (透視),2012-06-20,After School,After School
7669cd23-f5e7-44ed-8fcf-a6af695cde2a,Dream,2011-05-03,After School,After School
77a679af-79ff-468c-ba9c-f64d66f7b27e,Bang! [Japan Ver.] (MUSIC VIDEO),2011-08-17,After School,After School
7b323c7c-ea60-4382-bae7-8447a2e101d1,Just in time [Alternate Ver.],2015-03-18,After School,After School
7bc7f800-48cb-420b-bb91-a96c1510610e,Bang! [Japan Ver.],2012-03-14,After School,After School
