recording_id,title,release_date,query_artist_name,retrieved_artist_name
0f481725-82cf-40ee-bc7c-6744106b2f95,From Seoul,2019,BASTARZ,BASTARZ
2a869ddb-4ea7-4b7e-be59-1dfdc2e7746e,Help Me,2019,BASTARZ,BASTARZ
3ef15979-093d-47ec-9786-5df9622bb7f5,도둑 (Thief),2015-04-14,BASTARZ,BASTARZ
4143bec4-c176-4c16-b6d2-a35aa03dc752,If Not Me Who,2019,BASTARZ,BASTARZ
424af501-62fe-4928-a949-6e64198c0a0c,Make It Rain,2016-10-31,BASTARZ,BASTARZ
4c0d3791-3d26-4dc3-840f-b7fd645b32b9,That's Right,2016-10-31,BASTARZ,BASTARZ
501c3647-3b6e-4730-833f-04cb38a56ae0,Comme des Garcons,2019,BASTARZ,BASTARZ
51d4037a-3877-4453-a23c-64672564a3be,Hinkou ZERO (Japanese Version),2018-06-20,BASTARZ,BASTARZ
5a70be8c-474a-43ac-8a1e-c86dee597c25,배째,2015-04-14,BASTARZ,BASTARZ
68740e8c-82a0-4cf6-9f43-384e61662305,Messed Up,2019,BASTARZ,BASTARZ
69889952-f51a-4bfc-9d31-c539d2400061,Let's Ride (U-KWON solo),2019,BASTARZ,BASTARZ
6d2d85bf-b317-4dfa-8094-df43a9406a2c,Nobody but you,2015-04-14,BASTARZ,BASTARZ
7f1030f3-ab36-4269-978f-8b4dc05c2e76,찰리채플린,2015-04-14,BASTARZ,BASTARZ
939c1323-3ed3-4a3e-9388-6f10aaad155a,숨온 그림 찾기,2016-10-31,BASTARZ,BASTARZ
b16d624c-997e-465d-8cca-717bc67b9958,이기적인 걸,2016-10-24,BASTARZ,BASTARZ
b17fad49-af7f-4e6c-a291-6c1187c3bc92,타이트하게,2016-10-31,BASTARZ,BASTARZ
bab57110-b383-439a-8d5a-51c859d5c4dd,품행제로 (inst.),2015-04-14,BASTARZ,BASTARZ
c1a23518-f23c-4541-812f-2027ae3c6df0,Easy,2019,BASTARZ,BASTARZ
cab29dce-b367-413c-a0bf-433680553d25,Charlie Chaplin (Japanese Version),2018-06-20,BASTARZ,BASTARZ
ce93c721-1640-426c-9ff9-9cf80b9cbd3b,품행제로,2015-04-14,BASTARZ,BASTARZ
d8c02873-d259-4848-82ee-136cb0665d47,Recognize (B-BOMB Solo),2019,BASTARZ,BASTARZ
efd1c94a-a346-4525-a189-b92fe2f54ca6,이기적인 걸,2016-10-31,BASTARZ,BASTARZ
