title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
A World Without Pain,202027.0,BLACKSWAN,That Karma (pop edition),,,,2023-09-06,,BLACKSWAN
Beep Beep Beep,233000.0,BLACKSWAN,Refresh 7th,,,KR,2017-08-12,,BLACKSWAN
Breathe Heavy,222000.0,BLACKSWAN,Refresh 7th,,,KR,2017-08-12,,BLACKSWAN
Cat & Mouse,165000.0,BLACKSWAN,That Karma,,,XW,2023-05-19,,BLACKSWAN
Close to Me,197947.0,BLACKSWAN,Close to Me,,,XW,2021-10-14,,BLACKSWAN
Demonstrate,184000.0,BLACKSWAN,Demonstrate,,,XW,2015-11-05,,BLACKSWAN
DR FEEL GOOD,,BLACKSWAN,RaNia Legends,,,KR,2017-02,,BLACKSWAN
Dr. Feel Good,189000.0,BLACKSWAN,Just Go,,,KR,2013-03-08,,BLACKSWAN
Get Out,187000.0,BLACKSWAN,Demonstrate,,,XW,2015-11-05,,BLACKSWAN
Good Bye,246000.0,BLACKSWAN,Just Go,,,KR,2013-03-08,,BLACKSWAN
Goodbye,246000.0,BLACKSWAN,Time to Rock da Show,,,KR,2011-11-17,,BLACKSWAN
Hello,208000.0,BLACKSWAN,Demonstrate,,,XW,2015-11-05,,BLACKSWAN
Just Go,188000.0,BLACKSWAN,Just Go,,,KR,2013-03-08,,BLACKSWAN
Karma,195000.0,BLACKSWAN,That Karma,,,XW,2023-05-19,,BLACKSWAN
Killer,193000.0,BLACKSWAN,Just Go,,,KR,2013-03-08,,BLACKSWAN
Let Me Dance,211952.0,BLACKSWAN,Goodbye RANIA,,,AF,2020-10-16,,BLACKSWAN
Make me ah,239000.0,BLACKSWAN,Start a Fire,,,KR,2016-12-30,,BLACKSWAN
Masquerade,192000.0,BLACKSWAN,Just Go,,,KR,2013-03-08,,BLACKSWAN
No dab,192000.0,BLACKSWAN,Refresh 7th,,,KR,2017-08-12,,BLACKSWAN
Over & Over,214909.0,BLACKSWAN,Goodbye RANIA,,,AF,2020-10-16,,BLACKSWAN
Pop Pop Pop,180000.0,BLACKSWAN,Just Go,,,KR,2013-03-08,,BLACKSWAN
Secret Party,234000.0,BLACKSWAN,Just Go,,,KR,2013-03-08,,BLACKSWAN
Start a Fire,216000.0,BLACKSWAN,Start a Fire,,,KR,2016-12-30,,BLACKSWAN
STYLE,202000.0,BLACKSWAN,STYLE,,,KR,2012-09-20,,BLACKSWAN
Time to Rock da Show,50000.0,BLACKSWAN,Time to Rock da Show,,,KR,2011-11-17,,BLACKSWAN
Tonight,177906.0,BLACKSWAN,Goodbye RANIA,,,AF,2020-10-16,,BLACKSWAN
Up,181000.0,BLACKSWAN,Up,,,KR,2013-07-05,,BLACKSWAN
