recording_id,title,release_date,query_artist_name,retrieved_artist_name
04b95f36-ec48-4483-89da-e8b81d3f8440,여기 적어줘,2020-05-30,CHUNG HA,CHUNG HA
065bb4d7-c105-4d2f-acc4-3e25cb3429d9,Lemon,2021-02-15,CHUNG HA,CHUNG HA
074e0a58-5b67-4f5c-8489-cc9b4abf5c93,Offset,2018-01-17,CHUNG HA,CHUNG HA
07aee52e-b7d2-4bb2-9747-6d564fb92777,Good Night My Princess,2022-07-11,CHUNG HA,CHUNG HA
089bb668-38af-42e0-9974-6608704be8af,Stay Tonight,2020-04-27,CHUNG HA,CHUNG HA
188b994a-3548-48e3-9e51-f0aeaea77b34,Why Don't You Know,2017-06-07,CHUNG HA,CHUNG HA
1c93aabc-b3dc-4c47-92b2-d7bf93d27eee,SIDE C {UNKNOWN},2021-02-15,CHUNG HA,CHUNG HA
1cc79cac-8be9-4dba-bc4f-0c2d068960a2,Sparkling,2022-07-11,CHUNG HA,CHUNG HA
1d0b2e98-b08e-4250-85ad-edac6bad332d,"꽃, 바람 그리고 너",2016-08-29,CHUNG HA,CHUNG HA
1dbfdbbd-e703-4c48-8a70-91c15356da85,Sparkling,2022,CHUNG HA,CHUNG HA
1f9755aa-7a12-4841-8d69-02b093b5bd28,BB,2018-07-18,CHUNG HA,CHUNG HA
21863cf4-6595-471c-8ed6-cd0c3ae94d2a,Drive,2018-07-18,CHUNG HA,CHUNG HA
2e532b3d-bcda-45a9-bbf5-9825d0b73d95,그 끝에 그대,2019-08-31,CHUNG HA,CHUNG HA
323866f6-ecea-492c-9d36-72d1f3945e68,When I Get Old,2022-10-20,CHUNG HA,CHUNG HA
326502de-95e4-464e-b89e-b78f35b88ac8,With U,2017-08-02,CHUNG HA,CHUNG HA
32e200d1-e777-43fc-a10c-b896161d0d4c,Make a Wish,2017-06-07,CHUNG HA,CHUNG HA
3a28fb49-aa06-490e-9e2a-fc1ab54b097e,SIDE D {PLEASURES},2021-02-15,CHUNG HA,CHUNG HA
3ccfc29b-b0e7-4e42-82f7-5f78fb40e1c0,XXXX,2022-07-11,CHUNG HA,CHUNG HA
3df7e162-0f83-4b8a-a51d-dbec4af39540,Louder,2022-07-11,CHUNG HA,CHUNG HA
3eeaa22c-aa61-4d85-9d68-7f056f7e5cf0,Crazy Like You,2022-07-11,CHUNG HA,CHUNG HA
49e4a208-b5f0-4bd9-8298-49e6b4f00161,별하랑 (160504 + 170607),2021-02-15,CHUNG HA,CHUNG HA
4b3a5553-823c-4d33-b169-e56f680440ec,Luce sicut stellae,2021-02-15,CHUNG HA,CHUNG HA
4c6a502c-0471-4104-a59d-b8c653b06ad9,우주먼지,2017-06-07,CHUNG HA,CHUNG HA
4e598400-9c87-4c90-84d7-af047be222e2,Killing Me,2021-11-29,CHUNG HA,CHUNG HA
519b02ae-8f05-42cb-8a29-234c524c7bdd,Do It,2018-01-17,CHUNG HA,CHUNG HA
56501c2b-0e6e-436c-8577-8db854944827,나의 그대,2020-02-25,CHUNG HA,CHUNG HA
5889fdc7-5870-4b7b-a45a-8879997edd1b,Snapping,2019-06-24,CHUNG HA,CHUNG HA
5b8ef18b-8b30-44f3-b977-806feb2fc045,REMEDY,2020-02-17,CHUNG HA,CHUNG HA
5f46bca4-4096-4377-891e-679df27bae6c,시간이 없어,2017-04-19,CHUNG HA,CHUNG HA
63c3d2be-8bb0-48e1-ab44-42088085cea4,Rainy Day (Antik remix ver.),2018-10-11,CHUNG HA,CHUNG HA
68b0366b-e859-450e-b371-270c1dd53526,FAST,2019-09-08,CHUNG HA,CHUNG HA
6a712dda-7109-405b-a01f-ac2c284e4b59,솔직히 지친다,2020-02-29,CHUNG HA,CHUNG HA
6bbb16fb-b2cc-4b90-a82a-abc6c8ff9b4b,두근두근,2017-04-17,CHUNG HA,CHUNG HA
6d443e2a-76c7-4498-acc4-8209b01d14cc,Dream of You,2020-11-26,CHUNG HA,CHUNG HA
6fb1343e-1418-42ba-b6de-d29d5e253037,Bicycle,2021-02-15,CHUNG HA,CHUNG HA
6fe4a3d6-ad6f-447a-a4e4-74ac22bb267e,짜증 나게 만들어,2021-02-15,CHUNG HA,CHUNG HA
7120c506-30cb-4052-baf6-b605ea9523af,Loveship,2020-01-21,CHUNG HA,CHUNG HA
740254f1-ad76-4614-8f32-b742ba5a9fe6,Hands on Me,2017-06-07,CHUNG HA,CHUNG HA
