title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
99%,185000.0,CNBLUE,WANTED,,,XW,2021-10-20,,CNBLUE
a.ri.ga.tou.,326000.0,CNBLUE,ThankU,,,JP,2010-03-20,,CNBLUE
Angel,205000.0,CNBLUE,WAVE,,,JP,2014-09-17,,CNBLUE
Be my love,229000.0,CNBLUE,Puzzle,,,JP,2016-05-11,,CNBLUE
Be OK,222000.0,CNBLUE,EUPHORIA,,,JP,2016-10-19,,CNBLUE
Black Flower,175000.0,CNBLUE,BLUE LOVE,,,KR,2010-05-04,,CNBLUE
Blessed,283000.0,CNBLUE,EUPHORIA,,,JP,2016-10-19,,CNBLUE
Blind Love,243000.0,CNBLUE,Blind Love,,,JP,2013-04-24,,CNBLUE
Blue Sky,256000.0,CNBLUE,CODE NAME BLUE,,,JP,2012-08-29,,CNBLUE
Blue Stars,213960.0,CNBLUE,RE-CODE,,,KR,2020-11-17,,CNBLUE
BOOK,282240.0,CNBLUE,Stay Gold,,,,2017-10-18,,CNBLUE
Butterfly,239066.0,CNBLUE,Stay Gold,,,,2017-10-18,,CNBLUE
Can't Stop,237000.0,CNBLUE,Can't Stop,,,KR,2014-02-24,,CNBLUE
CAPTIVATE,166453.0,CNBLUE,Stay Gold,,,,2017-10-18,,CNBLUE
Catch Me,193000.0,CNBLUE,2gether,,,KR,2015-09-14,,CNBLUE
CHANGE,195000.0,CNBLUE,What turns you on?,,,JP,2013-08-28,,CNBLUE
Clap your hands,210188.0,CNBLUE,ZOOM,,,XW,2021-06-23,,CNBLUE
Coffee shop,208368.0,CNBLUE,Re:BLUE,,,KR,2013-01-14,,CNBLUE
Come on,211000.0,CNBLUE,Come on,,,JP,2012-08-01,,CNBLUE
Control,193000.0,CNBLUE,Go your way,,,JP,2014-08-20,,CNBLUE
Coward,210000.0,CNBLUE,392,,,JP,2011-09-01,,CNBLUE
Crying Out,227000.0,CNBLUE,What turns you on?,,,JP,2013-08-28,,CNBLUE
Daisy,283000.0,CNBLUE,colors,,,JP,2015-09-30,,CNBLUE
Dance Dance Dance,174573.0,CNBLUE,PLEASURES,,,,2023-10-25,,CNBLUE
Diamond Girl,186000.0,CNBLUE,Can't Stop,,,KR,2014-02-24,,CNBLUE
Domino,207000.0,"CNBLUE, Whee In",2gether,,,KR,2015-09-14,,CNBLUE
Don't Care,205000.0,CNBLUE,Lady,,,JP,2013-07-31,,CNBLUE
Don't say good bye,266000.0,CNBLUE,RE-MAINTENANCE,,,JP,2011-01-09,,CNBLUE
Dream boy,179121.0,CNBLUE,EAR FUN,,,XW,2012-03-16,,CNBLUE
Drunken Night,188000.0,CNBLUE,2gether,,,KR,2015-09-14,,CNBLUE
DVD SPECIAL FEATURE,1200000.0,CNBLUE,EAR FUN,,,KR,2012-03-26,,CNBLUE
Every time,195000.0,CNBLUE,EUPHORIA,,,JP,2016-10-19,,CNBLUE
Face to face,237000.0,CNBLUE,EUPHORIA,,,JP,2016-10-19,,CNBLUE
Feel Good,196000.0,CNBLUE,GALAXY Music,,,KR,2013-08-23,,CNBLUE
feeling,214000.0,CNBLUE,Where you are,,,JP,2012-02-01,,CNBLUE
Foxy,193000.0,CNBLUE,WAVE,,,JP,2014-09-17,,CNBLUE
Friday,149000.0,CNBLUE,Friday,,,KR,2012-07-31,,CNBLUE
Get Away,210000.0,CNBLUE,Where you are,,,JP,2012-02-01,,CNBLUE
Glory days,270000.0,CNBLUE,EUPHORIA,,,JP,2016-10-19,,CNBLUE
