title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Blind (콩깍지),208000,Ciipher,BLIND,,,KR,2021-09-28,,Ciipher
Fall In Love,179000,Ciipher,I Like you (안꿀려),,,KR,2021-03-15,,Ciipher
Fame,223000,Ciipher,THE CODE,,,KR,2022-05-11,,Ciipher
Fire,223000,Ciipher,I Like you (안꿀려),,,KR,2021-03-15,,Ciipher
Give me love,208000,Ciipher,I Like you (안꿀려),,,KR,2021-03-15,,Ciipher
Go Ahead,219000,Ciipher,BLIND,,,KR,2021-09-28,,Ciipher
I Like You (안꿀려; An Ggulyeo),225000,Ciipher,I Like you (안꿀려),,,KR,2021-03-15,,Ciipher
Joker,185000,Ciipher,BLIND,,,KR,2021-09-28,,Ciipher
Moon Night,196000,Ciipher,BLIND,,,KR,2021-09-28,,Ciipher
On A Highway,218000,Ciipher,THE CODE,,,KR,2022-05-11,,Ciipher
Slam The Door,204000,Ciipher,THE CODE,,,KR,2022-05-11,,Ciipher
Solo (모태솔로),223000,Ciipher,I Like you (안꿀려),,,KR,2021-03-15,,Ciipher
Stay (있을게),217000,Ciipher,THE CODE,,,KR,2022-05-11,,Ciipher
That's Okay (괜찮아),215000,Ciipher,BLIND,,,KR,2021-09-28,,Ciipher
The Code (Intro),37000,Ciipher,THE CODE,,,KR,2022-05-11,,Ciipher
You (너를 다시),226000,Ciipher,THE CODE,,,KR,2022-05-11,,Ciipher
