title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
잘났어,190000,F‐ve Dolls,Charming Five Girls,,,KR,2011-02-16,,F‐ve Dolls
네가 없이도,223000,F‐ve Dolls,Club Remix Time To Play,,,KR,2011-05-21,,F‐ve Dolls
Time to Play (Intro),131000,F‐ve Dolls,Club Remix Time To Play,,,KR,2011-05-21,,F‐ve Dolls
거기 잠깐,197000,F‐ve Dolls,Charming Five Girls,,,KR,2011-02-16,,F‐ve Dolls
LOV,213000,F‐ve Dolls,First Love,,,KR,2013-09-17,,F‐ve Dolls
사랑한다? 안한다!,198000,F‐ve Dolls,First Love,,,KR,2013-09-17,,F‐ve Dolls
사기쳤어,205000,F‐ve Dolls,First Love,,,KR,2013-09-17,,F‐ve Dolls
너 말이야 (Remix ver.),230000,F‐ve Dolls,Club Remix Time To Play,,,KR,2011-05-21,,F‐ve Dolls
짝 1호 (Soulmate #1) (Remix ver.),228000,F‐ve Dolls,Since 1971,,,KR,2013-07-30,,F‐ve Dolls
입술자국,226000,F‐ve Dolls,Charming Five Girls,,,KR,2011-02-16,,F‐ve Dolls
거기 잠깐 (Remix ver.),201000,F‐ve Dolls,Club Remix Time To Play,,,KR,2011-05-21,,F‐ve Dolls
너 말이야,219000,F‐ve Dolls,Charming Five Girls,,,KR,2011-02-16,,F‐ve Dolls
입술자국 (Remix ver.),232000,F‐ve Dolls,Club Remix Time To Play,,,KR,2011-05-21,,F‐ve Dolls
짝 1호 (Soulmate #1) (Original ver.),231000,F‐ve Dolls,Since 1971,,,KR,2013-07-30,,F‐ve Dolls
진통제,223000,"T‐ARA, The SeeYa, F‐ve Dolls, SPEED",Tears Of Mind,,,KR,2013-06-10,,F‐ve Dolls
NONONO,216000,F‐ve Dolls,First Love,,,KR,2013-09-17,,F‐ve Dolls
쭈르르르르,218000,F‐ve Dolls,Charming Five Girls,,,KR,2011-02-16,,F‐ve Dolls
짝 1호 (Listen 2),228000,F‐ve Dolls,First Love,,,KR,2013-09-17,,F‐ve Dolls
잘났어 (Remix ver.),195000,F‐ve Dolls,Club Remix Time To Play,,,KR,2011-05-21,,F‐ve Dolls
쭈르르르르 (Remix ver.),219000,F‐ve Dolls,Club Remix Time To Play,,,KR,2011-05-21,,F‐ve Dolls
이러쿵 저러쿵 (Like This or That),212000,F‐ve Dolls,Club Remix Time To Play,,,KR,2011-05-21,,F‐ve Dolls
