recording_id,title,release_date,query_artist_name,retrieved_artist_name
03c1aec0-27a7-4a64-adba-f7d1e19cc29a,My Mother Said (Cosmic Trance Mix),2021-06,GLAM,Glam
041236be-2582-4941-85ad-982f2bee40b5,Hell's Party,2006-11-20,GLAM,Glam
044d79a0-6659-47c5-b67d-6187d533db1b,Hells Party (DJ Ricci mix),1995-07-24,GLAM,Glam
0735233c-32bf-4053-84fb-88f5a2af27a3,Hell's Party,1993,GLAM,Glam
0c34f219-2b9b-49b7-a130-8feb17a21e49,Sex Drive (Sexual hard mix),1994,GLAM,Glam
0c51cbf0-4aba-463c-8fdf-73848c4537e6,Hell's Party,,GLAM,Glam
189e4b82-6098-4080-a496-16608c6c130d,Hell's Party (DJ Ricci mix),1993,GLAM,Glam
1b686d93-e1a6-4de8-aefe-bc7b2c4cb3a7,Hell's Party,2003-01-27,GLAM,Glam
1ff8d68b-6b1e-4414-b87c-100875cb78bf,Hell's Party,1993,GLAM,Glam
2124d301-1265-4c6e-ba13-583a7e6180cf,Hell’s Party,1993,GLAM,Glam
252de38e-a90f-481a-92bc-94498ebef1d1,Hell's Party (Herbie's remix),1992,GLAM,Glam
288181b8-f6b4-426b-99b6-cdf576f13c28,My Mother Said (Cosmic Trance Mix),2021-06-14,GLAM,Glam
291b65a1-15a0-4c47-96c4-08e20946a77e,Hell’s Party,2009-02-14,GLAM,Glam
2934b512-b02c-4252-aa48-cf0b4718576e,Sex Drive (Glam Drivin’ mix),1996,GLAM,Glam
2cc1224f-ef19-4815-b231-f0941c0c9deb,Hell’s Party (original club mix),1992,GLAM,Glam
2d886334-4e80-43e0-8e30-d3b4404f6862,Sex Drive,1994,GLAM,Glam
3024d952-794f-47d6-bce9-d946f98a76b1,Hell's Party (Progressive Version),1993,GLAM,Glam
31a4acf8-b4bc-4fbc-a383-459a0b83d434,Hell’s Party,1994,GLAM,Glam
330b5878-5486-4e6f-b700-07b33bf3b912,Hell's Party (Bump club mix),1992,GLAM,Glam
341de6f4-3734-413f-b353-553ad6b7d39e,My Mother Said,1992,GLAM,Glam
3430233a-4bfb-4a12-8a6d-093e95e6ba30,Sex Drive,1994,GLAM,Glam
39f931c3-8d87-4785-a222-cff31c16423b,Sex Drive,1994,GLAM,Glam
3b7e166b-593b-44a3-b5a8-8793db1ccda7,Hell’s Party (original club mix),1995-01-30,GLAM,Glam
3b86a612-c899-49d4-9b66-04e86c97defe,Hell's Party,1998,GLAM,Glam
