recording_id,title,release_date,query_artist_name,retrieved_artist_name
095c3ba1-18c4-4357-9b60-d093cec41db0,가위 바위 보,2016-10-26,Giant Pink,Giant Pink
163738d8-f8fc-4f95-9ed8-4650a37b1226,Mirror Mirror,2019-02-25,Giant Pink,Giant Pink
269e7059-0503-46a0-a4f5-42ad6ef8c5e2,돈벌이,2016-10-26,Giant Pink,Giant Pink
324bcb9c-06c7-44c7-9301-4d2f07289269,BUB,2016-10-24,Giant Pink,Giant Pink
402c68f3-ee86-4e86-bb9a-b70241bfe95d,In Time,2016-12-07,Giant Pink,Giant Pink
5105afb4-b2c2-4787-88ba-517f7f09e240,E.G.O.,2016-10-24,Giant Pink,Giant Pink
606896b0-9136-40ad-8930-2142913dd494,잉여의 하루,2016-10-26,Giant Pink,Giant Pink
77e57e9d-cd40-402c-8b10-95c85e78be32,미인,2016-10-24,Giant Pink,Giant Pink
93229edf-5647-4aab-9a68-3ff924396c8d,Burn Out,2020-07-15,Giant Pink,Giant Pink
943df81d-73a6-4c15-b584-af32662b4d9d,너를 사랑하진 않아,2018-03-19,Giant Pink,Giant Pink
97bd8b47-e4a3-410e-aa4b-31425d09745e,Happy Life (즐거운 생헐) - Instrumental,2019-12-21,Giant Pink,Giant Pink
c60ce511-7ce5-46f1-8764-da951aae6d7e,Happy Life (즐거운 생헐),2019-12-21,Giant Pink,Giant Pink
d6c6f2d8-aae1-4919-bcc8-fcdd8f312cdc,날 울리지마,2017-01-16,Giant Pink,Giant Pink
d8385b78-e875-43a6-9931-bcbdaf6866c3,잘 지내,2018-03-19,Giant Pink,Giant Pink
dcf1f30d-8286-4263-9e87-618ad21509c6,Tuesdays is better than Mondays,2019-05-29,Giant Pink,Giant Pink
f2824dfe-74b5-434d-9fe1-a5ea2ef7f684,Forever Young,2019-08-06,Giant Pink,Giant Pink
