recording_id,title,release_date,query_artist_name,retrieved_artist_name
01512b1c-a035-417b-bda5-5802e6cd88b9,Ra Pam Pam,2021-10-05,Golden Child,Golden Child
02b03eff-06f6-4e9a-a46b-163a84d30630,Ra Pam Pam,2021-08-02,Golden Child,Golden Child
04a97402-7422-456f-8ae8-1f661128347f,Dear,2023-11-02,Golden Child,Golden Child
05517035-c829-4504-ae03-962e89ffea20,Moment,2020-06-23,Golden Child,Golden Child
06e866ca-d06e-442e-88d8-ec3c3e486cd9,Out The Window,2021-10-05,Golden Child,Golden Child
0ad9eff2-5e9a-4611-a7d5-00dd70611c5a,Genie,2018-10-24,Golden Child,Golden Child
0ce9ed4e-f035-4b20-8133-ae4c25ef7fd4,그러다 봄,2019-11-18,Golden Child,Golden Child
1482cc1b-5d9a-466e-b144-4f7119672b5f,OMG,2020-06-23,Golden Child,Golden Child
17a0907a-f091-4675-a7a7-b0e8cfae1ddb,That Feeling,2021-10-05,Golden Child,Golden Child
1c0abe41-2e8e-44e3-beec-f463a78679f6,놓지 않기로 해 (Jae Hyun & Ji Beom & Bo Min),2019-11-18,Golden Child,Golden Child
1ccdd6c1-2222-4d74-9c68-4665f9bb33b7,Bottom Of The Ocean,2021-08-02,Golden Child,Golden Child
1da021e5-0bd4-4dd5-912a-18d2890fe9f4,Replay,2022-08-08,Golden Child,Golden Child
1e3bf331-3829-4bd4-bdac-c90eac91cc9c,Thank You,2018-07-04,Golden Child,Golden Child
238ec25c-b1f2-4fd2-a2f6-946f62ddb160,I Love U Crazy!,2020-01-29,Golden Child,Golden Child
33f454d8-34d8-4914-9fc6-e81d58724722,느껴져 (Lately),2019-11-18,Golden Child,Golden Child
355a4554-da82-49b3-ae27-d2f5f7074e63,Spell (주문을 걸어),2021-08-02,Golden Child,Golden Child
356d4fae-0c4d-466f-9c6a-b747f2ba4a8e,담다디,2017-08-28,Golden Child,Golden Child
37d94902-0c69-43f3-83c7-4eb84d615d49,3! 6! 5!,2022-08-08,Golden Child,Golden Child
38043924-4d88-42f8-bd15-b558a331dd8e,빵빠레,2021-08-02,Golden Child,Golden Child
39246754-d44c-49aa-9c43-3ea711c84caa,Pump It Up,2020-10-07,Golden Child,Golden Child
3a1c03d7-a63a-4945-aec3-7fec57796ce3,Love Letter,2017-11-28,Golden Child,Golden Child
3bab9471-c496-488c-982e-1c937690926a,너,2018-10-24,Golden Child,Golden Child
3c58c5a6-00da-4c13-a59e-a7dcd14358d0,Miracle,2022-08-08,Golden Child,Golden Child
3c9827b6-5e7a-4c2c-bb6f-752ea4d51cf6,Purpose,2022-08-08,Golden Child,Golden Child
45802540-429f-45fd-b766-b11c8f935cb2,Make Me Love,2020-06-23,Golden Child,Golden Child
4d09f238-a874-4f37-8590-c107bab01f69,Blind Love,2023-11-02,Golden Child,Golden Child
511c5be1-7832-4315-b9f4-61f015b3ee92,Knocking On My Door,2022-08-08,Golden Child,Golden Child
522c6587-88e2-43af-a33e-2a9ca075355b,순천의 하늘 아래에서,2020-12-24,Golden Child,Golden Child
