title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Venus,178000.0,HELLOVENUS,Like a Wave,,,XW,2012-07-04,,HELLOVENUS
Excitement,241000.0,HELLOVENUS,Like a Wave,,,XW,2012-07-04,,HELLOVENUS
오늘 뭐해?,205000.0,HELLOVENUS,HELLOVENUS Live Album 2013,,,KR,2013-08-13,,HELLOVENUS
잠깐만,212000.0,HELLOVENUS,Do You Drink Tea? (차 마실래?),,,XW,2013-05-02,,HELLOVENUS
Venus,179000.0,HELLOVENUS,HELLOVENUS Live Album 2013,,,KR,2013-08-13,,HELLOVENUS
The Initial Contact - 첫번째 교신 (intro),104000.0,HELLOVENUS,HELLOVENUS Live Album 2013,,,KR,2013-08-13,,HELLOVENUS
설레임,241000.0,HELLOVENUS,Venus,,,KR,2012-05-09,,HELLOVENUS
카멜레온,181000.0,HELLOVENUS,I’m Ill,,,XW,2015-07-22,,HELLOVENUS
난 예술이야,203000.0,HELLOVENUS,I’m Ill,,,XW,2015-07-22,,HELLOVENUS
Whatcha Talk About,199000.0,HELLOVENUS,I’m Ill,,,XW,2015-07-22,,HELLOVENUS
위스키 (Whisky),194000.0,HELLOVENUS,Sticky Sticky,,,XW,2014-11-06,,HELLOVENUS
Love Appeal,214000.0,HELLOVENUS,Like a Wave,,,XW,2012-07-04,,HELLOVENUS
멘트 3 (outro),41000.0,HELLOVENUS,HELLOVENUS Live Album 2013,,,KR,2013-08-13,,HELLOVENUS
Runway,221000.0,HELLOVENUS,Runway,,,KR,2016-11-01,,HELLOVENUS
난 예술이야 (club remix),201000.0,HELLOVENUS,I’m Ill,,,XW,2015-07-22,,HELLOVENUS
차 마실래?,211000.0,HELLOVENUS,HELLOVENUS Live Album 2013,,,KR,2013-08-13,,HELLOVENUS
Paradise,210000.0,HELLOVENUS,Paradise,,,KR,2016-07-18,,HELLOVENUS
똑같아,222000.0,HELLOVENUS,오늘 뭐해?,,,KR,2012-12-12,,HELLOVENUS
끈적끈적,206000.0,HELLOVENUS,Sticky Sticky,,,XW,2014-11-06,,HELLOVENUS
설레임,235000.0,HELLOVENUS,HELLOVENUS Live Album 2013,,,KR,2013-08-13,,HELLOVENUS
자꾸만,223000.0,HELLOVENUS,HELLOVENUS Live Album 2013,,,KR,2013-08-13,,HELLOVENUS
오늘 뭐해?,202000.0,HELLOVENUS,오늘 뭐해?,,,KR,2012-12-12,,HELLOVENUS
Hello,142000.0,HELLOVENUS,HELLOVENUS Live Album 2013,,,KR,2013-08-13,,HELLOVENUS
그냥 사랑인 거죠,,HELLOVENUS,앙큼한 돌싱녀 OST,,,KR,2014-04-16,,HELLOVENUS
Hello,139000.0,HELLOVENUS,Like a Wave,,,XW,2012-07-04,,HELLOVENUS
Love Appeal,214000.0,HELLOVENUS,Venus,,,KR,2012-05-09,,HELLOVENUS
Show Window,210000.0,HELLOVENUS,I’m Ill,,,XW,2015-07-22,,HELLOVENUS
차 마실래?,207000.0,HELLOVENUS,Do You Drink Tea? (차 마실래?),,,XW,2013-05-02,,HELLOVENUS
멘트 2,162000.0,HELLOVENUS,HELLOVENUS Live Album 2013,,,KR,2013-08-13,,HELLOVENUS
어디있다 이제와,217000.0,HELLOVENUS,After School Random (Drama Toon) OST Part.2 (방과후 복불복 (드라마툰) OST Part.2),,,XW,2013-09-02,,HELLOVENUS
Winter Fantasy,210000.0,HELLOVENUS,오늘 뭐해?,,,KR,2012-12-12,,HELLOVENUS
어디있다 이제와 (inst.),217000.0,HELLOVENUS,After School Random (Drama Toon) OST Part.2 (방과후 복불복 (드라마툰) OST Part.2),,,XW,2013-09-02,,HELLOVENUS
Venus,178000.0,HELLOVENUS,Venus,,,KR,2012-05-09,,HELLOVENUS
끈적끈적 (inst.),206000.0,HELLOVENUS,Sticky Sticky,,,XW,2014-11-06,,HELLOVENUS
Mysterious,202000.0,HELLOVENUS,Mystery of VENUS,,,KR,2017-01-11,,HELLOVENUS
파도처럼,203000.0,HELLOVENUS,파도처럼,,,KR,2012-07-04,,HELLOVENUS
First Love,226000.0,HELLOVENUS,오늘 뭐해?,,,KR,2012-12-12,,HELLOVENUS
Officially Missing You - 헬로비너스 우리들의 이야기,231000.0,HELLOVENUS,HELLOVENUS Live Album 2013,,,KR,2013-08-13,,HELLOVENUS
Like a Wave,202000.0,HELLOVENUS,Like a Wave,,,XW,2012-07-04,,HELLOVENUS
멘트 1,115000.0,HELLOVENUS,HELLOVENUS Live Album 2013,,,KR,2013-08-13,,HELLOVENUS
Kiss Me,196000.0,HELLOVENUS,Do You Drink Tea? (차 마실래?),,,XW,2013-05-02,,HELLOVENUS
HELLOVENUS,84000.0,HELLOVENUS,Sticky Sticky,,,XW,2014-11-06,,HELLOVENUS
Romantic Love,183000.0,HELLOVENUS,오늘 뭐해?,,,KR,2012-12-12,,HELLOVENUS
빛이 내리면 (Glow),239000.0,HELLOVENUS,Glow (빛이 내리면),,,KR,2016-05-10,,HELLOVENUS
위글위글,203000.0,HELLOVENUS,Wigeul Wigeul,,,XW,2015-01-05,,HELLOVENUS
자꾸만,222000.0,HELLOVENUS,Do You Drink Tea? (차 마실래?),,,XW,2013-05-02,,HELLOVENUS
Hello,139000.0,HELLOVENUS,Venus,,,KR,2012-05-09,,HELLOVENUS
