title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Addiction,159000.0,HeeJin,<K>,,,KR,2023-10-31,,HeeJin
Algorithm,188000.0,HeeJin,<K>,,,KR,2023-10-31,,HeeJin
Decalcomanie,253000.0,"HeeJin, 현진, 설윤, 규진",Decalcomanie,,,XW,2022-09-15,,HeeJin
Honestly,197000.0,HeeJin,Honestly,,,KR,2022-07-13,,HeeJin
I'll Be There,188573.0,"HeeJin, 현진",HeeJin&HyunJin,,,KR,2016-11-17,,HeeJin
My Sunday,183000.0,"HeeJin, 현진",HaSeul&YeoJin,,,KR,2017-01-16,,HeeJin
Nokia,194000.0,HeeJin,<K>,,,KR,2023-10-31,,HeeJin
Not Friends,195000.0,"HeeJin, 김립, 진솔, Yves",MAXIS BY RYAN JHUN PT. 2,,,XW,2021-09-03,,HeeJin
Sad Girls Club,204000.0,HeeJin,<K>,,,KR,2023-10-31,,HeeJin
Santa Tell Me,211000.0,"HeeJin, 지원, 김연희, 지한",Santa Tell Me,,,XW,2020-12-24,,HeeJin
Sweet Crazy Love,,"HeeJin, 하슬, Yves",2022 이달의 소녀 CONCERT［LOOΠΔVERSE : FROM],,,XW,2022-02-12,,HeeJin
The Carol,206000.0,"HeeJin, 현진, 하슬",HaSeul,,,KR,2016-12-15,,HeeJin
Video Game,186000.0,HeeJin,<K>,,,KR,2023-10-31,,HeeJin
ViViD,202000.0,HeeJin,HeeJin,,,KR,2016-10-05,,HeeJin
개화,74000.0,HeeJin,<K>,,,KR,2023-10-31,,HeeJin
