title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
#Twenty,175466.0,ITZY,CRAZY IN LOVE,,,US,2021-09-24,,ITZY
24HRS,127405.0,ITZY,IT’z ME,,,KR,2020-03-09,,ITZY
365,186453.0,ITZY,CHECKMATE,,,KR,2022-07-15,,ITZY
Algorhythm,187000.0,ITZY,Algorhythm,,,,2024-05-15,,ITZY
B[OO]M‐BOXX,194760.0,ITZY,CRAZY IN LOVE,,,US,2021-09-24,,ITZY
Be in Love,200033.0,ITZY,Not Shy,,,KR,2020-08-17,,ITZY
BET ON ME,208000.0,ITZY,BET ON ME,,,,2023-07-03,,ITZY
Blah Blah Blah,186573.0,ITZY,Blah Blah Blah,,,,2022-09-21,,ITZY
BORN TO BE,190000.0,ITZY,BORN TO BE,,,,2023-12-17,,ITZY
Boys Like You,223373.0,ITZY,Boys Like You,,,,2022-10-21,,ITZY
Bratty (나쁜 애),163000.0,ITZY,KILL MY DOUBT,,,,2023-07-31,,ITZY
CAKE,200000.0,ITZY,CAKE,,,KR,2023-07-31,,ITZY
Can't tie me down,185000.0,ITZY,Blah Blah Blah,,,,2022-10-05,,ITZY
CHERRY,190372.0,ITZY,IT’z ICY,,,KR,2019-07-29,,ITZY
Cheshire,182000.0,ITZY,CHESHIRE,,,KR,2022-11-30,,ITZY
Chillin' Chillin',207626.0,ITZY,CRAZY IN LOVE,,,US,2021-09-24,,ITZY
DALLA DALLA,200053.0,ITZY,IT’z ITZY,,,JP,2021-12-22,,ITZY
DOMINO,187320.0,ITZY,CHECKMATE,,,KR,2022-07-15,,ITZY
Don't Give a What,196839.0,ITZY,Not Shy,,,KR,2020-08-17,,ITZY
Dynamite,170000.0,ITZY,BORN TO BE,,,,2024-01-08,,ITZY
Escalator,200253.0,ITZY,BORN TO BE,,,KR,2024-01-08,,ITZY
Freaky,175147.0,ITZY,CHESHIRE,,,,2022-11-30,,ITZY
Free Fall,180253.0,ITZY,CHECKMATE,,,KR,2022-07-15,,ITZY
Gas Me Up,150480.0,ITZY,CRAZY IN LOVE,,,US,2021-09-24,,ITZY
I DON'T WANNA DANCE,189812.0,ITZY,IT’z ME,,,KR,2020-03-09,,ITZY
ICY,191142.0,ITZY,IT’z ICY,,,KR,2019-07-29,,ITZY
iD,206553.0,ITZY,Not Shy,,,KR,2020-08-17,,ITZY
In the morning,173720.0,ITZY,IT’z ITZY,,,JP,2021-12-22,,ITZY
IT'z SUMMER,197898.0,ITZY,IT’z ICY,,,KR,2019-07-29,,ITZY
ITZYメンバーのQ&A,748000.0,ITZY,Voltage,,,JP,2022-04-06,,ITZY
Kill Shot,137000.0,ITZY,KILL MY DOUBT,,,,2023-07-31,,ITZY
LOCO,192493.0,ITZY,CRAZY IN LOVE,,,US,2021-09-24,,ITZY
