title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
3!4!,250000.0,IZ*ONE,Rewind : Blossom,,,XW,2021-03-26,,IZ*ONE
Airplane,183000.0,IZ*ONE,HEART*IZ,,,KR,2019-04-01,,IZ*ONE
AYAYAYA,202000.0,IZ*ONE,BLOOM*IZ,,,KR,2020-02-17,,IZ*ONE
Beware,250000.0,IZ*ONE,Beware,,,,2020-10-07,,IZ*ONE
Buenos Aires,260000.0,IZ*ONE,Buenos Aires,,,JP,2019-06-21,,IZ*ONE
DAYDREAM,203000.0,IZ*ONE,BLOOM*IZ,,,KR,2020-02-17,,IZ*ONE
DREAMLIKE,226000.0,IZ*ONE,BLOOM*IZ,,,KR,2020-02-17,,IZ*ONE
D‐D‐DANCE,205000.0,IZ*ONE,D-D-DANCE,,,XW,2021-01-26,,IZ*ONE
EYES,217000.0,IZ*ONE,BLOOM*IZ,,,KR,2020-02-17,,IZ*ONE
FIESTA,217000.0,IZ*ONE,BLOOM*IZ,,,KR,2020-02-17,,IZ*ONE
Highlight,208000.0,IZ*ONE,HEART*IZ,,,KR,2019-04-01,,IZ*ONE
Human Love,237000.0,IZ*ONE,Buenos Aires,,,JP,2019-06-21,,IZ*ONE
Island,193000.0,IZ*ONE,One-reeler / Act IV,,,KR,2020-12-07,,IZ*ONE
La Vie en Rose,221000.0,IZ*ONE,Twelve,,,JP,2020-10-21,,IZ*ONE
Love Bubble,197000.0,IZ*ONE,Vampire,,,JP,2019-09-25,,IZ*ONE
Merry-Go-Round,180000.0,IZ*ONE,Oneiric Diary,,,XW,2020-06-15,,IZ*ONE
Mise-en-Scène,199000.0,IZ*ONE,One-reeler / Act IV,,,KR,2020-12-07,,IZ*ONE
O Sole Mio,210000.0,IZ*ONE,One-reeler / Act IV,,,KR,2020-12-07,,IZ*ONE
O' My!,203000.0,IZ*ONE,COLOR*IZ,,,KR,2018-10-29,,IZ*ONE
Panorama,222000.0,IZ*ONE,One-reeler / Act IV,,,KR,2020-12-07,,IZ*ONE
PINK BLUSHER,194000.0,IZ*ONE,BLOOM*IZ,,,KR,2020-02-17,,IZ*ONE
Pretty,199000.0,IZ*ONE,Oneiric Diary,,,XW,2020-06-15,,IZ*ONE
Really Like You,190000.0,IZ*ONE,HEART*IZ,,,KR,2019-04-01,,IZ*ONE
Rococo,193000.0,IZ*ONE,Oneiric Diary,,,XW,2020-06-15,,IZ*ONE
Sequence,190000.0,IZ*ONE,One-reeler / Act IV,,,KR,2020-12-07,,IZ*ONE
Shy boy,263000.0,IZ*ONE,Twelve,,,JP,2020-10-21,,IZ*ONE
SO CURIOUS,202000.0,IZ*ONE,BLOOM*IZ,,,KR,2020-02-17,,IZ*ONE
SPACESHIP,171000.0,IZ*ONE,BLOOM*IZ,,,KR,2020-02-17,,IZ*ONE
Target,221000.0,IZ*ONE,Buenos Aires,,,JP,2019-06-21,,IZ*ONE
Tomorrow,185000.0,IZ*ONE,Buenos Aires,,,JP,2019-06-21,,IZ*ONE
Vampire,228000.0,IZ*ONE,Vampire,,,JP,2019-09-13,,IZ*ONE
Violeta,202000.0,IZ*ONE,Twelve,,,JP,2020-10-21,,IZ*ONE
Waiting,252000.0,IZ*ONE,Twelve,,,JP,2020-10-21,,IZ*ONE
Welcome,85000.0,IZ*ONE,Oneiric Diary,,,XW,2020-06-15,,IZ*ONE
With*One,219000.0,IZ*ONE,Oneiric Diary,,,XW,2020-06-15,,IZ*ONE
YOU & I,204000.0,IZ*ONE,BLOOM*IZ,,,KR,2020-02-17,,IZ*ONE
Yummy Summer,206000.0,IZ*ONE,Twelve,,,JP,2020-10-21,,IZ*ONE
ご機嫌サヨナラ,263000.0,IZ*ONE,好きと言わせたい,,,JP,2019-02-05,,IZ*ONE
どうすればいい?,174000.0,IZ*ONE,Twelve,,,JP,2020-10-21,,IZ*ONE
ケンチャナヨ,256000.0,IZ*ONE,好きと言わせたい,,,JP,2019-02-05,,IZ*ONE
ダンスを思い出すまで,273000.0,IZ*ONE,好きと言わせたい,,,JP,2019-02-05,,IZ*ONE
不機嫌Lucy,213000.0,IZ*ONE,Vampire,,,JP,2019-09-25,,IZ*ONE
君以外,212000.0,IZ*ONE,Vampire,,,JP,2019-09-25,,IZ*ONE
好きと言わせたい,239000.0,IZ*ONE,好きと言わせたい,,,JP,2019-02-05,,IZ*ONE
年下Boyfriend,233000.0,IZ*ONE,Buenos Aires,,,JP,2019-06-21,,IZ*ONE
特典映像「私たちの時間」前編,,IZ*ONE,Vampire,,,JP,2019-09-25,,IZ*ONE
特典映像「私たちの時間」後編,,IZ*ONE,Vampire,,,JP,2019-09-25,,IZ*ONE
