title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Afternoon Tea,148000,KARD,신혼일기 2 OST,,,KR,2017-09-19,,KARD
Been That Boy,187213,KARD,ICKY,,,KR,2023-05-23,,KARD
Break Down,175000,KARD,Re:,,,KR,2022-06-22,,KARD
CAKE,193813,KARD,ICKY,,,KR,2023-05-23,,KARD
Don't Recall,209000,KARD,Don’t Recall,,,XW,2017-02-15,,KARD
Dumb Litty,199000,KARD,Dumb Litty,,,XW,2019-09-22,,KARD
Dímelo,201000,KARD,Ride on the Wind,,,US,2018-07-25,,KARD
ENEMY,175000,KARD,RED MOON,,,KR,2020-02-12,,KARD
Fireworks,191160,KARD,Fireworks,,,XW,2023-11-14,,KARD
Fxxk you,151427,KARD,ICKY,,,KR,2023-05-23,,KARD
GO BABY,195000,KARD,RED MOON,,,KR,2020-02-12,,KARD
Good Love,198000,KARD,Re:,,,KR,2022-06-22,,KARD
GUNSHOT,181000,KARD,Way With Words,,,KR,2020-08-26,,KARD
Hola Hola,211000,KARD,Hola Hola,,,XW,2017-07-19,,KARD
HOLD ON,201000,KARD,Way With Words,,,KR,2020-08-26,,KARD
i-Diary,119000,KARD,신혼일기 2 OST,,,KR,2017-09-19,,KARD
ICKY,179240,KARD,ICKY,,,KR,2023-05-23,,KARD
INFERNO,132000,KARD,RED MOON,,,KR,2020-02-12,,KARD
INTO YOU,212000,KARD,You & Me,,,US,2017-11-21,,KARD
INTRO : Humming,72000,KARD,Ride on the Wind,,,US,2018-07-25,,KARD
Knockin' on my heaven's door,230000,KARD,Ride on the Wind,,,US,2018-07-25,,KARD
Living Good (Special thanks to.),215000,KARD,Hola Hola,,,KR,2017-07-19,,KARD
Meal Meal,143000,KARD,신혼일기 2 OST,,,KR,2017-09-19,,KARD
Moonlight,212000,KARD,신혼일기 2 OST,,,KR,2017-09-19,,KARD
Oh NaNa,212000,KARD,Oh NaNa,,,XW,2016-12-13,,KARD
Push & Pull,197000,KARD,You & Me,,,US,2017-11-21,,KARD
RED MOON,179000,KARD,RED MOON,,,XW,2020-02-12,,KARD
Ride on the wind,195000,KARD,Ride on the wind,,,XW,2018-07-24,,KARD
Ring the Alarm,224000,KARD,Ring the Alarm,,,XW,2022-06-22,,KARD
RUMOR,217000,KARD,RUMOR,,,KR,2017-04-24,,KARD
Santa Tell Me,220000,KARD,Santa Tell Me,,,XW,2019-12-24,,KARD
Shut Down,210000,KARD,Shut Down,,,XW,2023-10-06,,KARD
Trust Me,149000,KARD,YOU & ME,,,KR,2017-11-21,,KARD
Whip!,168000,KARD,Re:,,,KR,2022-06-22,,KARD
Without You,210053,KARD,Without You,,,XW,2023-04-10,,KARD
You in Me,215000,KARD,You in Me,,,XW,2017-11-20,,KARD
ㅏㅣㅑ (AH EE YAH),200813,KARD,Way With Words,,,KR,2020-08-26,,KARD
난 멈추지 않는다,229000,KARD,Hola Hola,,,KR,2017-07-19,,KARD
밤밤 (Bomb Bomb),163000,KARD,Bomb Bomb,,,US,2019-03-07,,KARD
이제 우리,213000,KARD,신혼일기 2 OST,,,KR,2017-09-19,,KARD
지니까,222000,KARD,You & Me,,,US,2017-11-21,,KARD
