title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
My 808,159000,KISS OF LIFE,Born to be XX,,,,2023-11-08,,KISS OF LIFE
Midas Touch,162880,KISS OF LIFE,Midas Touch,,,XW,2024-04-03,,KISS OF LIFE
Countdown (BELLE Solo),171000,KISS OF LIFE,KISS OF LIFE,,,KR,2023-07-05,,KISS OF LIFE
Play Love Games (HANEUL Solo),180000,KISS OF LIFE,KISS OF LIFE,,,KR,2023-07-05,,KISS OF LIFE
Sugarcoat (NATTY Solo),179000,KISS OF LIFE,KISS OF LIFE,,,KR,2023-07-05,,KISS OF LIFE
TTG,209000,KISS OF LIFE,Born to be XX,,,,2023-11-08,,KISS OF LIFE
"안녕,네버랜드",203000,KISS OF LIFE,KISS OF LIFE,,,KR,2023-07-05,,KISS OF LIFE
Gentleman,178000,KISS OF LIFE,Born to be XX,,,,2023-11-08,,KISS OF LIFE
Nobody Knows,196000,KISS OF LIFE,Born to be XX,,,,2023-11-08,,KISS OF LIFE
Bad News,160000,KISS OF LIFE,Born to be XX,,,,2023-11-08,,KISS OF LIFE
Says It,211000,KISS OF LIFE,Born to be XX,,,,2023-11-08,,KISS OF LIFE
Sixth Sense,191082,KISS OF LIFE,Songstealer - Sixth Sense,,,XW,2024-05-25,,KISS OF LIFE
Bang Bang,170000,KISS OF LIFE,Bang Bang,,,XW,2023-08-29,,KISS OF LIFE
Bad News,160000,KISS OF LIFE,Born to be XX,,,,2023-11-08,,KISS OF LIFE
Kitty Cat (JULIE Solo),170000,KISS OF LIFE,KISS OF LIFE,,,KR,2023-07-05,,KISS OF LIFE
쉿 (Shhh),182000,KISS OF LIFE,KISS OF LIFE,,,KR,2023-07-05,,KISS OF LIFE
Nothing,211506,KISS OF LIFE,Midas Touch,,,XW,2024-04-03,,KISS OF LIFE
