recording_id,title,release_date,query_artist_name,retrieved_artist_name
001847b4-3b85-4be7-94f2-8c4ec9b8a883,Reminder D,2010-02-26,Ken,Ken
03d5fcaa-3a0c-4534-baeb-d86ffc653e35,Dead as a Dodo (Dead of a Dodo remix),2010-02-26,Ken,Ken
0ba5614b-4c8a-41a5-9eb4-3acac91a2089,Pirates vs. Ninjas vs. Zombies vs. Robots,2010-02-26,Ken,Ken
0ddc8e49-ed0c-4715-9589-11961e5165e2,Quitting Smoking Is Much Easier Than Quitting Talking,2010-02-26,Ken,Ken
13021023-fe54-44f2-a7af-ecc3b52a755e,Women Who Love Men Who Take Drugs to Make Music to Take Drugs To,2010-02-26,Ken,Ken
1649e7a1-9380-469d-bdfd-2c52a39e6fb4,Quitting Smoking Is Much Easier Than Quitting Talking (UIP version),2010-02-26,Ken,Ken
16f59b8c-7e40-478f-92d4-15017e77d815,I’ll Sleep When You’re Dead (Cotardsyndrome version),2010-02-26,Ken,Ken
18cbcf42-cc73-4a6d-b26c-6a48b76cf8f6,21-21=21,2010-02-26,Ken,Ken
1ab43125-59e7-46d4-8c1e-f75572506cd6,Paniciss,2005-05,Ken,Ken
2043e1ce-f3e3-44ba-8e6a-8b03bb521284,Brothers in Arms,2010-02-26,Ken,Ken
20847865-9574-4286-aef9-b01b1a8bfe98,Artificial Movement,2002-06-24,Ken,Ken
213156bb-40d3-4eb8-a6e9-06b361a4e97a,Wir müssen hier raus!,2020-11-20,Ken,Ken
261f821c-99b5-4257-961a-a4d4abbbdca3,Voltage Point,2002-06-24,Ken,Ken
2b167ace-4218-4c06-b968-7618956a988c,Get a Life (In Case of Murder remix),2010-02-26,Ken,Ken
2b85d9ce-ea23-4271-a1ce-08c1f30a41d0,Whirlpool of Terror,2002-06-24,Ken,Ken
2c7bd27f-fd03-47f1-b5f5-1c52042c68de,Digital Prestige,2005-10-28,Ken,Ken
2c815e6d-e29c-40d8-b1e9-43a7fee75c99,View From a Bridge,2005-05-02,Ken,Ken
2fdb85b4-bf51-4d3e-a646-16c6b58afa24,Y.K.I.W.G.T.T.End.O.T.W.W.Y. (T.S.A.S.I.Y.E. rework),2010-02-26,Ken,Ken
300b2b0d-e9fc-4b86-9e0e-1c43aef284fe,Throwing Star,2002-06-24,Ken,Ken
30a7e1ad-bb15-4683-a065-57e44ee723c5,Digging in the Dirt,2005-05-02,Ken,Ken
35f5fc68-5d51-4ce0-91c1-051d6af0b56c,Dead as a Dodo,2010-02-26,Ken,Ken
385af3e9-a7b2-47e9-b073-383bd5e39780,Reminder D (Poposkop remix),2010-02-26,Ken,Ken
399d05a7-c7c9-429e-90a1-ac888aa158a4,The Art of Dying,2005-10-28,Ken,Ken
3b5f393b-791c-4ce5-88a8-1870fd27b095,Afro Blue,2005-05-02,Ken,Ken
3bb44628-24e9-44f0-b751-1c31b48932de,Whirlpool of Terror,2002,Ken,Ken
40867354-80fd-44cb-8a78-3c5fbe967b4d,21-21=21 (22+22=48 remix),2010-02-26,Ken,Ken
41cf94fa-5b8d-4496-a93f-72578e566090,Boris the Spider,2005-05-02,Ken,Ken
431bef9a-c0c1-4cc8-824c-beae48ccac70,Wake City,2010-02-26,Ken,Ken
4ae57784-1fc1-4fad-8553-f5e581517827,I Am Thief,2005-05-02,Ken,Ken
4b9f545b-81bc-4a6d-ae33-83de3462a23f,On(n),2002-06-24,Ken,Ken
508b9cff-ea2e-4fb3-a93e-04cc981abe81,How to Delay the Spread of Fire,2002-06-24,Ken,Ken
52f98fef-2d39-413b-a9b7-bf939fa33250,Open Fire,2005-05-02,Ken,Ken
53e6cca9-ceab-4a99-bc71-f5aa6b98ca0e,Feelia,2005-05-02,Ken,Ken
5a7283f1-d1a4-4520-b5d5-e72a3b3c6965,Lend Me Your Leg,2005-05-02,Ken,Ken
60e212c8-28bc-419b-8e57-827aa76e3620,Dead as a Dodo,2010-02-26,Ken,Ken
60f0162a-3a68-49be-bde4-8e9092be110b,I’ll Sleep When You’re Dead,2010-02-26,Ken,Ken
64d17d90-4ba7-47f8-b45f-136da1308034,Hiss Panic,2005-05-02,Ken,Ken
65596a1e-810d-4828-89e6-47b489d2a4d7,Stronger,2005-05-02,Ken,Ken
68130893-d500-467a-b793-5e741a864507,Tilt,2002-06-24,Ken,Ken
68f46674-2c76-4724-aed4-02be97b5cecb,Quitting Smoking Is Much Easier Than Quitting Talking,2010-02-26,Ken,Ken
701e5e06-bc74-4ac1-8442-ef94a860e250,AFGA,2002,Ken,Ken
70757f63-efc0-4d8c-a380-f1e76cde6424,Paniciss,2005-05-02,Ken,Ken
784f785c-2545-4845-a678-94a3f4214aef,Black Phantom,2005-05-02,Ken,Ken
7b992ca8-9ade-4573-adfb-47ec0c2d8997,Thief,2005-05-02,Ken,Ken
7e2d9576-cc85-450d-8e31-57f3fff0206c,Wir müssen hier raus,2005-05-02,Ken,Ken
8160179e-579e-45b5-bd85-65b9f77f1494,If,2005-05-02,Ken,Ken
85e3ebc6-5656-4f47-9218-b4748d609508,The Art od Dying,2002,Ken,Ken
86e4d33d-64bd-4254-9b65-147239b1cfec,Women Who Love Men Who Take Drugs to Make Music to Take Drugs To (Requiem for a remix),2010-02-26,Ken,Ken
89cc5cbc-a0b6-46f0-a83b-c9e6afff4b88,Wake City,2005-05-02,Ken,Ken
903f8edf-5a8f-4d57-a58f-db6c6af868ca,Women Who Love Men Who Take Drugs to Make Music to Take Drugs To,2010-02-26,Ken,Ken
93a0e9c2-e924-41b1-adb8-0aed3d6bc62b,I Ran,2005-05-02,Ken,Ken
955d0cdb-c6d7-4600-aef3-7f45c3f198f4,Pirates vs. Ninjas vs. Zombies vs. Robots (Some Pop remix),2010-02-26,Ken,Ken
95a54ef4-c54e-46a0-8ddb-795c3ac9f6df,21-21=21,2010-02-26,Ken,Ken
9ff11606-bb24-4e09-88fb-6c350d1c598a,Swell,2002-06-24,Ken,Ken
a112c362-3f7f-4a79-a07d-921893dd8795,Ashes,2005-05-02,Ken,Ken
a6868854-d723-44bf-9b65-8e41139f683b,I Ran,2005-06-10,Ken,Ken
aebf5c79-c22d-485a-a58d-4e9610d29c44,I Shall Be Removed,2005-05-02,Ken,Ken
b06d0181-0fda-4ac4-a76b-322bf5961baa,The Dragon With the Bleeding Nose,2005-05-02,Ken,Ken
b357ef0b-a3b4-44c2-ba14-686b288c728b,Get a Life,2010-02-26,Ken,Ken
ba373e50-e10b-4b7f-9647-be60e37fb31b,Only Shallow,2005-05-02,Ken,Ken
bc6f869a-880e-482a-a8e2-81fba2585c7c,Polecats,2010-02-26,Ken,Ken
c43dfb85-8085-437f-b865-6f61e4d3e96e,Babycrutch,2005-05-02,Ken,Ken
c4970a1e-f695-449f-bedf-3b08a603a786,I'm Broken,2005-05-02,Ken,Ken
c7394fda-7209-402c-aca1-c0e833b5081f,Eye (Eye),2002-06-24,Ken,Ken
c795c771-760d-41fb-8747-2b94febd605d,1/2 bb,2002-06-24,Ken,Ken
c846d1dc-6340-4434-8b35-20d633da0f4a,Digital Prestigue,2002,Ken,Ken
cd40662d-09f0-4d3b-b5fe-c4e64860f3e3,Eye (Eye),2002-07,Ken,Ken
cdac9ac3-807f-4536-ae04-4974e220c47e,Reminder D,2010-02-26,Ken,Ken
ceb1afa8-4ae0-4822-95d0-06cf30869d3d,If,2006,Ken,Ken
d26ebdb2-2c99-498d-bf27-d9af9bb7eecf,The big Fib,2002,Ken,Ken
da2a358a-6b06-4a2c-a6fb-51b1329a7377,I’ll Sleep When You're Dead,2010-02-26,Ken,Ken
dad025ed-bcf5-4611-9502-a7275c38eff3,Taklamakan,2010-02-26,Ken,Ken
dadc69c0-ca76-4880-a5b5-fda741ddc58d,Your Ghost,2005-05-02,Ken,Ken
e9421a2a-e89a-4d10-94c0-21612c082145,Hate Is Just a 4 Letter Word,2010-02-26,Ken,Ken
ea62f70e-e728-4bfb-a17a-2ede75ad7e2b,Get a Life,2010-02-26,Ken,Ken
ebc5b14c-5438-4bf1-9426-33676d305782,Y.K.I.W.G.T.T.End.O.T.W.W.Y.,2010-02-26,Ken,Ken
ed4aba37-35c6-4f4a-888c-075164c5cc17,The Big Fib,2002-06-24,Ken,Ken
f1364f65-456e-4ae1-b581-8621663f6ce2,I Shall Be Moved,2005-05-02,Ken,Ken
f494d40c-5ecc-459d-8117-923ba167d181,Y.K.I.W.G.T.T. End.O.T.W.W.Y.,2010-02-26,Ken,Ken
f70a07bd-c0d4-4ba8-96c5-cabf4ad14c0b,Polecats (10:15 remix),2010-02-26,Ken,Ken
fc5d11e1-82c7-418b-b12e-d1e7f7f54298,Husk,2002-06-24,Ken,Ken
fd6329f3-7a5b-437f-a3be-4652b126ce93,Polecats,2010-02-26,Ken,Ken
fdc632ea-174e-4406-b032-152eba7b767c,Tilt,2002,Ken,Ken
fefbe708-1b34-4688-b10a-ce32458250c8,Pirates Vs. Ninjas Vs. Zombies Vs. Robots,2010-02-26,Ken,Ken
