title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
ANTIFRAGILE,184444.0,LE SSERAFIM,ANTIFRAGILE,,,,2022-10-17,,LE SSERAFIM
Blue Flame,202000.0,LE SSERAFIM,FEARLESS,,,KR,2022-05-02,,LE SSERAFIM
Burn the Bridge,154653.0,LE SSERAFIM,UNFORGIVEN,,,KR,2023-05-01,,LE SSERAFIM
Choices,201000.0,LE SSERAFIM,Choices,,,,2023-01-08,,LE SSERAFIM
EASY,164545.0,LE SSERAFIM,EASY,,,KR,2024-02-19,,LE SSERAFIM
FEARLESS,168000.0,LE SSERAFIM,FEARLESS,,,KR,2022-05-02,,LE SSERAFIM
Fire in the belly,198280.0,LE SSERAFIM,UNFORGIVEN,,,KR,2023-05-01,,LE SSERAFIM
Flash Forward,195520.0,LE SSERAFIM,UNFORGIVEN,,,KR,2023-05-01,,LE SSERAFIM
Good Bones,160000.0,LE SSERAFIM,EASY,,,,2024-02-19,,LE SSERAFIM
Good Parts (when the quality is bad but I am),156355.0,LE SSERAFIM,ANTIFRAGILE,,,,2022-10-17,,LE SSERAFIM
Guardian,159000.0,LE SSERAFIM,BASTIONS OST Part.4,,,XW,2023-06-09,,LE SSERAFIM
Impurities,196000.0,LE SSERAFIM,ANTIFRAGILE,,,KR,2022-10-17,,LE SSERAFIM
No Celestial,166000.0,LE SSERAFIM,ANTIFRAGILE,,,KR,2022-10-17,,LE SSERAFIM
No‐Return (Into the unknown),184826.0,LE SSERAFIM,UNFORGIVEN,,,KR,2023-05-01,,LE SSERAFIM
Perfect Night,182000.0,LE SSERAFIM,Perfect Night,,,,2023-10-27,,LE SSERAFIM
Smart,166384.0,LE SSERAFIM,EASY,,,KR,2024-02-19,,LE SSERAFIM
Sour Grapes,197000.0,LE SSERAFIM,FEARLESS,,,KR,2022-05-02,,LE SSERAFIM
Swan Song,157000.0,LE SSERAFIM,EASY,,,,2024-02-19,,LE SSERAFIM
The Great Mermaid,178000.0,LE SSERAFIM,FEARLESS,,,KR,2022-05-02,,LE SSERAFIM
The Hydra,104000.0,LE SSERAFIM,ANTIFRAGILE,,,KR,2022-10-17,,LE SSERAFIM
The World Is My Oyster,107000.0,LE SSERAFIM,FEARLESS,,,KR,2022-05-02,,LE SSERAFIM
UNFORGIVEN,182146.0,"LE SSERAFIM, Nile Rodgers",UNFORGIVEN,,,KR,2023-05-01,,LE SSERAFIM
We got so much,166000.0,LE SSERAFIM,EASY,,,,2024-02-19,,LE SSERAFIM
ジュエリー,163813.0,LE SSERAFIM,Jewelry,,,KR,2023-07-25,,LE SSERAFIM
ドレスコード,216347.0,LE SSERAFIM,Dresscode,,,KR,2023-11-20,,LE SSERAFIM
"이브, 프시케 그리고 _",185652.0,LE SSERAFIM,"이브, 프시케 그리고 _",,,XW,2023-06-22,,LE SSERAFIM
"이브, 프시케 그리고 푸른 수염의 아내",185533.0,LE SSERAFIM,UNFORGIVEN,,,KR,2023-05-01,,LE SSERAFIM
"피어나 (Between you, me and the lamppost)",206826.0,LE SSERAFIM,UNFORGIVEN,,,KR,2023-05-01,,LE SSERAFIM
