recording_id,title,release_date,query_artist_name,retrieved_artist_name
0140f9e8-e5ef-46ee-98fc-acff9bf8e2b6,Short Film of MISAMO in KANSAI,2023-07-26,MISAMO,MISAMO
062c56ad-c453-48a4-96e6-215395776e38,Behind the Curtain,2023-07-26,MISAMO,MISAMO
0bf058b0-2b8a-475a-be40-9d71044d86e8,Behind the Curtain,2023-12-20,MISAMO,MISAMO
0da1f29c-4b31-4c99-b993-40687eec9c67,Bouquet,2023-12-20,MISAMO,MISAMO
1189b8e2-e21d-41c8-957c-036488b116a9,「Bouquet」Making Music Video (full ver.),2023-07-26,MISAMO,MISAMO
13cd23a9-c55b-4f2d-af7b-804b387f7eb2,「Bouquet」Making Music Video Behind Movie,2023-07-26,MISAMO,MISAMO
15facb94-adb8-48b1-997c-6916754361f4,Marshmallow,2023-12-20,MISAMO,MISAMO
19b6ef30-6fff-4975-a3b3-8cbfc4a05ab3,Rewind you,2023-12-20,MISAMO,MISAMO
19eac113-c0b4-4127-9572-58ca7f7fed6b,It’s not easy for you,2023-07-26,MISAMO,MISAMO
2799cc36-9951-4a32-ba09-e5fe0de9e960,Rewind you,2023-07-26,MISAMO,MISAMO
318391a5-01a5-42e9-bb7c-d741d0c17970,MOMO作詞曲「Funny Valentine」Q&A,2023-07-26,MISAMO,MISAMO
3c06f8f2-da44-40c0-96f8-76aa0ea25d48,Jacket Shooting Making Movie by SANA,2023-07-26,MISAMO,MISAMO
3c44bfe0-2b8f-4f7b-a178-acf558a3ed1c,Marshmallow,2023-06-16,MISAMO,MISAMO
4ff01ab0-9a2b-43fe-b092-345af1eeddc6,Opening Trailer Making Movie,2023-07-26,MISAMO,MISAMO
58f514da-8978-4115-b8cc-0e0274558fbb,It’s not easy for you,2023-12-20,MISAMO,MISAMO
5aabd1fb-76fc-4515-971a-4a50f6e64a15,Do not touch,2023-07-14,MISAMO,MISAMO
64ee9ab2-e60b-4523-b806-e3c02c602bfe,Rewind you,2023-07-26,MISAMO,MISAMO
65528b51-91f5-4cc4-881a-2ede796dfeb2,Jacket Shooting Making Movie by MOMO,2023-07-26,MISAMO,MISAMO
75fac6ae-0ae3-43c7-84da-3f1334746572,Funny Valentine,2023-07-26,MISAMO,MISAMO
764a4641-2d74-436e-8105-a14b3047c32f,Bouquet,2023-02-09,MISAMO,MISAMO
76b89c0a-eea9-4ac6-8957-0ee2813840e6,It’s not easy for you,2023-07-26,MISAMO,MISAMO
835690ed-ab3c-47ce-b2e0-71cf6a9ddba9,Funny Valentine,2023-07-26,MISAMO,MISAMO
8b1ca900-fdad-4d3a-a379-839cd5f047a3,Marshmallow,2023-06-30,MISAMO,MISAMO
8b885a1b-da0d-4656-8f43-01d603cd150c,Do not touch,2023-07-14,MISAMO,MISAMO
9146240c-b2a7-4f66-8a53-1f6274a70616,Documentary of MISAMO JAPAN SHOWCASE “Masterpiece”,2023-12-20,MISAMO,MISAMO
9ed59ae3-7a2b-4d62-9680-bc7b69ef801d,Do not touch,2023-12-20,MISAMO,MISAMO
a93fac27-2f5c-4baf-b8f3-76bbb5ac51b1,Jacket Shooting Making Movie by MINA,2023-07-26,MISAMO,MISAMO
a954d940-3fe5-4553-8c89-8e1fc4c1b9e5,MINA作詞曲「It’s not easy for you」Q&A,2023-07-26,MISAMO,MISAMO
ac28baf3-118e-469c-a907-62c1a2607e86,Do not touch,2023-08-18,MISAMO,MISAMO
adff678c-9e1f-404a-94e8-7cc0a8e5c3e4,Short Film of MISAMO in KANSAI -MINA-,2023-07-26,MISAMO,MISAMO
bbfdb453-ef3c-4c64-8e12-ad677533a9df,Marshmallow,2023-06-16,MISAMO,MISAMO
c59fa592-c21e-4783-b46c-51c197886fe5,Bouquet,2023-01-25,MISAMO,MISAMO
ca9c5da4-6c51-4461-84d8-ea9bc4cae9bb,Medley (Do not touch～Behind the Curtain～Rewind you～Funny Valentine～Marshmallow～It’s not easy for you～Bouquet),2023-12-20,MISAMO,MISAMO
d0e2ba0a-5ef0-4ac8-9834-b391cef38b59,Short Film of MISAMO in KANSAI -MOMO-,2023-07-26,MISAMO,MISAMO
da394ec6-fb09-465e-9ed5-c6572be0900e,『Masterpiece』Jacket Shooting Making Movie,2023-07-26,MISAMO,MISAMO
e4c6efaa-a4fe-4f8e-86b9-3fdbcfc5381d,SANA作詞曲「Rewind you」Q&A,2023-07-26,MISAMO,MISAMO
eaee26d6-a032-4288-b581-43e45ef09ac8,Short Film of MISAMO in KANSAI -SANA-,2023-07-26,MISAMO,MISAMO
f64aeab5-ca4e-4f28-970e-5228e2ae2678,Behind the Curtain,2023-07-26,MISAMO,MISAMO
ff377d09-1b8d-4b44-952a-950524248b99,Opening Movie,2023-12-20,MISAMO,MISAMO
ff791292-99da-4e03-8662-09665e194387,Funny Valentine,2023-12-20,MISAMO,MISAMO
