title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Access to You,278000.0,NU'EST,Bridge the World,,,KR,2015-11-18,,NU'EST
Action,194000.0,NU'EST,Action,,,KR,2012-07-13,,NU'EST
Ame Nochi Eien (雨のち永遠),271000.0,NU'EST,Bridge the World,,,KR,2015-11-18,,NU'EST
Back To Me (평행우주),208000.0,NU'EST,The Nocturne,,,KR,2020-05-11,,NU'EST
BASS,190000.0,NU'EST,Happily Ever After,,,KR,2019-04-29,,NU'EST
Beautiful Ghost,248000.0,NU'EST,잠꼬대,,,KR,2013-08-22,,NU'EST
Beautiful Solo,187000.0,NU'EST,여보세요,,,KR,2013-02-08,,NU'EST
Best Summer,214000.0,"NU'EST, SPOONZ",Best Summer,,,KR,2020-06-02,,NU'EST
BET BET,200000.0,NU'EST,Happily Ever After,,,KR,2019-04-29,,NU'EST
Big Deal,217000.0,NU'EST,Re:BIRTH,,,KR,2014-07-09,,NU'EST
Black,195000.0,NU'EST,Romanticize,,,XW,2021-04-19,,NU'EST
Bridge the World,313000.0,NU'EST,Bridge the World,,,KR,2015-11-18,,NU'EST
Call me back,190000.0,NU'EST,The Table,,,KR,2019-10-21,,NU'EST
Cherry,229000.0,NU'EST,Bridge the World,,,KR,2015-11-18,,NU'EST
CLIMAX,192000.0,NU'EST,Re:BIRTH,,,KR,2014-07-09,,NU'EST
Darkness,,NU'EST,NA.NA.NA.涙,,,JP,2015-05-20,,NU'EST
Daybreak,221000.0,NU'EST,Canvas,,,KR,2016-08-29,,NU'EST
Different,188000.0,NU'EST,Happily Ever After,,,KR,2019-04-29,,NU'EST
Don't Wanna Go,180000.0,NU'EST,Romanticize,,,XW,2021-04-19,,NU'EST
Don't wear revealing clothes,,NU'EST,NA.NA.NA.涙,,,JP,2015-05-20,,NU'EST
Dress,193000.0,NU'EST,Romanticize,,,XW,2021-04-19,,NU'EST
Drive,217000.0,NU'EST,Romanticize,,,XW,2021-04-19,,NU'EST
FACE,220000.0,NU'EST,FACE,,,KR,2012-03-15,,NU'EST
Fine,211000.0,NU'EST,Happily Ever After,,,KR,2019-04-29,,NU'EST
Firework,207000.0,NU'EST,The Nocturne,,,KR,2020-05-11,,NU'EST
Flying Angel,244000.0,NU'EST,Shalala Ring,,,JP,2014-11-05,,NU'EST
GALAXY,192000.0,NU'EST,Needle & Bubble,,,KR,2022-03-15,,NU'EST
Good Bye Bye,207000.0,NU'EST,Re:BIRTH,,,KR,2014-07-09,,NU'EST
Hello Hello,200000.0,NU'EST,여보세요,,,KR,2013-02-08,,NU'EST
"Hey, Love",229000.0,NU'EST,Re:BIRTH,,,KR,2014-07-09,,NU'EST
