title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
#,73000,S#arp,The S#arp,,,KR,1998-11-05,,S#arp
All For You,218000,S#arp,Flat [♭],,,KR,2001-11-05,,S#arp
And More,229000,S#arp,4ever Feel So Good,,,KR,2001-02-20,,S#arp
Blue Day,246786,S#arp,The S#arp+2,,,KR,1999-09-28,,S#arp
Bye Bye,203000,S#arp,Flat [♭],,,KR,2001-11-05,,S#arp
Christmas Eve (John's Talk),30000,S#arp,The S#arp,,,KR,1998-11-05,,S#arp
Christmas Story,190000,S#arp,The S#arp,,,KR,1998-11-05,,S#arp
Coffee Love,219000,S#arp,StYlE,,,KR,2002-09-06,,S#arp
Dancing Queen,225600,S#arp,The Four Letter Word Love,,,KR,2000-08-11,,S#arp
Easy Come Easy Go,205000,S#arp,4ever Feel So Good,,,KR,2001-02-20,,S#arp
Evolution (outro),70000,S#arp,The S#arp,,,KR,1998-11-05,,S#arp
Evolution…2&3,262000,S#arp,The S#arp,,,KR,1998-11-05,,S#arp
EXIT (비상구),227640,S#arp,The S#arp+2,,,KR,1999-09-28,,S#arp
For You,221733,S#arp,The S#arp+2,,,KR,1999-09-28,,S#arp
Forever With You,182547,S#arp,The S#arp+2,,,KR,1999-09-28,,S#arp
Go to Jamaica,228000,S#arp,The S#arp,,,KR,1998-11-05,,S#arp
Honey.Com,227266,S#arp,The Four Letter Word Love,,,KR,2000-08-11,,S#arp
How?,226266,S#arp,The Four Letter Word Love,,,KR,2000-08-11,,S#arp
Intro,71600,S#arp,The Four Letter Word Love,,,KR,2000-08-11,,S#arp
Kiss Me,260000,S#arp,Flat [♭],,,KR,2001-11-05,,S#arp
Knock,198453,S#arp,Smart & Smooth,,,KR,2003-01-24,,S#arp
Liar,267600,S#arp,The Four Letter Word Love,,,KR,2000-08-11,,S#arp
Lying,244226,S#arp,The S#arp,,,KR,1998-11-05,,S#arp
Magic,224000,S#arp,StYlE,,,KR,2002-09-06,,S#arp
Never,206000,S#arp,Flat [♭],,,KR,2001-11-05,,S#arp
Outro,200106,S#arp,The Four Letter Word Love,,,KR,2000-08-11,,S#arp
Sad Way,232000,S#arp,The S#arp,,,KR,1998-11-05,,S#arp
Sign,205600,S#arp,The Four Letter Word Love,,,KR,2000-08-11,,S#arp
Sunday Kiss Monday Love,196000,S#arp,Flat [♭],,,KR,2001-11-05,,S#arp
Sweety,213000,S#arp,4ever Feel So Good,,,KR,2001-02-20,,S#arp
Tell Me Tell Me,212400,S#arp,소유진의 Fandangoi,,,KR,2001-06-29,,S#arp
"Tell Me, Tell Me",212906,S#arp,The S#arp+2,,,KR,1999-09-28,,S#arp
Unchained Melody,226000,S#arp,The S#arp,,,KR,1998-11-05,,S#arp
Yes,224000,S#arp,The S#arp,,,KR,1998-11-05,,S#arp
You're My Friends,211000,S#arp,4ever Feel So Good,,,KR,2001-02-20,,S#arp
善,277000,S#arp,The S#arp,,,KR,1998-11-05,,S#arp
美,215000,S#arp,The S#arp,,,KR,1998-11-05,,S#arp
가,226266,S#arp,Smart & Smooth,,,KR,2003-01-24,,S#arp
그래도 될까,264400,S#arp,The Four Letter Word Love,,,KR,2000-08-11,,S#arp
그랬죠,231000,S#arp,StYlE,,,KR,2002-09-06,,S#arp
그런거니?,258720,S#arp,Smart & Smooth,,,KR,2003-01-24,,S#arp
나쁜 이별,223000,S#arp,StYlE,,,KR,2002-09-06,,S#arp
나쁜이별,224306,S#arp,Smart & Smooth,,,KR,2003-01-24,,S#arp
내 사랑,221000,S#arp,StYlE,,,KR,2002-09-06,,S#arp
