recording_id,title,release_date,query_artist_name,retrieved_artist_name
0082fafe-af4b-40be-9ef8-46a64a158200,못먹는 감 (Sour Grapes),2015-11-19,San E,San E
073b924a-d601-42af-b0d3-35958c9a5588,두 번째 사람,2016-11-10,San E,San E
09da948b-fd25-4b8e-9ef9-4c0c9b032b7e,모두가 내 발아래,2015-04-15,San E,San E
0b39dbb9-21ee-48ca-b229-2f90117400ef,Sticky,2016-08-27,San E,San E
0b434579-7ab3-4f56-8bbb-f67f44c3762d,달고나,2016-06-17,San E,San E
0c81ea41-1943-42e3-b081-97863a9f657c,Ready-Made (Marcel Duchamp),2017-01-23,San E,San E
0cc0b380-2588-48de-904b-db3c7d514f8e,LoveSick,2010-09-13,San E,San E
0d24c68c-5afe-4d3e-bcc8-69217b254d9e,Again (inst.),2019-12-12,San E,San E
0d5e6c50-dba8-4621-b77e-58a05ba22ec5,Body Language,2014-08-04,San E,San E
118ff376-97e2-4c83-bb0c-969f605fd9fc,나쁜X (BAD YEAR),2016-11-24,San E,San E
12081640-4b67-4a96-927b-6ab6662511d3,Don’t You Worry ’Bout Me,2016-11-29,San E,San E
13880902-8dc5-4af3-aab9-821ba7e21ce0,Ride,2014-12-18,San E,San E
1450ded8-fa67-48dd-b533-c919266159fc,Sex like a pickle,2020-08-12,San E,San E
155a8ace-4a17-49f8-9510-a6bca4dc0f22,끝까지 (inst.),2017-03-07,San E,San E
15db3e58-a6ee-450b-b68e-d9dcf3805777,내가 너가 (inst.),2017-02-21,San E,San E
16514b5a-2107-43be-af6f-65133b5955cb,RESPECT THE NAME,2016-07-25,San E,San E
1b6de3f0-40d8-4e09-8213-88aab80b79b8,She's,2015-04-23,San E,San E
20f69ac4-6416-442b-a36c-2f138883c767,Act Cool,2011-11-07,San E,San E
23cdf79d-0d8e-47e4-8a49-7512ea259f7d,B.U.B.U.,2010-09-13,San E,San E
2589fb7c-c358-4adf-ac18-4ab32d49abc6,Famous FameUs,2020-08-26,San E,San E
25bf2e10-3c73-478c-83b7-89f7d72bd23a,Wannabe,2017-06-01,San E,San E
25ee298a-1c87-4f55-936e-613d78ee269f,Ooh Ooh,2020-08-26,San E,San E
297da10d-49d6-4d28-a64d-f09a9a2e8a0b,2 Bitches & Haters,2016-08-20,San E,San E
2c6670f7-e67b-4dd5-962d-3bae8a283692,FML!,2019-12-12,San E,San E
2e0652f7-f65e-4e51-a065-e370adf0d963,모해 (mohae),2017-05-23,San E,San E
34d25d53-11ca-48c1-955b-69cb8290821c,미스터리,2013-10-21,San E,San E
356367f8-e803-4a5c-a9f8-8ecfe42959ac,FIESTA,2020-04-09,San E,San E
3934b943-5a2b-443e-bcee-0529b06109d2,마치 비행기,2016-05-13,San E,San E
39f9a591-b633-402b-92b1-fa2c3f618ff7,How You Feeling,2020-04-09,San E,San E
3b5fb7a9-2e61-486a-a443-b4ab00e59a49,Rock Genius (Rock Remix),2010-04-22,San E,San E
3fe19a32-62e4-450b-bf08-b1c21e913223,Lost in Myself,2017-01-23,San E,San E
43952144-9099-48f7-953b-6c4edb650fd9,You're Working Hard (Instrumental),2019-07-12,San E,San E
44b5cdc4-b5f0-4bd3-93be-4ce70c625351,Made In Foreign,2020-04-09,San E,San E
454bb01c-5d2d-4806-8911-0f2337861429,"San Chong, Born 1985 (Instrumental)",2019-07-12,San E,San E
47c8e054-0f3f-468a-b7b6-88fe0395c3c6,Me You (Inst.),2015-04-23,San E,San E
48eb404f-3af7-469c-b224-6155e4298009,I Can Go All Day,2017-01-23,San E,San E
494d2eec-f8cd-4a28-8656-afe8007db6ac,너랑나랑노랑 (Butterfly),2018-03-29,San E,San E
507e6e3d-c4f2-4048-abac-13ba3b5bb750,Let’s Go Baby (Rap Ver.),2010-04-22,San E,San E
5365f598-5796-4e7b-a662-b9bc8df1c8e0,Ballad Rap (inst.),2019-12-12,San E,San E
540382f2-bdaf-477c-b99a-6c5042166d36,Let's Quit (Hanhae Solo),2014-05-19,San E,San E
54e88664-d125-4059-a908-884f9b3d6e7e,I Deserve It,2015-04-23,San E,San E
55a92403-101f-441e-8600-293da1b69306,#LuvUHater (Inst.),2015-04-23,San E,San E
58c04031-a5cf-4977-b3fe-4472a164dd9c,CHOCOLATE,2015-09-10,San E,San E
5efd5d33-2b51-4e29-b4e2-c268a740551a,Airplane Music,2010-03-11,San E,San E
60671bfa-3768-4bdd-8c09-d37fb714dc00,S.O.B.,2010-10-21,San E,San E
61c42e3f-4a6d-4322-a940-d584c2b01937,I Am Me,2017-01-23,San E,San E
626162b5-b8c5-48a4-b7d3-f664bdaf0c78,더 불행했음 좋겠다,2013-11-21,San E,San E
66ffdff2-59f6-4911-93e5-f0275dcf4d2f,i am sick,2019-12-12,San E,San E
6706e7e2-6268-4ad5-a063-4a9510572034,i am sick (inst.),2019-12-12,San E,San E
6873e45b-9ebd-4e01-8a78-6b440a168cfa,You're Working Hard,2019-07-12,San E,San E
6b229951-c627-4914-a6b3-a3d4620cdb58,Fresh Up,2017-09-05,San E,San E
6bd20655-fc90-4d87-baaf-2528e7d0fcf4,BOMB,2017-01-09,San E,San E
6ccea00f-b6a5-4a94-ac51-9821e0e9517d,Tour Bus,2020-04-09,San E,San E
6d99798d-345f-4855-8498-b86b704f2853,Ding Dong Dang (House Remix),2010-04-22,San E,San E
75f0179f-09c1-4b9f-a7e5-5e1c14e73d2f,#HIPHOPISHIPHOP (Bonus Track) (feat. Hip Hop for the World),2015-04-23,San E,San E
7728fc79-83ae-4a08-84d3-5ec2c62385e3,Coach Me,2015-01-02,San E,San E
7d02876d-d53d-48e3-b5d2-20ac2bfba1fc,Done,2014-12-18,San E,San E
7e3c9e6a-4fbb-4583-96b4-f70762f0065a,Best Workout Song (inst.),2019-12-12,San E,San E
86d20456-62d3-417e-a5de-8cbc4f45c36c,끝까지,2017-03-07,San E,San E
8eb020b8-4d20-4b1d-b473-92597c2e0823,NO LOVE Part 2,2016-08-09,San E,San E
907d7884-03b1-44da-937c-8af36a6d1ebe,모두가 내 발아래,2015-04-23,San E,San E
9208d584-f375-42c4-9dbb-ea3cf6f0fcd6,Feeling Good Now,2015-04-23,San E,San E
97463e51-64b8-4c4e-9bf0-1a0b8b848059,맛좋은산 (Inst.),2010-09-13,San E,San E
9a85b64c-731f-4c45-a521-286e46a3be48,Again,2019-12-12,San E,San E
9b843bb1-9932-42b1-8c0f-466b4cd50a60,Puppy Love,2020-04-09,San E,San E
a260faa4-61d4-40bc-ae37-4b3141fbcd2a,Me You,2015-04-23,San E,San E
a52e9875-7621-4dff-8102-b38492d9aa57,그 아버지에 그 아들,2015-10-16,San E,San E
a5752620-8128-481f-8ca9-5ee034010fc6,맛좋은산,2010-09-13,San E,San E
a60309c8-9715-44cc-ae6d-9dde1cb13b4d,"Me, Today",2015-10-22,San E,San E
a65989bb-6df7-44b3-af0a-4bf7800c5160,2008 대한민국,2008-07-11,San E,San E
a6db58b7-27ba-4418-bc2e-3cb495287265,Wannabe (inst.),2017-06-01,San E,San E
a95775d3-7202-42d2-a678-0d8969d27f58,Do It For Fun,2015-12-24,San E,San E
b2c88a80-99bf-41db-be9c-c44e57fb30ca,Best Workout Song,2019-12-12,San E,San E
bd4d6734-96ee-47a0-b078-b3b455585472,Body Language (Inst.),2014-08-04,San E,San E
c3c8fdf0-5c02-4a08-b3f3-3a5c8347e63f,모해 (mohae) (inst.),2017-05-23,San E,San E
c74e6ae5-b285-4be5-9a59-8f968fedee42,Smooth Operator,2016-02-16,San E,San E
c7b6d115-cdca-47de-a170-2b16dd3fa833,Memoride,2013-07-23,San E,San E
ca3c902f-de3c-4044-b9bc-d0761006f50c,Using You,2015-04-23,San E,San E
ca5666aa-81c2-4a58-bac9-56f23f29609c,Rap Genius VS Punchline King (Dirty),2010-04-22,San E,San E
ca7ebb17-6c3a-44ca-90f3-0d23dc47d4a8,On God,2020-08-26,San E,San E
cb538b06-a81f-4043-8253-9d98de027e11,Silencer,2020-08-26,San E,San E
cf39f1e4-d18f-4c9c-ab03-7a61083fdd60,Do It For Fun (Inst.),2015-12-24,San E,San E
d05124ca-d578-4935-ac9e-102175aa352f,"San Chong, Born 1985",2019-07-12,San E,San E
d356872a-54c2-47f4-9e47-e02675981ceb,나쁜X (BAD YEAR) (inst.),2016-11-24,San E,San E
d47bb745-841d-49a7-8af4-27609cdb30ce,그 아버지에 그 아들 (Inst.),2015-10-16,San E,San E
d6cd284c-2b6f-415a-83b1-5c1191a32e40,#LuvUHater,2015-04-23,San E,San E
d947bf16-e0cb-43c5-9ab2-f2ba805a7ec2,Pawn Shop,2020-08-26,San E,San E
db7d4114-e441-4f77-ac79-9d75466567d7,Born Luxury,2014-01-22,San E,San E
e5ffdd0e-c32f-485a-8872-089e32b16cfd,You Don’t Know Shit,2010-04-22,San E,San E
ef857efb-e185-49e6-9f9a-df02642163ef,$$o Dope,2015-04-23,San E,San E
f0707acf-014d-4b93-9993-be50f84fd0e7,It’s Time,2013-06-19,San E,San E
f4a224bc-fb6b-44a1-a464-00331931c028,Eternal,2020-04-09,San E,San E
