title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
100,206000,SuperM,100,,,XW,2020-08-14,,SuperM
2 Fast,180773,SuperM,SuperM,,,US,2019-10-04,,SuperM
Better Days,234000,SuperM,Super One,,,US,2020-09-25,,SuperM
Big Chance,171000,SuperM,Super One,,,US,2020-09-25,,SuperM
Dangerous Woman,189000,SuperM,Super One,,,US,2020-09-25,,SuperM
Drip,158000,SuperM,Super One,,,US,2020-09-25,,SuperM
I Can't Stand the Rain,208215,SuperM,SuperM,,,US,2019-10-04,,SuperM
Infinity,233000,SuperM,Super One,,,US,2020-09-25,,SuperM
Jopping,251293,SuperM,SuperM,,,US,2019-10-04,,SuperM
Let's Go Everywhere,201000,SuperM,Let's Go Everywhere (Korean Air x SuperM),,,XW,2019-12-27,,SuperM
Line 'Em Up,203000,SuperM,Super One,,,US,2020-09-25,,SuperM
Monster,222000,SuperM,Super One,,,US,2020-09-25,,SuperM
No Manners,183000,SuperM,SuperM,,,US,2019-10-04,,SuperM
So Long,229000,SuperM,Super One,,,US,2020-09-25,,SuperM
Step Up,176000,SuperM,Super One,,,US,2020-09-25,,SuperM
Super Car,214360,SuperM,SuperM,,,US,2019-10-04,,SuperM
Tiger Inside,209000,SuperM,Tiger Inside,,,XW,2020-09-01,,SuperM
Together at Home,206000,SuperM,Super One,,,US,2020-09-25,,SuperM
We DO,221520,SuperM,We DO,,,AF,2021-04-09,,SuperM
Wish You Were Here,192000,SuperM,Super One,,,US,2020-09-25,,SuperM
With You,202000,SuperM,Super One,,,US,2020-09-25,,SuperM
