title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
404 File Not Found,244027,TAEYONG,SHALALA,,,KR,2023-06-05,,TAEYONG
404 Loading,244293,TAEYONG,TAP,,,XW,2024-02-26,,TAEYONG
APE,193253,TAEYONG,TAP,,,XW,2024-02-26,,TAEYONG
Back to the Past,195000,TAEYONG,SHALALA,,,KR,2023-06-05,,TAEYONG
LIT,195000,"TAEYONG, MARK",Street Man Fighter Original Vol.4,,,XW,2022-09-20,,TAEYONG
Long Flight,198000,TAEYONG,Long Flight,,,KR,2019-07-18,,TAEYONG
Love Theory,199000,"TAEYONG, Wonstein",Love Theory - SM STATION,,,XW,2022-04-14,,TAEYONG
Moon Tour,191186,TAEYONG,TAP,,,XW,2024-02-26,,TAEYONG
Move Mood Mode,174360,"TAEYONG, WENDY",SHALALA,,,KR,2023-06-05,,TAEYONG
Rose,230504,"TAEYONG, SEULGI",Rose - Single,,,KR,2021-06-06,,TAEYONG
RUBY,198267,TAEYONG,SHALALA,,,KR,2023-06-05,,TAEYONG
Run Away,178640,TAEYONG,TAP,,,XW,2024-02-26,,TAEYONG
Swipe,186400,"TAEYONG, TEN",Street Woman Fighter2 (SWF2) Class Mission,,,XW,2023-09-05,,TAEYONG
TAP,157906,TAEYONG,TAP,,,XW,2024-02-26,,TAEYONG
Ups & Downs,198786,TAEYONG,TAP,,,XW,2024-02-26,,TAEYONG
Virtual Insanity,179093,TAEYONG,SHALALA,,,KR,2023-06-05,,TAEYONG
ZOO,177413,"TAEYONG, JENO, 黄冠亨, 刘扬扬, 지젤",2021 Winter SMTOWN : SMCU EXPRESS,,,KR,2021-12-27,,TAEYONG
관둬 (GWANDO),217280,TAEYONG,SHALALA,,,KR,2023-06-05,,TAEYONG
러브 델루나,268000,"TAEYONG, Punch",Hotel Del Luna OST,,,KR,2019-08-31,,TAEYONG
샤랄라 (SHALALA),201107,TAEYONG,SHALALA,,,KR,2023-06-05,,TAEYONG
