recording_id,title,release_date,query_artist_name,retrieved_artist_name
06b417ad-5c2f-41a8-abaf-4582ecd8cdfd,한걸음,2013-04-17,Tiffany Young,Tiffany Young
06e731f2-0a00-4f29-9634-ad8b7cc61b95,Not Barbie,2019-02-22,Tiffany Young,Tiffany Young
0839a8fc-d7a1-4b3a-a185-b8794df60ee9,"소녀, 사랑을 만나다",2009-03-31,Tiffany Young,Tiffany Young
18f16cee-37b7-4351-af06-2565be380da4,I Just Wanna Dance,2022-05-27,Tiffany Young,Tiffany Young
1935ef87-1248-4c86-8f22-4407d72bdb43,Peppermint,2018-11-30,Tiffany Young,Tiffany Young
1a97d03b-de3e-45c9-8f05-bd08b7831ae4,Don't Speak,2016-10-21,Tiffany Young,Tiffany Young
1e64e8cd-a966-42f1-abe4-ccc806166e9f,Runaway,2019-02-22,Tiffany Young,Tiffany Young
25eaba55-8ac4-44d9-b430-efd1222d4b6e,Only One,2015-02-24,Tiffany Young,Tiffany Young
2ea0ffc2-67ae-4fc4-a5dc-961d60845923,UMBRELLA,2010-12-30,Tiffany Young,Tiffany Young
33b77466-5b7a-4eb0-95d8-7e6ef36df0ea,Because It's You,2012-03,Tiffany Young,Tiffany Young
348336af-7bb8-424c-9599-4314248cea25,나 혼자서,2009-03-26,Tiffany Young,Tiffany Young
430c46a4-6a91-49f1-a991-7cba596e5281,I Just Wanna Dance (Kago Pengchi remix),2016-05-23,Tiffany Young,Tiffany Young
55859bac-6961-4b03-8f11-ea51bd4aba66,Only One (inst.),2015-02-24,Tiffany Young,Tiffany Young
5a379cd5-4ef7-4c9a-b376-2deb223f8d17,Magnetic Moon (Tony Romera remix),2019-09-03,Tiffany Young,Tiffany Young
5c2d9451-3f0d-47d1-8e8b-1ec2df10c005,What Do I Do,2016-05-11,Tiffany Young,Tiffany Young
5db8fae1-a8a0-4438-a40e-1fb21be9946a,Run for Your Life,2019-10-11,Tiffany Young,Tiffany Young
60d495d4-0340-4069-bab6-f54736348a91,I Just Wanna Dance,2016-05-11,Tiffany Young,Tiffany Young
65b19728-d89c-4af7-b2fc-d3eda2380cc1,한걸음 (inst.),2013-04-17,Tiffany Young,Tiffany Young
6b04e6d1-5708-4543-8c2f-54056ad2fe9d,Teach You,2018-09-28,Tiffany Young,Tiffany Young
6dad5999-2b70-43c7-bef2-2cebb7307896,Lady Marmalade,2013-04-11,Tiffany Young,Tiffany Young
6ed4dd51-df62-4cd5-9320-7a19887d9fca,A Girl Meets Love,2012-04-04,Tiffany Young,Tiffany Young
750de85d-7048-469c-b1fe-c66fa869d626,Heartbreak Hotel,2016-06-10,Tiffany Young,Tiffany Young
807043b2-6dd5-46f3-8ef1-4a5c26710fce,아름다운 그대에게 (Rise & Shine),2012-09-19,Tiffany Young,Tiffany Young
8112f99c-121f-465d-b58b-c2a1636a7b1d,Talk About Love (instrumental),2016-12-22,Tiffany Young,Tiffany Young
8df90fcf-24bb-41f2-b7e6-ebdaa1eba519,Remember Me,2018-03-14,Tiffany Young,Tiffany Young
8e9951f5-55f3-4d62-95b0-841362cdc82c,그대니까요,2012-04-10,Tiffany Young,Tiffany Young
8ec87c40-3e48-4404-b6bf-fa62dc82cb04,Magnetic Moon,2019-08-02,Tiffany Young,Tiffany Young
927038b8-69ec-42b2-bf0f-984850c47963,Born Again,2019-01-25,Tiffany Young,Tiffany Young
9e3313cc-0384-49bf-bf64-150f6bfa6b45,FOOL,2016-05-11,Tiffany Young,Tiffany Young
a68729f6-877b-443d-aae3-07c55bb091e7,Yellow Light,2016-05-11,Tiffany Young,Tiffany Young
afd740d6-0391-42bb-83c7-9bb40c50a412,나 혼자서 (inst.),2009-03-26,Tiffany Young,Tiffany Young
