title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Double Up,209000,Two X,Double Up,,,XW,2012-08-16,,Two X
Hip Up,204000,Two X,Ring Ma Bell,,,XW,2013-02-12,,Two X
Initium,33000,Two X,Double Up,,,KR,2012-08-16,,Two X
Only U,204000,Two X,Ring Ma Bell,,,XW,2013-02-12,,Two X
The Way You Shake It,288040,Two X,La Factoría Sabor,,,,1995,,Two X
꽂혀 (Over),202175,Two X,Reboot,,,XW,2016-08-23,,Two X
링마벨 (Ring Ma Bell),208000,Two X,Ring Ma Bell,,,XW,2013-02-12,,Two X
반지자국,216000,Two X,Double Up,,,KR,2012-08-16,,Two X
뿜 찍고 클랩,183000,Two X,Double Up,,,KR,2012-08-16,,Two X
훅 들어와 (Come In),213643,Two X,Reboot,,,XW,2016-08-23,,Two X
흘러 (Flow Away),241072,Two X,Reboot,,,XW,2016-08-23,,Two X
