title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
4 O'Clock,232000,"V, RM",It's Definitely You,,,KR,2020-04-10,,V
Blue,150000,V,Layover,,,,2023-09-08,,V
Christmas Tree,209000,V,"Our Beloved Summer (Original Television Soundtrack), Pt. 5",,,AF,2021-12-24,,V
For Us,171160,V,Layover,,,XW,2023-09-08,,V
FRI(END)S,148082,V,FRI(END)S,,,,2024-03-15,,V
Friends,199000,"V, Jimin",It's Definitely You,,,KR,2020-04-10,,V
Hug Me (Cover),243000,"V, j‐hope",It's Definitely You,,,KR,2020-04-10,,V
Inner Child,233000,V,It's Definitely You,,,KR,2020-04-10,,V
Intro: Singularity,197000,V,It's Definitely You,,,KR,2020-04-10,,V
It's Definitely You,230693,"V, JIN","HWARANG, Pt. 2 (Music from the Original TV Series)",,,AF,2016-12-20,,V
Love Me Again,182293,V,Layover,,,JP,2023-08-11,,V
Rainy Days,179560,V,Layover,,,JP,2023-08-11,,V
Scenery,294000,V,It's Definitely You,,,KR,2020-04-10,,V
Slow Dancing,187000,V,Layover,,,,2023-09-08,,V
Someone Like You (Cover),157000,V,It's Definitely You,,,KR,2020-04-10,,V
Stigma,216000,V,It's Definitely You,,,KR,2020-04-10,,V
Sweet Night,214000,V,ITAEWON CLASS (Original Television Soundtrack) Pt. 12,,,XW,2020-03-13,,V
Winter Bear,174000,V,Winter Bear,,,XW,2019-08-09,,V
