recording_id,title,release_date,query_artist_name,retrieved_artist_name
00b5fb5b-d987-4815-8f3c-0467afc26312,FOR (Japanese Ver.),2018-09-05,WINNER,WINNER
01623ab3-1c9c-44a2-99fd-1d3505bca607,MILLIONS,2018-12-19,WINNER,WINNER
03985144-c86b-4120-87e4-b2378927dee5,ISLAND -KR ver.- 【MUSIC VIDEO】,2018-02-07,WINNER,WINNER
06f49fd8-b649-4a92-af3d-5a73cafe836f,MOVIE STAR (Japanese Ver.),2018-09-05,WINNER,WINNER
09af640d-ebca-42a2-8fd2-b547f0579159,Different,2014-08-12,WINNER,WINNER
0ef34a05-58dd-4e28-ae6b-e092394c0290,My bad,2020-04-09,WINNER,WINNER
11035b80-b09c-493f-ad68-b18a6f779d5c,FAMILY,2022-07-05,WINNER,WINNER
1145e44c-85f1-4165-a8a9-40ad4dd7e6da,LOVE ME LOVE ME,2017-08-04,WINNER,WINNER
116df3fd-e302-4de0-a4b6-b369ac460bab,FOOL (inst.),2017-04-05,WINNER,WINNER
179acb2f-2a28-479b-af41-16acbabcf08c,막춤,2020-04-09,WINNER,WINNER
1d1c1638-c30e-4831-b2b4-27ec3db768da,동물의 왕국,2019-05-15,WINNER,WINNER
1e489964-3bc3-47c8-aa27-9499f3a38c41,SPECIAL NIGHT,2018-04-04,WINNER,WINNER
1f52e803-3cb2-4af1-a2db-1d6a95f2f28f,MOVIE STAR,2018-04-04,WINNER,WINNER
218446d0-57f6-4767-bdb7-16bb26d57a68,REALLY REALLY 【MUSIC VIDEO】,2018-02-07,WINNER,WINNER
22d04ae0-4816-43f4-9750-d46c2d2b73f0,SOSO,2019-10-23,WINNER,WINNER
27ebf46e-e514-456d-891f-5bbbbf5b9a7c,DON’T BE SHY,2019-10-23,WINNER,WINNER
2f500214-b0ae-4a5b-9cb9-083bbbeaebf1,REALLY REALLY,2017-04-04,WINNER,WINNER
3076960c-316c-48df-9e1b-304954797439,Remember,2020-04-09,WINNER,WINNER
31d04a7b-8c14-4210-8153-0c453445d196,Hello! WINNER @Zepp Tokyo 2014.5.5,2014-09-10,WINNER,WINNER
32529fc6-7fea-4649-8136-b8e8082e5648,Go UP (Live),2014-11-28,WINNER,WINNER
35c39753-987e-45d2-b36e-0188951aac12,Smile Again (Live),2014-11-28,WINNER,WINNER
38d3169c-19d9-4474-bcab-41bf3f5bb3d9,끼부리지마 (4 ver.),2020-04-09,WINNER,WINNER
38d54b98-861e-48cf-a68f-31285adb68be,WINNER’S HOLIDAY @ ROUND1,2018-02-07,WINNER,WINNER
3accc29e-0c11-43c6-a262-e80646756954,Teaser,2020-04-09,WINNER,WINNER
3d2d1735-c05f-426e-ba1e-bd191207a74d,EVERYDAY,2018-04-04,WINNER,WINNER
3f5c5dbf-b460-4483-98cf-de50db8ec3fa,끼부리지마 (Don't flirt),2014-08-12,WINNER,WINNER
4250cd4a-575d-4a25-a44d-96d8e2579d75,LUXURY (Japanese Ver.),2018-09-05,WINNER,WINNER
43350c90-c68a-4065-b31a-e8a23de77a52,Well,2020-04-09,WINNER,WINNER
4c410e18-689c-4040-921c-27aeb6f82d18,Different (4 ver.),2020-04-09,WINNER,WINNER
4c4e99b8-e25f-4806-9552-fb0acfed1a1f,AH YEAH,2019-05-15,WINNER,WINNER
4dcb33c0-0f32-427c-b60c-ae96ae72270a,ISLAND -KR ver.- 【DANCE PRACTICE VIDEO】,2018-02-07,WINNER,WINNER
50a84942-f623-4dfa-92ce-b92f363b69b1,DRESS UP,2019-10-23,WINNER,WINNER
