recording_id,title,release_date,query_artist_name,retrieved_artist_name
027c94ba-a5df-4d0c-a77e-f08e7a3dc4b0,REALLY REALLY,2017-05-08,YOOHYEON,YOOHYEON
03564d05-e821-417c-a5b5-019612fa1697,For,2022-08-11,YOOHYEON,YOOHYEON
0b086d68-48e4-4e4e-80a1-ab333f6b2e64,Baby Don't Stop,2021-03-27,YOOHYEON,YOOHYEON
12b8ba9b-506f-48a0-a12f-6543cc2253d7,2002,2019-08-22,YOOHYEON,YOOHYEON
39a7ac34-259c-4e92-b819-b398f047c7db,우리 하나되어 2021 (inst.),2021-05-17,YOOHYEON,YOOHYEON
3c85319b-2eb6-4449-822b-f36f9a6c1859,22,2020-11-07,YOOHYEON,YOOHYEON
516905bf-1c78-44b8-911c-b1ee4690c229,Touch,2021-08-26,YOOHYEON,YOOHYEON
5cebdd3a-0c78-425e-a3cc-8ae04ea20a56,어쩌나,2020-12-08,YOOHYEON,YOOHYEON
6420b597-2731-473e-9fc4-5be56deed4a8,2002,,YOOHYEON,YOOHYEON
687d11b4-3158-4fff-8fe8-6f214de6f6fc,Palette,2021-12-31,YOOHYEON,YOOHYEON
709a8f97-bc42-49e5-aac4-ac02e81c8985,Angel 2 Me,2020-12-24,YOOHYEON,YOOHYEON
8bdcd911-9efd-49c6-90b3-19de32445ab6,Monster,,YOOHYEON,YOOHYEON
97b7a9f3-701a-41a0-a10b-5b0b3a7dd846,NDA,,YOOHYEON,YOOHYEON
b0c7a7b7-2412-42d8-8b9f-da8a134cf1de,Taki Taki,,YOOHYEON,YOOHYEON
bff4506e-b99d-4795-99c3-1077309a67c3,On the Ground,2021-10-30,YOOHYEON,YOOHYEON
c5dc8914-1c41-43e9-910a-c69f1192b9de,Mood,2021-04-23,YOOHYEON,YOOHYEON
cb573389-6b2d-4138-9fa3-79eff63f0176,우리 하나되어 2021,2021-05-17,YOOHYEON,YOOHYEON
e7a1e5fc-5f83-4fba-8331-b94d1cdbacdf,Perfect,2020-02-29,YOOHYEON,YOOHYEON
e7f352a0-1b97-4ae8-8e6b-60603f3d8dd8,Secret Love Song,2017-09-12,YOOHYEON,YOOHYEON
ebfd5f99-ca1a-482d-b773-310b886888a4,안 된다는 게 아냐 이젠 너무 늦었단 말야,2020-03-15,YOOHYEON,YOOHYEON
f0453146-7a93-443e-9df0-7e92aca6e97e,Be Natural,2020-07-04,YOOHYEON,YOOHYEON
f08f057f-b888-4389-91dc-e150ed707012,우리 하나되어 2021 (3D SOUND),2021-05-17,YOOHYEON,YOOHYEON
f7fc49e0-1fd1-4896-9580-b08de1fd4724,For,2022-04-12,YOOHYEON,YOOHYEON
