title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
1 Wild and Young,,강승윤,Wild and Young,,,KR,2013-07-31,,강승윤
1 비가 온다,,강승윤,비가 온다,,,KR,2013-07-16,,강승윤
365,255000.0,강승윤,PAGE,,,KR,2021-03-29,,강승윤
BETTER,221000.0,"강승윤, MINO",PAGE,,,KR,2021-03-29,,강승윤
CAPTAIN,182000.0,강승윤,PAGE,,,KR,2021-03-29,,강승윤
Gulliver,183000.0,강승윤,Street Man Fighter Original Vol.2,,,XW,2022-08-23,,강승윤
SKIP,172000.0,"강승윤, Wonstein",PAGE,,,KR,2021-03-29,,강승윤
그냥 사랑 노래,196000.0,강승윤,PAGE,,,KR,2021-03-29,,강승윤
뜨거웠던가요,224000.0,강승윤,PAGE,,,KR,2021-03-29,,강승윤
맘도둑,,강승윤,맘도둑,,,KR,2013-08-14,,강승윤
멍,228000.0,강승윤,PAGE,,,KR,2021-03-29,,강승윤
문,200000.0,"강승윤, MINO",슬기로운 감빵생활 OST Part 2,,,KR,2017-11-30,,강승윤
비야,195000.0,강승윤,PAGE,,,KR,2021-03-29,,강승윤
싹,198000.0,강승윤,PAGE,,,KR,2021-03-29,,강승윤
아이야,226000.0,강승윤,PAGE,,,KR,2021-03-29,,강승윤
안 봐도,207000.0,"강승윤, Simon Dominic",PAGE,,,KR,2021-03-29,,강승윤
