title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
2cm,194000.0,"민서, Paul Kim",The Diary of Youth,,,KR,2019-01-29,,민서
Death of Mother,263000.0,민서,Mr. Sunshine OST,,,KR,2018-10-04,,민서
Ghost Ship,173000.0,민서,Mr. Sunshine OST,,,KR,2018-10-04,,민서
Is Who,214000.0,민서,Is Who,,,,2018-06-20,,민서
No Good Girl,211000.0,민서,No Good Girl,,,,2020-04-28,,민서
The First Love,215546.0,민서,HE IS PSYCHOMETRIC (Original Television Soundtrack),,,XW,2019-05-01,,민서
그날까지,,민서,출사표 Original Sound Track,,,KR,2020-08-20,,민서
멋진 꿈,269000.0,민서,The Diary of Youth,,,KR,2019-01-29,,민서
사랑인걸까,234000.0,민서,KING THE LAND (Original Television Soundtrack) Special,,,XW,2023-08-04,,민서
아프고 아파서,214000.0,민서,조선로코 - 녹두전 Special OST,,,KR,2019-11-26,,민서
알지도 못하면서,189000.0,민서,The Diary of Youth,,,KR,2019-01-29,,민서
이상한 애,183741.0,민서,LISTEN 022 이상한 애,,,KR,2018-03-23,,민서
