title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Analog,188000,전지윤,The Moment I Loved,,,KR,2019-05-04,,전지윤
BAD,220146,"전지윤, KIMMUSEUM",BAD,,,,2020-08-24,,전지윤
Because,202000,전지윤,Because,,,KR,2018-01-13,,전지윤
Between Love and Friendship,248000,전지윤,Between Love and Friendship,,,KR,2013-01-03,,전지윤
BUS,227000,전지윤,BUS,,,KR,2018-07-11,,전지윤
Cliche,267000,"전지윤, Samuel Seo",Cliche,,,KR,2017-03-29,,전지윤
KNOWINGLY,229000,전지윤,KNOWINGLY,,,KR,2022-05-22,,전지윤
SOOP,235000,"전지윤, 허가윤",SOOP,,,KR,2021-08-21,,전지윤
그건 내가 정할 수가 없는 거라서,208000,전지윤,The Moment I Loved,,,KR,2019-05-04,,전지윤
내가 해,216000,전지윤,Day and Night,,,XW,2016-11-02,,전지윤
바꾸지 마 (This Ain't Me),217000,"전지윤, 정일훈","Unpretty Rapstar, Vol. 2",,,KR,2015-12-02,,전지윤
샤워 (Shower),207000,전지윤,Shower,,,US,2018-10-31,,전지윤
자석,218000,"전지윤, 올티",Day and Night,,,XW,2016-11-02,,전지윤
저기요,211000,"전지윤, Kisum",저기요 (Hello),,,KR,2017-09-12,,전지윤
처음처럼,176000,전지윤,The Moment I Loved,,,KR,2019-05-04,,전지윤
환상,196000,전지윤,The Moment I Loved,,,KR,2019-05-04,,전지윤
